cohortDefinitionId,inclusionRuleMask,personCount,modeId
14717,0,122,0
14717,0,86,1
14867,0,22,0
14867,0,19,1
7396,0,140,0
7396,0,140,1
7398,0,107,0
7398,0,18,1
7382,0,71,0
7382,0,48,1
7374,0,164,0
7374,0,164,1
7381,0,13,0
7381,0,13,1
7400,0,16,0
7400,0,9,1
7369,0,60,0
7369,0,60,1
7367,0,272,0
7367,0,142,1
7377,0,2,0
7377,0,2,1
7399,0,48,0
7399,0,48,1
7404,0,2,0
7404,0,2,1
7376,0,56,0
7376,0,32,1
7361,0,13,0
7361,0,13,1
7362,0,2,0
7362,0,2,1
7370,0,30,0
7370,0,19,1
7464,0,91,0
7464,0,53,1
7364,0,45,0
7364,0,29,1
