cohortDefinitionId,baseCount,finalCount,modeId
14717,122,122,0
14717,86,86,1
14867,22,22,0
14867,19,19,1
7396,140,140,0
7396,140,140,1
7398,107,107,0
7398,18,18,1
7382,71,71,0
7382,48,48,1
7374,164,164,0
7374,164,164,1
7381,13,13,0
7381,13,13,1
7400,16,16,0
7400,9,9,1
7369,60,60,0
7369,60,60,1
7367,272,272,0
7367,142,142,1
7377,2,2,0
7377,2,2,1
7399,48,48,0
7399,48,48,1
7404,2,2,0
7404,2,2,1
7376,56,56,0
7376,32,32,1
7361,13,13,0
7361,13,13,1
7362,2,2,0
7362,2,2,1
7370,30,30,0
7370,19,19,1
7464,91,91,0
7464,53,53,1
7364,45,45,0
7364,29,29,1
