covariate_id,covariate_name,covariate_analysis_id
3,age group: 00-04,3
1003,age group: 05-09,3
1007,index month: 1,7
1901,Charlson index - Romano adaptation,901
1902,Diabetes Comorbidity Severity Index (DCSI),902
1903,CHADS2,903
1904,CHADS2VASc,904
2007,index month: 2,7
3003,age group: 15-19,3
3007,index month: 3,7
4003,age group: 20-24,3
4007,index month: 4,7
5007,index month: 5,7
6007,index month: 6,7
8007,index month: 8,7
9007,index month: 9,7
10003,age group: 50-54,3
10007,index month: 10,7
11003,age group: 55-59,3
11007,index month: 11,7
12003,age group: 60-64,3
12007,index month: 12,7
13003,age group: 65-69,3
14003,age group: 70-74,3
15003,age group: 75-79,3
16003,age group: 80-84,3
17003,age group: 85-89,3
19003,age group: 95-99,3
2016006,index year: 2016,6
2017006,index year: 2017,6
2018006,index year: 2018,6
2019006,index year: 2019,6
2020006,index year: 2020,6
8507001,gender = MALE,1
8532001,gender = FEMALE,1
29735210,condition_era group during day -365 through 0 days relative to index: Candidiasis of mouth,210
29735212,condition_era group during day -30 through 0 days relative to index: Candidiasis of mouth,212
72266210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of pleura,210
72266212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of pleura,212
76349210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of urinary system,210
76349212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of urinary system,212
78097210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of bone,210
78097212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of bone,212
79768210,condition_era group during day -365 through 0 days relative to index: Neoplasm of urinary system,210
79768212,condition_era group during day -30 through 0 days relative to index: Neoplasm of urinary system,212
80665210,condition_era group during day -365 through 0 days relative to index: Malignant neoplasm of thorax,210
80665212,condition_era group during day -30 through 0 days relative to index: Malignant neoplasm of thorax,212
135526210,condition_era group during day -365 through 0 days relative to index: Spinal cord disease,210
135526212,condition_era group during day -30 through 0 days relative to index: Spinal cord disease,212
192359210,condition_era group during day -365 through 0 days relative to index: Renal failure syndrome,210
192359212,condition_era group during day -30 through 0 days relative to index: Renal failure syndrome,212
192438210,condition_era group during day -365 through 0 days relative to index: Abdominal mass,210
192438212,condition_era group during day -30 through 0 days relative to index: Abdominal mass,212
192671210,condition_era group during day -365 through 0 days relative to index: Gastrointestinal hemorrhage,210
192671212,condition_era group during day -30 through 0 days relative to index: Gastrointestinal hemorrhage,212
192836210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of small intestine,210
192836212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of small intestine,212
194087210,condition_era group during day -365 through 0 days relative to index: Hepatitis due to infection,210
194087212,condition_era group during day -30 through 0 days relative to index: Hepatitis due to infection,212
194589210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of biliary tract,210
194589212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of biliary tract,212
194990210,condition_era group during day -365 through 0 days relative to index: Inflammatory disease of liver,210
194990212,condition_era group during day -30 through 0 days relative to index: Inflammatory disease of liver,212
195002210,condition_era group during day -365 through 0 days relative to index: Ulceration of intestine,210
195002212,condition_era group during day -30 through 0 days relative to index: Ulceration of intestine,212
195306210,condition_era group during day -365 through 0 days relative to index: Gastroduodenitis,210
195482210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of intestinal tract,210
195482212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of intestinal tract,212
196068210,condition_era group during day -365 through 0 days relative to index: Carcinoma in situ of male genital organ,210
196360210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of bladder,210
196360212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of bladder,212
196931210,condition_era group during day -365 through 0 days relative to index: Neoplasm of digestive tract,210
196931212,condition_era group during day -30 through 0 days relative to index: Neoplasm of digestive tract,212
197024210,condition_era group during day -365 through 0 days relative to index: Small intestinal hemorrhage,210
197024212,condition_era group during day -30 through 0 days relative to index: Small intestinal hemorrhage,212
197032210,condition_era group during day -365 through 0 days relative to index: Hyperplasia of prostate,210
197032212,condition_era group during day -30 through 0 days relative to index: Hyperplasia of prostate,212
197320210,condition_era group during day -365 through 0 days relative to index: Acute renal failure syndrome,210
197320212,condition_era group during day -30 through 0 days relative to index: Acute renal failure syndrome,212
197500210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of colon,210
197500212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of colon,212
197506210,condition_era group during day -365 through 0 days relative to index: Malignant neoplasm of abdomen,210
197506212,condition_era group during day -30 through 0 days relative to index: Malignant neoplasm of abdomen,212
197507210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of male genital organ,210
197507212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of male genital organ,212
197508210,condition_era group during day -365 through 0 days relative to index: Malignant tumor of urinary bladder,210
197508212,condition_era group during day -30 through 0 days relative to index: Malignant tumor of urinary bladder,212
197804210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of intra-abdominal organs,210
197804212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of intra-abdominal organs,212
198091210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of retroperitoneum,210
198091212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of retroperitoneum,212
198124210,condition_era group during day -365 through 0 days relative to index: Kidney disease,210
198124212,condition_era group during day -30 through 0 days relative to index: Kidney disease,212
198700210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of liver,210
198700212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of liver,212
198988210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of pelvis,210
198988212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of pelvis,212
199754210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of pancreas,210
199754212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of pancreas,212
200680210,condition_era group during day -365 through 0 days relative to index: Neoplasm of bladder,210
200680212,condition_era group during day -30 through 0 days relative to index: Neoplasm of bladder,212
200962210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of prostate,210
200962212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of prostate,212
200970210,condition_era group during day -365 through 0 days relative to index: Carcinoma in situ of prostate,210
201131210,condition_era group during day -365 through 0 days relative to index: Pelvic mass,210
201131212,condition_era group during day -30 through 0 days relative to index: Pelvic mass,212
201340210,condition_era group during day -365 through 0 days relative to index: Gastritis,210
201519210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of liver,210
201519212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of liver,212
201773210,condition_era group during day -365 through 0 days relative to index: Enteritis of small intestine,210
201820210,condition_era group during day -365 through 0 days relative to index: Diabetes mellitus,210
201820212,condition_era group during day -30 through 0 days relative to index: Diabetes mellitus,212
252280210,condition_era group during day -365 through 0 days relative to index: Neoplasm of respiratory tract,210
252280212,condition_era group during day -30 through 0 days relative to index: Neoplasm of respiratory tract,212
252662210,condition_era group during day -365 through 0 days relative to index: Tracheobronchial disorder,210
252662212,condition_era group during day -30 through 0 days relative to index: Tracheobronchial disorder,212
253506210,condition_era group during day -365 through 0 days relative to index: Pneumonitis,210
253506212,condition_era group during day -30 through 0 days relative to index: Pneumonitis,212
253717210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of respiratory tract,210
253717212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of respiratory tract,212
254061210,condition_era group during day -365 through 0 days relative to index: Pleural effusion,210
254061212,condition_era group during day -30 through 0 days relative to index: Pleural effusion,212
254591210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of lung,210
254591212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of lung,212
255573210,condition_era group during day -365 through 0 days relative to index: Chronic obstructive lung disease,210
255573212,condition_era group during day -30 through 0 days relative to index: Chronic obstructive lung disease,212
255848210,condition_era group during day -365 through 0 days relative to index: Pneumonia,210
255848212,condition_era group during day -30 through 0 days relative to index: Pneumonia,212
256451210,condition_era group during day -365 through 0 days relative to index: Bronchitis,210
256451212,condition_era group during day -30 through 0 days relative to index: Bronchitis,212
256722210,condition_era group during day -365 through 0 days relative to index: Bronchopneumonia,210
256722212,condition_era group during day -30 through 0 days relative to index: Bronchopneumonia,212
257004210,condition_era group during day -365 through 0 days relative to index: Acute exacerbation of chronic obstructive airways disease,210
257004212,condition_era group during day -30 through 0 days relative to index: Acute exacerbation of chronic obstructive airways disease,212
258369210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of lung,210
258369212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of lung,212
261236210,"condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of upper lobe, bronchus or lung",210
261236212,"condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of upper lobe, bronchus or lung",212
312437210,condition_era group during day -365 through 0 days relative to index: Dyspnea,210
312437212,condition_era group during day -30 through 0 days relative to index: Dyspnea,212
315643210,condition_era group during day -365 through 0 days relative to index: Tachyarrhythmia,210
315643212,condition_era group during day -30 through 0 days relative to index: Tachyarrhythmia,212
317002210,condition_era group during day -365 through 0 days relative to index: Low blood pressure,210
317009210,condition_era group during day -365 through 0 days relative to index: Asthma,210
317009212,condition_era group during day -30 through 0 days relative to index: Asthma,212
318096210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of lymph node,210
318096212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of lymph node,212
318459210,condition_era group during day -365 through 0 days relative to index: Respiratory insufficiency,210
318459212,condition_era group during day -30 through 0 days relative to index: Respiratory insufficiency,212
319049210,condition_era group during day -365 through 0 days relative to index: Acute respiratory failure,210
319049212,condition_era group during day -30 through 0 days relative to index: Acute respiratory failure,212
321588210,condition_era group during day -365 through 0 days relative to index: Heart disease,210
321588212,condition_era group during day -30 through 0 days relative to index: Heart disease,212
372604210,condition_era group during day -365 through 0 days relative to index: Movement disorder,210
373087210,condition_era group during day -365 through 0 days relative to index: Central nervous system complication,210
373087212,condition_era group during day -30 through 0 days relative to index: Central nervous system complication,212
373425210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplasm of nervous system,210
373425212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplasm of nervous system,212
373724210,condition_era group during day -365 through 0 days relative to index: Neoplasm of brain,210
373724212,condition_era group during day -30 through 0 days relative to index: Neoplasm of brain,212
373747210,condition_era group during day -365 through 0 days relative to index: Extrapyramidal disease,210
374009210,condition_era group during day -365 through 0 days relative to index: Organic mental disorder,210
374009212,condition_era group during day -30 through 0 days relative to index: Organic mental disorder,212
374888210,condition_era group during day -365 through 0 days relative to index: Dementia associated with another disease,210
374888212,condition_era group during day -30 through 0 days relative to index: Dementia associated with another disease,212
377091210,condition_era group during day -365 through 0 days relative to index: Seizure,210
377091212,condition_era group during day -30 through 0 days relative to index: Seizure,212
378253210,condition_era group during day -365 through 0 days relative to index: Headache,210
378253212,condition_era group during day -30 through 0 days relative to index: Headache,212
380378210,condition_era group during day -365 through 0 days relative to index: Epilepsy,210
380378212,condition_era group during day -30 through 0 days relative to index: Epilepsy,212
381270210,condition_era group during day -365 through 0 days relative to index: Parkinson's disease,210
381591210,condition_era group during day -365 through 0 days relative to index: Cerebrovascular disease,210
381591212,condition_era group during day -30 through 0 days relative to index: Cerebrovascular disease,212
432851210,condition_era group during day -365 through 0 days relative to index: Secondary malignant neoplastic disease,210
432851212,condition_era group during day -30 through 0 days relative to index: Secondary malignant neoplastic disease,212
433423210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of pancreatic duct,210
433423212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of pancreatic duct,212
433435210,condition_era group during day -365 through 0 days relative to index: Carcinoma in situ,210
433516210,condition_era group during day -365 through 0 days relative to index: Duodenitis,210
433701210,condition_era group during day -365 through 0 days relative to index: Mycosis,210
433701212,condition_era group during day -30 through 0 days relative to index: Mycosis,212
433930802,observation during day -365 through 0 days relative to index: Motor vehicle on road in collision with another motor vehicle,802
433968210,condition_era group during day -365 through 0 days relative to index: Candidiasis,210
433968212,condition_era group during day -30 through 0 days relative to index: Candidiasis,212
434610210,condition_era group during day -365 through 0 days relative to index: Hyperkalemia,210
434610212,condition_era group during day -30 through 0 days relative to index: Hyperkalemia,212
435515210,condition_era group during day -365 through 0 days relative to index: Hypo-osmolality and or hyponatremia,210
435515212,condition_era group during day -30 through 0 days relative to index: Hypo-osmolality and or hyponatremia,212
435752210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of duodenum,210
435752212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of duodenum,212
435754210,condition_era group during day -365 through 0 days relative to index: Malignant tumor of ascending colon,210
435754212,condition_era group during day -30 through 0 days relative to index: Malignant tumor of ascending colon,212
435796210,condition_era group during day -365 through 0 days relative to index: Dehydration,210
435796212,condition_era group during day -30 through 0 days relative to index: Dehydration,212
437312210,condition_era group during day -365 through 0 days relative to index: Bleeding,210
437312212,condition_era group during day -30 through 0 days relative to index: Bleeding,212
437409210,condition_era group during day -365 through 0 days relative to index: Intracranial injury,210
