cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
47,858.6557152635181,NA,NA,NA,54.7367229548759,14864,MDCD
9,414.3600273785079,Female,NA,NA,21.72024183157686,14864,MDCD
38,444.2956878850103,Male,NA,NA,85.52862662451703,14864,MDCD
-5,24.295687885010267,NA,0-9,NA,-205.79783637592968,14864,MDCD
-5,22.82546201232033,NA,10-19,NA,-219.05361640878013,14864,MDCD
-5,24.177960301163587,NA,20-29,NA,-206.79990941003283,14864,MDCD
0,39.93976728268309,NA,30-39,NA,0,14864,MDCD
0,90.63655030800821,NA,40-49,NA,0,14864,MDCD
-5,188.24366872005476,NA,50-59,NA,-26.561318284949678,14864,MDCD
10,165.37987679671457,NA,60-69,NA,60.46684877079712,14864,MDCD
15,218.93497604380562,NA,70-79,NA,68.51349323462472,14864,MDCD
14,83.11841204654347,NA,80-89,NA,168.43440166013372,14864,MDCD
-5,1.103353867214237,NA,90-99,NA,-4531.637717121588,14864,MDCD
-5,13.103353867214237,Female,0-9,NA,-381.58169661512744,14864,MDCD
0,21.51129363449692,Female,10-19,NA,0,14864,MDCD
-5,19.32375085557837,Female,20-29,NA,-258.7489373760272,14864,MDCD
0,28.607802874743324,Female,30-39,NA,0,14864,MDCD
0,51.397672826830934,Female,40-49,NA,0,14864,MDCD
-5,92.50376454483231,Female,50-59,NA,-54.05185426347412,14864,MDCD
-5,59.68240930869268,Female,60-69,NA,-83.77677875131887,14864,MDCD
-5,92.17248459958932,Female,70-79,NA,-54.24612368561753,14864,MDCD
-5,35.05270362765229,Female,80-89,NA,-142.64234944934782,14864,MDCD
0,1.0047912388774811,Female,90-99,NA,0,14864,MDCD
-5,11.19233401779603,Male,0-9,NA,-446.7343444227006,14864,MDCD
-5,1.3141683778234086,Male,10-19,NA,-3804.6875,14864,MDCD
0,4.854209445585216,Male,20-29,NA,0,14864,MDCD
0,11.331964407939767,Male,30-39,NA,0,14864,MDCD
0,39.238877481177276,Male,40-49,NA,0,14864,MDCD
-5,95.73990417522245,Male,50-59,NA,-52.224827704538306,14864,MDCD
7,105.6974674880219,Male,60-69,NA,66.2267523182925,14864,MDCD
14,126.7624914442163,Male,70-79,NA,110.44276457883369,14864,MDCD
12,48.06570841889117,Male,80-89,NA,249.65823650034176,14864,MDCD
-5,0.09856262833675565,Male,90-99,NA,-50729.166666666664,14864,MDCD
0,14.688569472963723,NA,NA,2011,0,14864,MDCD
0,33.01848049281314,NA,NA,2012,0,14864,MDCD
0,48.31759069130732,NA,NA,2013,0,14864,MDCD
0,63.41409993155373,NA,NA,2014,0,14864,MDCD
0,77.00205338809035,NA,NA,2015,0,14864,MDCD
-5,91.95619438740589,NA,NA,2016,-54.37371602107958,14864,MDCD
0,109.6974674880219,NA,NA,2017,0,14864,MDCD
-5,146.8473648186174,NA,NA,2018,-34.048959653963756,14864,MDCD
15,209.97399041752223,NA,NA,2019,71.43741932118968,14864,MDCD
28,63.73990417522245,NA,NA,2020,439.2852540698424,14864,MDCD
0,0.4791238877481177,NA,0-9,2013,0,14864,MDCD
0,0.999315537303217,NA,0-9,2014,0,14864,MDCD
0,0.999315537303217,NA,0-9,2015,0,14864,MDCD
0,1.002053388090349,NA,0-9,2016,0,14864,MDCD
0,2.507871321013005,NA,0-9,2017,0,14864,MDCD
0,3.9425051334702257,NA,0-9,2018,0,14864,MDCD
0,11.21697467488022,NA,0-9,2019,0,14864,MDCD
-5,3.1485284052019162,NA,0-9,2020,-1588.0434782608697,14864,MDCD
0,0.6078028747433265,NA,10-19,2011,0,14864,MDCD
0,1.002053388090349,NA,10-19,2012,0,14864,MDCD
0,1.273100616016427,NA,10-19,2013,0,14864,MDCD
0,1.998631074606434,NA,10-19,2014,0,14864,MDCD
0,2.6119096509240247,NA,10-19,2015,0,14864,MDCD
0,4.008213552361396,NA,10-19,2016,0,14864,MDCD
0,2.5735797399041753,NA,10-19,2017,0,14864,MDCD
0,3.997262149212868,NA,10-19,2018,0,14864,MDCD
0,3.3949349760438055,NA,10-19,2019,0,14864,MDCD
-5,1.3579739904175223,NA,10-19,2020,-3681.9556451612902,14864,MDCD
0,1.056810403832991,NA,20-29,2011,0,14864,MDCD
0,1.002053388090349,NA,20-29,2012,0,14864,MDCD
0,0.999315537303217,NA,20-29,2013,0,14864,MDCD
0,0.999315537303217,NA,20-29,2014,0,14864,MDCD
0,0.999315537303217,NA,20-29,2015,0,14864,MDCD
0,1.002053388090349,NA,20-29,2016,0,14864,MDCD
0,4.005475701574264,NA,20-29,2017,0,14864,MDCD
0,3.783709787816564,NA,20-29,2018,0,14864,MDCD
-5,8.071184120465436,NA,20-29,2019,-619.4877883310719,14864,MDCD
0,2.2587268993839835,NA,20-29,2020,0,14864,MDCD
0,0.39698836413415467,NA,30-39,2011,0,14864,MDCD
0,1.002053388090349,NA,30-39,2012,0,14864,MDCD
0,1.867214236824093,NA,30-39,2013,0,14864,MDCD
0,1.998631074606434,NA,30-39,2014,0,14864,MDCD
0,2.5051334702258727,NA,30-39,2015,0,14864,MDCD
0,3.819301848049281,NA,30-39,2016,0,14864,MDCD
0,4.167008898015058,NA,30-39,2017,0,14864,MDCD
0,6.844626967830253,NA,30-39,2018,0,14864,MDCD
0,12.862422997946611,NA,30-39,2019,0,14864,MDCD
0,4.476386036960986,NA,30-39,2020,0,14864,MDCD
0,2.1245722108145104,NA,40-49,2011,0,14864,MDCD
