either_subjects,both_subjects,t_only_subjects,c_only_subjects,t_before_c_subjects,c_before_t_subjects,same_day_subjects,t_in_c_subjects,c_in_t_subjects,target_cohort_id,comparator_cohort_id,database_id
40,-5,33,5,0,-5,0,-5,0,7361,14717,MDCD
12,0,5,7,NA,NA,NA,NA,NA,7362,14717,MDCD
9,0,-5,7,NA,NA,NA,NA,NA,7364,14717,MDCD
32,-5,25,6,0,0,-5,-5,-5,7367,14717,MDCD
11,0,-5,7,NA,NA,NA,NA,NA,7369,14717,MDCD
8,0,-5,7,NA,NA,NA,NA,NA,7370,14717,MDCD
14,0,7,7,NA,NA,NA,NA,NA,7374,14717,MDCD
13,0,6,7,NA,NA,NA,NA,NA,7376,14717,MDCD
8,0,-5,7,NA,NA,NA,NA,NA,7377,14717,MDCD
9,0,-5,7,NA,NA,NA,NA,NA,7381,14717,MDCD
14,-5,7,6,0,-5,0,0,0,7382,14717,MDCD
20,0,13,7,NA,NA,NA,NA,NA,7396,14717,MDCD
16,-5,9,6,-5,0,0,0,0,7398,14717,MDCD
20,-5,13,6,-5,0,0,0,-5,7399,14717,MDCD
10,-5,-5,6,-5,0,0,0,0,7400,14717,MDCD
20,-5,13,6,0,0,-5,-5,-5,7464,14717,MDCD
13,0,7,6,NA,NA,NA,NA,NA,14717,14867,MDCD
39,-5,33,-5,0,-5,0,0,0,7361,14867,MDCD
11,0,5,6,NA,NA,NA,NA,NA,7362,14867,MDCD
8,0,-5,6,NA,NA,NA,NA,NA,7364,14867,MDCD
32,0,26,6,NA,NA,NA,NA,NA,7367,14867,MDCD
10,0,-5,6,NA,NA,NA,NA,NA,7369,14867,MDCD
7,0,-5,6,NA,NA,NA,NA,NA,7370,14867,MDCD
13,0,7,6,NA,NA,NA,NA,NA,7374,14867,MDCD
12,0,6,6,NA,NA,NA,NA,NA,7376,14867,MDCD
7,0,-5,6,NA,NA,NA,NA,NA,7377,14867,MDCD
8,0,-5,6,NA,NA,NA,NA,NA,7381,14867,MDCD
14,0,8,6,NA,NA,NA,NA,NA,7382,14867,MDCD
19,0,13,6,NA,NA,NA,NA,NA,7396,14867,MDCD
16,0,10,6,NA,NA,NA,NA,NA,7398,14867,MDCD
20,0,14,6,NA,NA,NA,NA,NA,7399,14867,MDCD
10,0,-5,6,NA,NA,NA,NA,NA,7400,14867,MDCD
20,0,14,6,NA,NA,NA,NA,NA,7464,14867,MDCD
35,5,30,0,0,0,5,5,5,7361,7362,MDCD
37,0,35,-5,NA,NA,NA,NA,NA,7361,7364,MDCD
7,0,5,-5,NA,NA,NA,NA,NA,7362,7364,MDCD
56,5,30,21,0,-5,-5,5,-5,7361,7367,MDCD
26,5,0,21,0,-5,-5,5,-5,7362,7367,MDCD
26,-5,0,24,0,0,-5,-5,-5,7364,7367,MDCD
39,0,35,-5,NA,NA,NA,NA,NA,7361,7369,MDCD
9,0,5,-5,NA,NA,NA,NA,NA,7362,7369,MDCD
6,0,-5,-5,NA,NA,NA,NA,NA,7364,7369,MDCD
28,-5,24,-5,0,0,-5,-5,-5,7367,7369,MDCD
36,0,35,-5,NA,NA,NA,NA,NA,7361,7370,MDCD
6,0,5,-5,NA,NA,NA,NA,NA,7362,7370,MDCD
-5,0,-5,-5,NA,NA,NA,NA,NA,7364,7370,MDCD
26,-5,25,0,0,-5,0,-5,0,7367,7370,MDCD
5,0,-5,-5,NA,NA,NA,NA,NA,7369,7370,MDCD
42,0,35,7,NA,NA,NA,NA,NA,7361,7374,MDCD
12,0,5,7,NA,NA,NA,NA,NA,7362,7374,MDCD
9,0,-5,7,NA,NA,NA,NA,NA,7364,7374,MDCD
32,-5,25,6,0,-5,0,-5,0,7367,7374,MDCD
