cohort_id,covariate_id,mean,sd,database_id
7361,1007,-0.143,NA,MDCD
7361,1901,2.571,2.795,MDCD
7361,1902,0.4,0,MDCD
7361,1903,0.743,0.657,MDCD
7361,1904,1.6,1.143,MDCD
7361,2007,-0.143,NA,MDCD
7361,3007,0.943,0.985,MDCD
7361,10003,-0.143,NA,MDCD
7361,11003,-0.143,NA,MDCD
7361,12003,0.171,0.42,MDCD
7361,15003,0.143,0.383,MDCD
7361,16003,0.343,0.594,MDCD
7361,17003,-0.143,NA,MDCD
7361,18003,-0.143,NA,MDCD
7361,2020006,1,1.014,MDCD
7361,8507001,0.743,0.874,MDCD
7361,8532001,0.257,0.514,MDCD
7361,30346210,-0.143,NA,MDCD
7361,30346212,-0.143,NA,MDCD
7361,72266210,-0.143,NA,MDCD
7361,72266212,-0.143,NA,MDCD
7361,74582210,-0.143,NA,MDCD
7361,74582212,-0.143,NA,MDCD
7361,76349210,-0.143,NA,MDCD
7361,76349212,-0.143,NA,MDCD
7361,78097210,-0.143,NA,MDCD
7361,78097212,-0.143,NA,MDCD
7361,79768210,-0.143,NA,MDCD
7361,79768212,-0.143,NA,MDCD
7361,79864210,-0.143,NA,MDCD
7361,79864212,-0.143,NA,MDCD
7361,80665210,0.257,0.514,MDCD
7361,80665212,0.257,0.514,MDCD
7361,80767210,-0.143,NA,MDCD
7361,80767212,-0.143,NA,MDCD
7361,81251210,-0.143,NA,MDCD
7361,81251212,-0.143,NA,MDCD
7361,132797210,-0.143,NA,MDCD
7361,132797212,-0.143,NA,MDCD
7361,133420210,-0.143,NA,MDCD
7361,133420212,-0.143,NA,MDCD
7361,133424210,-0.143,NA,MDCD
7361,133424212,-0.143,NA,MDCD
7361,136917210,-0.143,NA,MDCD
7361,136917212,-0.143,NA,MDCD
7361,138994210,-0.143,NA,MDCD
7361,138994212,-0.143,NA,MDCD
7361,139750210,-0.143,NA,MDCD
7361,139750212,-0.143,NA,MDCD
7361,140673210,-0.143,NA,MDCD
7361,192359210,-0.143,NA,MDCD
7361,192359212,-0.143,NA,MDCD
7361,192438210,0.343,0.594,MDCD
7361,192438212,0.343,0.594,MDCD
7361,192568210,-0.143,NA,MDCD
7361,192568212,-0.143,NA,MDCD
7361,194589210,-0.143,NA,MDCD
7361,194589212,-0.143,NA,MDCD
7361,195482210,-0.143,NA,MDCD
7361,195482212,-0.143,NA,MDCD
7361,196044210,-0.143,NA,MDCD
7361,196044212,-0.143,NA,MDCD
7361,196068210,-0.143,NA,MDCD
7361,196068212,-0.143,NA,MDCD
7361,196360210,-0.143,NA,MDCD
7361,196360212,-0.143,NA,MDCD
7361,196925210,-0.143,NA,MDCD
7361,196925212,-0.143,NA,MDCD
7361,196931210,-0.143,NA,MDCD
7361,196931212,-0.143,NA,MDCD
7361,197032210,-0.143,NA,MDCD
7361,197032212,-0.143,NA,MDCD
7361,197320210,-0.143,NA,MDCD
7361,197320212,-0.143,NA,MDCD
7361,197506210,0.314,0.569,MDCD
7361,197506212,0.314,0.569,MDCD
7361,197507210,-0.143,NA,MDCD
7361,197507212,-0.143,NA,MDCD
7361,197508210,-0.143,NA,MDCD
7361,197508212,-0.143,NA,MDCD
7361,197804210,0.229,0.485,MDCD
7361,197804212,0.229,0.485,MDCD
7361,198091210,-0.143,NA,MDCD
7361,198091212,-0.143,NA,MDCD
7361,198124210,-0.143,NA,MDCD
7361,198124212,-0.143,NA,MDCD
7361,198700210,-0.143,NA,MDCD
7361,198700212,-0.143,NA,MDCD
7361,198988210,0.143,0.383,MDCD
7361,198988212,0.143,0.383,MDCD
7361,199754210,-0.143,NA,MDCD
7361,199754212,-0.143,NA,MDCD
7361,200054210,-0.143,NA,MDCD
7361,200054212,-0.143,NA,MDCD
7361,200680210,-0.143,NA,MDCD
7361,200680212,-0.143,NA,MDCD
7361,200962210,-0.143,NA,MDCD
7361,200962212,-0.143,NA,MDCD
7361,200970210,-0.143,NA,MDCD
7361,200970212,-0.143,NA,MDCD
7361,201131210,0.171,0.42,MDCD
7361,201131212,0.171,0.42,MDCD
