cohortDefinitionId,baseCount,finalCount,modeId
14717,8,8,0
14717,7,7,1
14867,8,8,0
14867,6,6,1
7396,13,13,0
7396,13,13,1
7398,120,120,0
7398,10,10,1
7382,17,17,0
7382,8,8,1
7374,7,7,0
7374,7,7,1
7381,2,2,0
7381,2,2,1
7400,10,10,0
7400,4,4,1
7369,4,4,0
7369,4,4,1
7367,52,52,0
7367,26,26,1
7377,1,1,0
7377,1,1,1
7399,14,14,0
7399,14,14,1
7404,0,0,0
7404,0,0,1
7376,16,16,0
7376,6,6,1
7361,35,35,0
7361,35,35,1
7362,5,5,0
7362,5,5,1
7370,3,3,0
7370,1,1,1
7464,28,28,0
7464,14,14,1
7364,6,6,0
7364,2,2,1
