cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
35,877.4811772758385,NA,NA,NA,39.88689547581903,7361,MDCD
9,420.9034907597536,Female,NA,NA,21.38257390964972,7361,MDCD
26,456.5776865160849,Male,NA,NA,56.94540221269451,7361,MDCD
0,24.4435318275154,NA,0-9,NA,0,7361,MDCD
0,22.82546201232033,NA,10-19,NA,0,7361,MDCD
0,25.366187542778917,NA,20-29,NA,0,7361,MDCD
0,39.93976728268309,NA,30-39,NA,0,7361,MDCD
0,90.63655030800821,NA,40-49,NA,0,7361,MDCD
7,193.6290212183436,NA,50-59,NA,36.1516055597189,7361,MDCD
6,169.201916495551,NA,60-69,NA,35.460591252568726,7361,MDCD
5,225.95756331279944,NA,70-79,NA,22.128048854369876,7361,MDCD
15,84.3750855578371,NA,80-89,NA,177.7775975079499,7361,MDCD
-5,1.106091718001369,NA,90-99,NA,-4520.420792079208,7361,MDCD
0,13.25119780971937,Female,0-9,NA,0,7361,MDCD
0,21.51129363449692,Female,10-19,NA,0,7361,MDCD
0,20.5119780971937,Female,20-29,NA,0,7361,MDCD
0,28.607802874743324,Female,30-39,NA,0,7361,MDCD
0,51.397672826830934,Female,40-49,NA,0,7361,MDCD
-5,95.81656399726215,Female,50-59,NA,-52.183044260936654,7361,MDCD
-5,61.0321697467488,Female,60-69,NA,-81.92400861295532,7361,MDCD
-5,92.36413415468857,Female,70-79,NA,-54.13356651648091,7361,MDCD
-5,35.40588637919233,Female,80-89,NA,-141.21945561398084,7361,MDCD
0,1.0047912388774811,Female,90-99,NA,0,7361,MDCD
0,11.19233401779603,Male,0-9,NA,0,7361,MDCD
0,1.3141683778234086,Male,10-19,NA,0,7361,MDCD
0,4.854209445585216,Male,20-29,NA,0,7361,MDCD
0,11.331964407939767,Male,30-39,NA,0,7361,MDCD
0,39.238877481177276,Male,40-49,NA,0,7361,MDCD
5,97.81245722108144,Male,50-59,NA,51.118233219504006,7361,MDCD
5,108.1697467488022,Male,60-69,NA,46.223645245387125,7361,MDCD
-5,133.5934291581109,Male,70-79,NA,-37.42699047033507,7361,MDCD
11,48.969199178644764,Male,80-89,NA,224.6309963099631,7361,MDCD
-5,0.10130047912388775,Male,90-99,NA,-49358.10810810811,7361,MDCD
0,14.688569472963723,NA,NA,2011,0,7361,MDCD
0,33.01848049281314,NA,NA,2012,0,7361,MDCD
0,48.31759069130732,NA,NA,2013,0,7361,MDCD
0,63.41409993155373,NA,NA,2014,0,7361,MDCD
0,77.00205338809035,NA,NA,2015,0,7361,MDCD
0,92.35592060232717,NA,NA,2016,0,7361,MDCD
0,111.69609856262834,NA,NA,2017,0,7361,MDCD
0,149.56605065023956,NA,NA,2018,0,7361,MDCD
0,218.2696783025325,NA,NA,2019,0,7361,MDCD
35,69.15263518138262,NA,NA,2020,506.12677171589195,7361,MDCD
0,0.4791238877481177,NA,0-9,2013,0,7361,MDCD
0,0.999315537303217,NA,0-9,2014,0,7361,MDCD
0,0.999315537303217,NA,0-9,2015,0,7361,MDCD
0,1.002053388090349,NA,0-9,2016,0,7361,MDCD
0,2.507871321013005,NA,0-9,2017,0,7361,MDCD
0,3.9425051334702257,NA,0-9,2018,0,7361,MDCD
0,11.21697467488022,NA,0-9,2019,0,7361,MDCD
0,3.2963723477070497,NA,0-9,2020,0,7361,MDCD
0,0.6078028747433265,NA,10-19,2011,0,7361,MDCD
0,1.002053388090349,NA,10-19,2012,0,7361,MDCD
0,1.273100616016427,NA,10-19,2013,0,7361,MDCD
0,1.998631074606434,NA,10-19,2014,0,7361,MDCD
0,2.6119096509240247,NA,10-19,2015,0,7361,MDCD
0,4.008213552361396,NA,10-19,2016,0,7361,MDCD
0,2.5735797399041753,NA,10-19,2017,0,7361,MDCD
0,3.997262149212868,NA,10-19,2018,0,7361,MDCD
0,3.3949349760438055,NA,10-19,2019,0,7361,MDCD
0,1.3579739904175223,NA,10-19,2020,0,7361,MDCD
0,1.056810403832991,NA,20-29,2011,0,7361,MDCD
0,1.002053388090349,NA,20-29,2012,0,7361,MDCD
0,0.999315537303217,NA,20-29,2013,0,7361,MDCD
0,0.999315537303217,NA,20-29,2014,0,7361,MDCD
0,0.999315537303217,NA,20-29,2015,0,7361,MDCD
