cohort_id,cohort_entries,cohort_subjects,database_id
111,7,7,PREMIER
112,8,8,PREMIER
132,372,372,PREMIER
133,559,559,PREMIER
134,30,30,PREMIER
135,46,46,PREMIER
111000011,7,7,PREMIER
111000031,-5,-5,PREMIER
111000041,-5,-5,PREMIER
111000051,6,6,PREMIER
111000061,-5,-5,PREMIER
111000071,-5,-5,PREMIER
111000081,6,6,PREMIER
112000011,8,8,PREMIER
112000031,-5,-5,PREMIER
112000041,-5,-5,PREMIER
112000051,7,7,PREMIER
112000061,-5,-5,PREMIER
112000071,-5,-5,PREMIER
112000081,7,7,PREMIER
113000011,-5,-5,PREMIER
113000031,-5,-5,PREMIER
113000041,-5,-5,PREMIER
113000051,-5,-5,PREMIER
113000061,-5,-5,PREMIER
113000071,-5,-5,PREMIER
113000081,-5,-5,PREMIER
114000011,-5,-5,PREMIER
114000031,-5,-5,PREMIER
114000041,-5,-5,PREMIER
114000051,-5,-5,PREMIER
114000061,-5,-5,PREMIER
114000071,-5,-5,PREMIER
114000081,-5,-5,PREMIER
132000011,159,159,PREMIER
132000021,213,213,PREMIER
132000031,207,207,PREMIER
132000041,165,165,PREMIER
132000051,368,368,PREMIER
132000061,-5,-5,PREMIER
132000071,78,78,PREMIER
132000081,294,294,PREMIER
132000121,246,246,PREMIER
132000131,126,126,PREMIER
132001001,105,105,PREMIER
132001002,267,267,PREMIER
132001011,150,150,PREMIER
132001012,222,222,PREMIER
132001021,150,150,PREMIER
132001022,222,222,PREMIER
132001031,150,150,PREMIER
132001032,222,222,PREMIER
132001041,102,102,PREMIER
132001042,270,270,PREMIER
132001051,28,28,PREMIER
132001052,344,344,PREMIER
132001081,27,27,PREMIER
132001082,345,345,PREMIER
132001091,6,6,PREMIER
132001092,366,366,PREMIER
132001181,48,48,PREMIER
132001182,324,324,PREMIER
132001201,16,16,PREMIER
132001202,356,356,PREMIER
132001251,185,185,PREMIER
132001252,187,187,PREMIER
132002001,38,38,PREMIER
132002002,334,334,PREMIER
132002031,151,151,PREMIER
132002032,221,221,PREMIER
132002041,150,150,PREMIER
132002042,222,222,PREMIER
132002061,8,8,PREMIER
132002062,364,364,PREMIER
133000011,162,162,PREMIER
133000021,397,397,PREMIER
133000031,314,314,PREMIER
133000041,245,245,PREMIER
133000051,552,552,PREMIER
133000061,7,7,PREMIER
133000071,98,98,PREMIER
133000081,461,461,PREMIER
133000121,277,277,PREMIER
133000131,282,282,PREMIER
133001001,108,108,PREMIER
133001002,451,451,PREMIER
133001011,154,154,PREMIER
133001012,405,405,PREMIER
133001021,155,155,PREMIER
133001022,404,404,PREMIER
133001031,155,155,PREMIER
133001032,404,404,PREMIER
133001041,106,106,PREMIER
133001042,453,453,PREMIER
133001051,32,32,PREMIER
133001052,527,527,PREMIER
133001081,29,29,PREMIER
133001082,530,530,PREMIER
133001091,6,6,PREMIER
133001092,553,553,PREMIER
133001171,8,8,PREMIER
133001172,551,551,PREMIER
133001181,49,49,PREMIER
133001182,510,510,PREMIER
133001201,17,17,PREMIER
133001202,542,542,PREMIER
133001251,197,197,PREMIER
133001252,362,362,PREMIER
133002001,56,56,PREMIER
133002002,503,503,PREMIER
133002031,156,156,PREMIER
133002032,403,403,PREMIER
133002041,155,155,PREMIER
133002042,404,404,PREMIER
133002061,11,11,PREMIER
133002062,548,548,PREMIER
134000011,12,12,PREMIER
134000021,18,18,PREMIER
134000031,12,12,PREMIER
134000041,18,18,PREMIER
134000051,30,30,PREMIER
134000071,10,10,PREMIER
134000081,20,20,PREMIER
134000121,10,10,PREMIER
134000131,20,20,PREMIER
134001001,13,13,PREMIER
134001002,17,17,PREMIER
134001011,14,14,PREMIER
134001012,16,16,PREMIER
134001021,13,13,PREMIER
134001022,17,17,PREMIER
134001031,13,13,PREMIER
134001032,17,17,PREMIER
134001041,11,11,PREMIER
134001042,19,19,PREMIER
134001051,7,7,PREMIER
134001052,23,23,PREMIER
134001251,22,22,PREMIER
134001252,8,8,PREMIER
134002001,9,9,PREMIER
134002002,21,21,PREMIER
134002031,14,14,PREMIER
134002032,16,16,PREMIER
134002041,13,13,PREMIER
134002042,17,17,PREMIER
135000011,14,14,PREMIER
135000021,32,32,PREMIER
135000031,19,19,PREMIER
135000041,27,27,PREMIER
135000051,46,46,PREMIER
135000071,21,21,PREMIER
135000081,25,25,PREMIER
135000121,13,13,PREMIER
135000131,33,33,PREMIER
135001001,14,14,PREMIER
135001002,32,32,PREMIER
135001011,15,15,PREMIER
135001012,31,31,PREMIER
135001021,14,14,PREMIER
135001022,32,32,PREMIER
135001031,14,14,PREMIER
135001032,32,32,PREMIER
135001041,14,14,PREMIER
135001042,32,32,PREMIER
135001051,10,10,PREMIER
135001052,36,36,PREMIER
135001251,29,29,PREMIER
135001252,17,17,PREMIER
135002001,13,13,PREMIER
135002002,33,33,PREMIER
135002031,15,15,PREMIER
135002032,31,31,PREMIER
135002041,14,14,PREMIER
135002042,32,32,PREMIER
136000011,-5,-5,PREMIER
136000021,-5,-5,PREMIER
136000041,-5,-5,PREMIER
136000051,-5,-5,PREMIER
136000071,-5,-5,PREMIER
136000081,-5,-5,PREMIER
136000131,-5,-5,PREMIER
137000011,-5,-5,PREMIER
137000021,-5,-5,PREMIER
137000041,-5,-5,PREMIER
137000051,-5,-5,PREMIER
137000071,-5,-5,PREMIER
137000081,-5,-5,PREMIER
137000131,-5,-5,PREMIER
