name,cohort_id,cohort_entries,cohort_subjects,database_id
Persons tested for SARS-CoV-2 with at least 365d prior observation,126,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation,128,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,130,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation,132,372,372,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,134,30,30,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,136,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation,138,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation,140,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation,127,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation,129,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,131,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation,133,559,559,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,135,46,46,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,137,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation,139,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation,141,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation,111,7,7,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation,113,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation,115,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation,112,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation,114,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation,116,NA,NA,NA
Prevalent Type 2 Diabetes Mellitus,100,182,182,PREMIER
Prevalent hypertension,101,247,247,PREMIER
Prevalent chronic obstructive pulmonary disease (COPD) without asthma,119,13,13,PREMIER
Prevalent Asthma without COPD,120,41,41,PREMIER
Prevalent chronic kidney disease,102,170,170,PREMIER
Prevalent end stage renal disease,103,164,164,PREMIER
Prevalent heart disease,104,185,185,PREMIER
Prevalent malignant neoplasm excluding non-melanoma skin cancer,105,98,98,PREMIER
Pregnant women,199,97,57,PREMIER
Prevalent Human immunodeficiency virus infection,106,-5,-5,PREMIER
Prevalent tuberculosis,117,20,20,PREMIER
Prevalent Hepatitis C,107,9,9,PREMIER
Prevalent obesity,108,47,47,PREMIER
Prevalent Dementia,109,15,15,PREMIER
Prevalent pre-existing condition of COVID risk factor,125,396,396,PREMIER
Prevalent Autoimmune condition,118,87,87,PREMIER
Flu-like symptom episodes,200,982,598,PREMIER
Prevalent chronic kidney disease broad,203,181,181,PREMIER
Prevalent end stage renal disease broad,204,165,165,PREMIER
Prevalent Human immunodeficiency virus infection broad,205,-5,-5,PREMIER
Prevalent tuberculosis broad,206,26,26,PREMIER
Prevalent Asthma or Chronic obstructive pulmonary disease (COPD),121,62,62,PREMIER
Asthma/COPD Step 1,122,156,123,PREMIER
Asthma/COPD Step 2,123,106,17,PREMIER
Asthma/COPD Step 3,124,-5,-5,PREMIER
Gestational diabetes,110,11,6,PREMIER
Eclampsia and pre-eclampsia,142,-5,-5,PREMIER
Fever,143,710,515,PREMIER
Cough,144,314,112,PREMIER
Myalgia,145,212,54,PREMIER
Malaise or fatigue,146,27,27,PREMIER
Dyspnea,147,233,101,PREMIER
Anosmia OR Hyposmia OR Dysgeusia,148,22,-5,PREMIER
Persons with additional testing for SARS-Cov-2 (prior test >=1d before test),149,NA,NA,NA
Persons with additional testing for SARS-Cov-2 (prior test >=5d before test),150,NA,NA,NA
Hospitalization episodes,151,2316,607,PREMIER
Pneumonia during hospitalization,152,108,88,PREMIER
Acute Respiratory Distress syndrome (ARDS) during hospitalization,153,15,15,PREMIER
Acute kidney injury (AKI) diagnosis during hospitalization,154,59,50,PREMIER
Sepsis during hospitalization,155,30,26,PREMIER
Venous thromboembolic (pulmonary embolism and deep vein thrombosis) events,156,54,18,PREMIER
Pulmonary Embolism events,157,48,15,PREMIER
Deep vein thrombosis events,158,NA,NA,NA
