covariate_id,covariate_name,covariate_analysis_id
100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000
100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000
100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000
100003,Cohort during day 0 through 0 days start the index: Prevalent Type 2 Diabetes Mellitus,10000
101004,Cohort during day 0 through 30 days start the index: Prevalent hypertension,10000
101003,Cohort during day 0 through 0 days start the index: Prevalent hypertension,10000
101001,Cohort during day -365 through -1 days overlap the index: Prevalent hypertension,10000
101002,Cohort during day -30 through -1 days overlap the index: Prevalent hypertension,10000
102001,Cohort during day -365 through -1 days overlap the index: Prevalent chronic kidney disease,10000
102002,Cohort during day -30 through -1 days overlap the index: Prevalent chronic kidney disease,10000
103001,Cohort during day -365 through -1 days overlap the index: Prevalent end stage renal disease,10000
103004,Cohort during day 0 through 30 days start the index: Prevalent end stage renal disease,10000
103003,Cohort during day 0 through 0 days start the index: Prevalent end stage renal disease,10000
103002,Cohort during day -30 through -1 days overlap the index: Prevalent end stage renal disease,10000
104002,Cohort during day -30 through -1 days overlap the index: Prevalent heart disease,10000
104001,Cohort during day -365 through -1 days overlap the index: Prevalent heart disease,10000
104004,Cohort during day 0 through 30 days start the index: Prevalent heart disease,10000
105001,Cohort during day -365 through -1 days overlap the index: Prevalent malignant neoplasm excluding non-melanoma skin cancer,10000
105003,Cohort during day 0 through 0 days start the index: Prevalent malignant neoplasm excluding non-melanoma skin cancer,10000
105002,Cohort during day -30 through -1 days overlap the index: Prevalent malignant neoplasm excluding non-melanoma skin cancer,10000
105004,Cohort during day 0 through 30 days start the index: Prevalent malignant neoplasm excluding non-melanoma skin cancer,10000
107002,Cohort during day -30 through -1 days overlap the index: Prevalent Hepatitis C,10000
107001,Cohort during day -365 through -1 days overlap the index: Prevalent Hepatitis C,10000
108001,Cohort during day -365 through -1 days overlap the index: Prevalent obesity,10000
108002,Cohort during day -30 through -1 days overlap the index: Prevalent obesity,10000
109002,Cohort during day -30 through -1 days overlap the index: Prevalent Dementia,10000
109001,Cohort during day -365 through -1 days overlap the index: Prevalent Dementia,10000
117002,Cohort during day -30 through -1 days overlap the index: Prevalent tuberculosis,10000
117001,Cohort during day -365 through -1 days overlap the index: Prevalent tuberculosis,10000
117004,Cohort during day 0 through 30 days start the index: Prevalent tuberculosis,10000
117003,Cohort during day 0 through 0 days start the index: Prevalent tuberculosis,10000
118004,Cohort during day 0 through 30 days start the index: Prevalent Autoimmune condition,10000
118001,Cohort during day -365 through -1 days overlap the index: Prevalent Autoimmune condition,10000
118002,Cohort during day -30 through -1 days overlap the index: Prevalent Autoimmune condition,10000
118003,Cohort during day 0 through 0 days start the index: Prevalent Autoimmune condition,10000
119001,Cohort during day -365 through -1 days overlap the index: Prevalent chronic obstructive pulmonary disease (COPD) without asthma,10000
119002,Cohort during day -30 through -1 days overlap the index: Prevalent chronic obstructive pulmonary disease (COPD) without asthma,10000
120002,Cohort during day -30 through -1 days overlap the index: Prevalent Asthma without COPD,10000
120001,Cohort during day -365 through -1 days overlap the index: Prevalent Asthma without COPD,10000
120003,Cohort during day 0 through 0 days start the index: Prevalent Asthma without COPD,10000
120004,Cohort during day 0 through 30 days start the index: Prevalent Asthma without COPD,10000
121003,Cohort during day 0 through 0 days start the index: Prevalent Asthma or Chronic obstructive pulmonary disease (COPD),10000
121002,Cohort during day -30 through -1 days overlap the index: Prevalent Asthma or Chronic obstructive pulmonary disease (COPD),10000
121001,Cohort during day -365 through -1 days overlap the index: Prevalent Asthma or Chronic obstructive pulmonary disease (COPD),10000
121004,Cohort during day 0 through 30 days start the index: Prevalent Asthma or Chronic obstructive pulmonary disease (COPD),10000
122002,Cohort during day -30 through -1 days overlap the index: Asthma/COPD Step 1,10000
122003,Cohort during day 0 through 0 days start the index: Asthma/COPD Step 1,10000
122001,Cohort during day -365 through -1 days overlap the index: Asthma/COPD Step 1,10000
122004,Cohort during day 0 through 30 days start the index: Asthma/COPD Step 1,10000
123004,Cohort during day 0 through 30 days start the index: Asthma/COPD Step 2,10000
123001,Cohort during day -365 through -1 days overlap the index: Asthma/COPD Step 2,10000
125002,Cohort during day -30 through -1 days overlap the index: Prevalent pre-existing condition of COVID risk factor,10000
125001,Cohort during day -365 through -1 days overlap the index: Prevalent pre-existing condition of COVID risk factor,10000
125003,Cohort during day 0 through 0 days start the index: Prevalent pre-existing condition of COVID risk factor,10000
125004,Cohort during day 0 through 30 days start the index: Prevalent pre-existing condition of COVID risk factor,10000
143004,Cohort during day 0 through 30 days start the index: Fever,10000
143003,Cohort during day 0 through 0 days start the index: Fever,10000
143002,Cohort during day -30 through -1 days overlap the index: Fever,10000
143001,Cohort during day -365 through -1 days overlap the index: Fever,10000
144001,Cohort during day -365 through -1 days overlap the index: Cough,10000
144002,Cohort during day -30 through -1 days overlap the index: Cough,10000
144004,Cohort during day 0 through 30 days start the index: Cough,10000
144003,Cohort during day 0 through 0 days start the index: Cough,10000
145002,Cohort during day -30 through -1 days overlap the index: Myalgia,10000
145001,Cohort during day -365 through -1 days overlap the index: Myalgia,10000
146001,Cohort during day -365 through -1 days overlap the index: Malaise or fatigue,10000
147001,Cohort during day -365 through -1 days overlap the index: Dyspnea,10000
147003,Cohort during day 0 through 0 days start the index: Dyspnea,10000
147002,Cohort during day -30 through -1 days overlap the index: Dyspnea,10000
147004,Cohort during day 0 through 30 days start the index: Dyspnea,10000
151001,Cohort during day -365 through -1 days overlap the index: Hospitalization episodes,10000
151002,Cohort during day -30 through -1 days overlap the index: Hospitalization episodes,10000
151003,Cohort during day 0 through 0 days start the index: Hospitalization episodes,10000
151004,Cohort during day 0 through 30 days start the index: Hospitalization episodes,10000
152003,Cohort during day 0 through 0 days start the index: Pneumonia during hospitalization,10000
152004,Cohort during day 0 through 30 days start the index: Pneumonia during hospitalization,10000
152001,Cohort during day -365 through -1 days overlap the index: Pneumonia during hospitalization,10000
152002,Cohort during day -30 through -1 days overlap the index: Pneumonia during hospitalization,10000
153004,Cohort during day 0 through 30 days start the index: Acute Respiratory Distress syndrome (ARDS) during hospitalization,10000
153001,Cohort during day -365 through -1 days overlap the index: Acute Respiratory Distress syndrome (ARDS) during hospitalization,10000
153003,Cohort during day 0 through 0 days start the index: Acute Respiratory Distress syndrome (ARDS) during hospitalization,10000
153002,Cohort during day -30 through -1 days overlap the index: Acute Respiratory Distress syndrome (ARDS) during hospitalization,10000
154002,Cohort during day -30 through -1 days overlap the index: Acute kidney injury (AKI) diagnosis during hospitalization,10000
154001,Cohort during day -365 through -1 days overlap the index: Acute kidney injury (AKI) diagnosis during hospitalization,10000
155003,Cohort during day 0 through 0 days start the index: Sepsis during hospitalization,10000
155004,Cohort during day 0 through 30 days start the index: Sepsis during hospitalization,10000
155001,Cohort during day -365 through -1 days overlap the index: Sepsis during hospitalization,10000
155002,Cohort during day -30 through -1 days overlap the index: Sepsis during hospitalization,10000
156001,Cohort during day -365 through -1 days overlap the index: Venous thromboembolic (pulmonary embolism and deep vein thrombosis) events,10000
156002,Cohort during day -30 through -1 days overlap the index: Venous thromboembolic (pulmonary embolism and deep vein thrombosis) events,10000
157001,Cohort during day -365 through -1 days overlap the index: Pulmonary Embolism events,10000
157002,Cohort during day -30 through -1 days overlap the index: Pulmonary Embolism events,10000
159002,Cohort during day -30 through -1 days overlap the index: Heart failure during hospitalization,10000
159001,Cohort during day -365 through -1 days overlap the index: Heart failure during hospitalization,10000
159004,Cohort during day 0 through 30 days start the index: Heart failure during hospitalization,10000
159003,Cohort during day 0 through 0 days start the index: Heart failure during hospitalization,10000
160004,Cohort during day 0 through 30 days start the index: Cardiac arrhythmia during hospitalization,10000
160001,Cohort during day -365 through -1 days overlap the index: Cardiac arrhythmia during hospitalization,10000
161001,Cohort during day -365 through -1 days overlap the index: Bradycardia or heart block during hospitalization,10000
161004,Cohort during day 0 through 30 days start the index: Bradycardia or heart block during hospitalization,10000
162001,Cohort during day -365 through -1 days overlap the index: Supraventricular arrythymia during hospitalization,10000
162004,Cohort during day 0 through 30 days start the index: Supraventricular arrythymia during hospitalization,10000
163001,Cohort during day -365 through -1 days overlap the index: ventricular arrhythmia or cardiac arrest during hospitalization,10000
164004,Cohort during day 0 through 30 days start the index: death,10000
176003,Cohort during day 0 through 0 days start the index: Pneumonia episodes,10000
176001,Cohort during day -365 through -1 days overlap the index: Pneumonia episodes,10000
176004,Cohort during day 0 through 30 days start the index: Pneumonia episodes,10000
176002,Cohort during day -30 through -1 days overlap the index: Pneumonia episodes,10000
177004,Cohort during day 0 through 30 days start the index: intensive services during hospitalization,10000
177001,Cohort during day -365 through -1 days overlap the index: intensive services during hospitalization,10000
178004,Cohort during day 0 through 30 days start the index: mechanical ventilation during hospitalization,10000
178001,Cohort during day -365 through -1 days overlap the index: mechanical ventilation during hospitalization,10000
178003,Cohort during day 0 through 0 days start the index: mechanical ventilation during hospitalization,10000
178002,Cohort during day -30 through -1 days overlap the index: mechanical ventilation during hospitalization,10000
181002,Cohort during day -30 through -1 days overlap the index: dialysis during hospitalization,10000
181004,Cohort during day 0 through 30 days start the index: dialysis during hospitalization,10000
181001,Cohort during day -365 through -1 days overlap the index: dialysis during hospitalization,10000
182002,Cohort during day -30 through -1 days overlap the index: Persons with chest pain or angina,10000
182001,Cohort during day -365 through -1 days overlap the index: Persons with chest pain or angina,10000
182003,Cohort during day 0 through 0 days start the index: Persons with chest pain or angina,10000
182004,Cohort during day 0 through 30 days start the index: Persons with chest pain or angina,10000
183003,Cohort during day 0 through 0 days start the index: Angina during hospitalization,10000
183004,Cohort during day 0 through 30 days start the index: Angina during hospitalization,10000
183001,Cohort during day -365 through -1 days overlap the index: Angina during hospitalization,10000
184001,Cohort during day -365 through -1 days overlap the index: Persons with hepatic failure,10000
184002,Cohort during day -30 through -1 days overlap the index: Persons with hepatic failure,10000
185001,Cohort during day -365 through -1 days overlap the index: Acute pancreatitis events,10000
186004,Cohort during day 0 through 30 days start the index: Total cardiovascular disease events,10000
186002,Cohort during day -30 through -1 days overlap the index: Total cardiovascular disease events,10000
186001,Cohort during day -365 through -1 days overlap the index: Total cardiovascular disease events,10000
186003,Cohort during day 0 through 0 days start the index: Total cardiovascular disease events,10000
187002,Cohort during day -30 through -1 days overlap the index: Gastrointestinal bleeding events,10000
187004,Cohort during day 0 through 30 days start the index: Gastrointestinal bleeding events,10000
187001,Cohort during day -365 through -1 days overlap the index: Gastrointestinal bleeding events,10000
190001,Cohort during day -365 through -1 days overlap the index: Stroke (ischemic or hemorrhagic) events,10000
190002,Cohort during day -30 through -1 days overlap the index: Stroke (ischemic or hemorrhagic) events,10000
190004,Cohort during day 0 through 30 days start the index: Stroke (ischemic or hemorrhagic) events,10000
190003,Cohort during day 0 through 0 days start the index: Stroke (ischemic or hemorrhagic) events,10000
191001,Cohort during day -365 through -1 days overlap the index: Ischemic stroke events,10000
191004,Cohort during day 0 through 30 days start the index: Ischemic stroke events,10000
191003,Cohort during day 0 through 0 days start the index: Ischemic stroke events,10000
191002,Cohort during day -30 through -1 days overlap the index: Ischemic stroke events,10000
192001,Cohort during day -365 through -1 days overlap the index: Hemorrhagic stroke (intracerebral bleeding) events,10000
193002,Cohort during day -30 through -1 days overlap the index: Acute myocardial infarction events,10000
193001,Cohort during day -365 through -1 days overlap the index: Acute myocardial infarction events,10000
193004,Cohort during day 0 through 30 days start the index: Acute myocardial infarction events,10000
194002,Cohort during day -30 through -1 days overlap the index: Bleeding during hospitalization,10000
194004,Cohort during day 0 through 30 days start the index: Bleeding during hospitalization,10000
194001,Cohort during day -365 through -1 days overlap the index: Bleeding during hospitalization,10000
195001,Cohort during day -365 through -1 days overlap the index: Incident depression with no prior treatment and no mania/psychoses,10000
195002,Cohort during day -30 through -1 days overlap the index: Incident depression with no prior treatment and no mania/psychoses,10000
199001,Cohort during day -365 through -1 days overlap the index: Pregnant women,10000
199002,Cohort during day -30 through -1 days overlap the index: Pregnant women,10000
200001,Cohort during day -365 through -1 days overlap the index: Flu-like symptom episodes,10000
200003,Cohort during day 0 through 0 days start the index: Flu-like symptom episodes,10000
200004,Cohort during day 0 through 30 days start the index: Flu-like symptom episodes,10000
200002,Cohort during day -30 through -1 days overlap the index: Flu-like symptom episodes,10000
201002,Cohort during day -30 through -1 days overlap the index: Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,10000
201004,Cohort during day 0 through 30 days start the index: Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,10000
201001,Cohort during day -365 through -1 days overlap the index: Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,10000
201003,Cohort during day 0 through 0 days start the index: Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,10000
202003,Cohort during day 0 through 0 days start the index: Discharge from hospitalization,10000
202004,Cohort during day 0 through 30 days start the index: Discharge from hospitalization,10000
202002,Cohort during day -30 through -1 days overlap the index: Discharge from hospitalization,10000
202001,Cohort during day -365 through -1 days overlap the index: Discharge from hospitalization,10000
203002,Cohort during day -30 through -1 days overlap the index: Prevalent chronic kidney disease broad,10000
203001,Cohort during day -365 through -1 days overlap the index: Prevalent chronic kidney disease broad,10000
204003,Cohort during day 0 through 0 days start the index: Prevalent end stage renal disease broad,10000
