concept_id,concept_name,concept_count,cohort_id,database_id
37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,373,132,PREMIER
37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,560,133,PREMIER
9201,Inpatient Visit,21,134,PREMIER
262,Emergency Room and Inpatient Visit,9,134,PREMIER
9201,Inpatient Visit,26,135,PREMIER
262,Emergency Room and Inpatient Visit,20,135,PREMIER
4230167,Artificial respiration,-5,136,PREMIER
4013354,Insertion of endotracheal tube,-5,136,PREMIER
4335583,Tracheal intubation using rigid bronchoscope,-5,136,PREMIER
4230167,Artificial respiration,-5,137,PREMIER
4013354,Insertion of endotracheal tube,-5,137,PREMIER
4335583,Tracheal intubation using rigid bronchoscope,-5,137,PREMIER
