count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
372,1,1,1,0,1,1,1,1,1,time (days) between cohort start and end,132,PREMIER
372,0,167,30.588709677419356,34.580741589743525,18,0,0,48,81,observation time (days) after index,132,PREMIER
372,382,6424,3790.021505376344,1887.7784543737455,3839,1005,2136,5508,6344,observation time (days) prior to index,132,PREMIER
559,1,1,1,0,1,1,1,1,1,time (days) between cohort start and end,133,PREMIER
559,0,167,21.298747763864043,31.31351206517113,4,0,0,38,65,observation time (days) after index,133,PREMIER
559,0,6424,2529.9355992844366,2352.771263744317,2136,0,0,4680,6151,observation time (days) prior to index,133,PREMIER
30,0,19,3.466666666666667,5.6613226999212545,0,0,0,6,12,time (days) between cohort start and end,134,PREMIER
30,1,88,30.866666666666667,22.816710956020255,22,11,15,39,67,observation time (days) after index,134,PREMIER
30,403,6411,3890.733333333333,1999.422639652263,4253,447,2667,5312,6304,observation time (days) prior to index,134,PREMIER
46,0,26,3.8478260869565215,6.160690406130894,0,0,0,7,12,time (days) between cohort start and end,135,PREMIER
46,1,88,24.630434782608695,20.76252895712977,16,7,11,31,60,observation time (days) after index,135,PREMIER
46,0,6411,2566.217391304348,2437.978916261432,2301,0,125,4809,6248,observation time (days) prior to index,135,PREMIER
2,1,1,1,0,1,1,1,1,1,time (days) between cohort start and end,136,PREMIER
2,25,66,45.5,28.991378028648448,25,25,25,66,66,observation time (days) after index,136,PREMIER
2,4419,5025,4722,428.5067093990478,4419,4419,4419,5025,5025,observation time (days) prior to index,136,PREMIER
2,1,1,1,0,1,1,1,1,1,time (days) between cohort start and end,137,PREMIER
2,25,66,45.5,28.991378028648448,25,25,25,66,66,observation time (days) after index,137,PREMIER
2,4419,5025,4722,428.5067093990478,4419,4419,4419,5025,5025,observation time (days) prior to index,137,PREMIER
