cohort_id,cohort_entries,cohort_subjects,database_id
110,11,6,PREMIER
121,62,62,PREMIER
122,156,123,PREMIER
123,106,17,PREMIER
124,-5,-5,PREMIER
142,-5,-5,PREMIER
143,710,515,PREMIER
144,314,112,PREMIER
145,212,54,PREMIER
146,27,27,PREMIER
147,233,101,PREMIER
148,22,-5,PREMIER
151,2316,607,PREMIER
152,108,88,PREMIER
153,15,15,PREMIER
154,59,50,PREMIER
155,30,26,PREMIER
156,54,18,PREMIER
157,48,15,PREMIER
159,107,74,PREMIER
160,66,42,PREMIER
161,14,12,PREMIER
162,35,20,PREMIER
163,7,7,PREMIER
164,13,13,PREMIER
170,19,7,PREMIER
171,18,17,PREMIER
172,5,-5,PREMIER
174,-5,-5,PREMIER
175,5,-5,PREMIER
176,327,143,PREMIER
177,63,56,PREMIER
178,778,326,PREMIER
181,503,160,PREMIER
182,140,140,PREMIER
183,63,35,PREMIER
184,13,13,PREMIER
185,12,9,PREMIER
186,214,153,PREMIER
187,44,32,PREMIER
188,-5,-5,PREMIER
189,26,19,PREMIER
190,107,81,PREMIER
191,74,53,PREMIER
192,17,13,PREMIER
193,38,29,PREMIER
194,131,94,PREMIER
195,17,17,PREMIER
