cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
6,8716.618754277892,NA,NA,NA,0.6883403036361266,110,PREMIER
6,5175.392197125257,Female,NA,NA,1.159332427662735,110,PREMIER
0,3541.226557152635,Male,NA,NA,0,110,PREMIER
0,63.76454483230664,NA,0-9,NA,0,110,PREMIER
0,324.2847364818617,NA,10-19,NA,0,110,PREMIER
-5,1780.2984257357975,NA,20-29,NA,-2.8085179022351263,110,PREMIER
-5,1550.945927446954,NA,30-39,NA,-3.2238390207649656,110,PREMIER
0,1426.009582477755,NA,40-49,NA,0,110,PREMIER
0,1346.3956194387406,NA,50-59,NA,0,110,PREMIER
0,1090.6420260095824,NA,60-69,NA,0,110,PREMIER
0,825.6262833675564,NA,70-79,NA,0,110,PREMIER
0,290.9705681040383,NA,80-89,NA,0,110,PREMIER
0,17.68104038329911,NA,90-99,NA,0,110,PREMIER
0,34.625598904859686,Female,0-9,NA,0,110,PREMIER
0,228.38877481177275,Female,10-19,NA,0,110,PREMIER
-5,1197.8261464750171,Female,20-29,NA,-4.1742284677238715,110,PREMIER
-5,965.4346338124573,Female,30-39,NA,-5.179014533853243,110,PREMIER
0,725.3963039014374,Female,40-49,NA,0,110,PREMIER
0,704.0273785078713,Female,50-59,NA,0,110,PREMIER
0,651.1211498973306,Female,60-69,NA,0,110,PREMIER
0,506.46954140999316,Female,70-79,NA,0,110,PREMIER
0,149.83436002737852,Female,80-89,NA,0,110,PREMIER
0,12.268309377138946,Female,90-99,NA,0,110,PREMIER
0,29.138945927446954,Male,0-9,NA,0,110,PREMIER
0,95.89596167008898,Male,10-19,NA,0,110,PREMIER
0,582.4722792607803,Male,20-29,NA,0,110,PREMIER
0,585.511293634497,Male,30-39,NA,0,110,PREMIER
0,700.6132785763176,Male,40-49,NA,0,110,PREMIER
0,642.3682409308692,Male,50-59,NA,0,110,PREMIER
0,439.52087611225187,Male,60-69,NA,0,110,PREMIER
0,319.1567419575633,Male,70-79,NA,0,110,PREMIER
0,141.1362080766598,Male,80-89,NA,0,110,PREMIER
0,5.412731006160164,Male,90-99,NA,0,110,PREMIER
0,33.58521560574948,NA,NA,2002,0,110,PREMIER
0,156.09856262833677,NA,NA,2003,0,110,PREMIER
0,207.00616016427105,NA,NA,2004,0,110,PREMIER
0,254.0396988364134,NA,NA,2005,0,110,PREMIER
-5,295.0280629705681,NA,NA,2006,-16.947540344657988,110,PREMIER
0,332.72826830937714,NA,NA,2007,0,110,PREMIER
0,374.0889801505818,NA,NA,2008,0,110,PREMIER
-5,407.34017796030116,NA,NA,2009,-12.274752824621423,110,PREMIER
0,455.40862422997947,NA,NA,2010,0,110,PREMIER
0,496.78850102669406,NA,NA,2011,0,110,PREMIER
0,541.9383983572895,NA,NA,2012,0,110,PREMIER
0,578.6913073237508,NA,NA,2013,0,110,PREMIER
-5,621.3963039014374,NA,NA,2014,-8.046394818584364,110,PREMIER
-5,663.3675564681724,NA,NA,2015,-7.537299572834768,110,PREMIER
0,705.5934291581109,NA,NA,2016,0,110,PREMIER
-5,733.3689253935661,NA,NA,2017,-6.81785091632663,110,PREMIER
0,791.3073237508556,NA,NA,2018,0,110,PREMIER
0,864.6406570841889,NA,NA,2019,0,110,PREMIER
0,204.20260095824779,NA,NA,2020,0,110,PREMIER
0,1.0431211498973305,NA,0-9,2002,0,110,PREMIER
0,6.42299794661191,NA,0-9,2003,0,110,PREMIER
0,7.4661190965092405,NA,0-9,2004,0,110,PREMIER
0,5.995893223819302,NA,0-9,2005,0,110,PREMIER
0,4.996577686516085,NA,0-9,2006,0,110,PREMIER
0,3.997262149212868,NA,0-9,2007,0,110,PREMIER
0,3.0061601642710474,NA,0-9,2008,0,110,PREMIER
0,3.0472279260780284,NA,0-9,2009,0,110,PREMIER
0,4.553045859000684,NA,0-9,2010,0,110,PREMIER
0,2.9979466119096507,NA,0-9,2011,0,110,PREMIER
0,2.004106776180698,NA,0-9,2012,0,110,PREMIER
0,1.998631074606434,NA,0-9,2013,0,110,PREMIER
0,1.998631074606434,NA,0-9,2014,0,110,PREMIER
0,2.0424366872005475,NA,0-9,2015,0,110,PREMIER
0,3.0061601642710474,NA,0-9,2016,0,110,PREMIER
0,3.5509924709103355,NA,0-9,2017,0,110,PREMIER
0,1.998631074606434,NA,0-9,2018,0,110,PREMIER
0,2.8008213552361396,NA,0-9,2019,0,110,PREMIER
0,0.837782340862423,NA,0-9,2020,0,110,PREMIER
0,0.6543463381245722,NA,10-19,2002,0,110,PREMIER
0,3.7453798767967146,NA,10-19,2003,0,110,PREMIER
0,9.648186173853524,NA,10-19,2004,0,110,PREMIER
0,18.308008213552363,NA,10-19,2005,0,110,PREMIER
0,20.772073921971252,NA,10-19,2006,0,110,PREMIER
0,26.46132785763176,NA,10-19,2007,0,110,PREMIER
0,26.959616700889804,NA,10-19,2008,0,110,PREMIER
0,28.476386036960985,NA,10-19,2009,0,110,PREMIER
