cohort_id,concept_set_id,concept_set_name,concept_id,concept_name,concept_code,source_vocabulary_id,source_concept_id,source_concept_name,concept_subjects,concept_count,database_id
110,0,Gestational diabetes,4024659,Gestational diabetes mellitus,NA,NA,NA,NA,6,90,PREMIER
121,0, Chronic obstructive lung disease,255573,Chronic obstructive lung disease,NA,NA,NA,NA,18,252,PREMIER
121,0, Chronic obstructive lung disease,257004,Acute exacerbation of chronic obstructive airways disease,NA,NA,NA,NA,-5,56,PREMIER
121,0, Chronic obstructive lung disease,4193588,Moderate chronic obstructive pulmonary disease,NA,NA,NA,NA,-5,42,PREMIER
121,0, Chronic obstructive lung disease,4196712,Mild chronic obstructive pulmonary disease,NA,NA,NA,NA,-5,29,PREMIER
121,0, Chronic obstructive lung disease,4209097,Severe chronic obstructive pulmonary disease,NA,NA,NA,NA,-5,-5,PREMIER
121,3,Asthma,317009,Asthma,NA,NA,NA,NA,43,563,PREMIER
121,3,Asthma,4110051,Mixed asthma,NA,NA,NA,NA,-5,20,PREMIER
121,3,Asthma,4191479,Allergic asthma,NA,NA,NA,NA,12,117,PREMIER
121,4,Respiratory therapy,19098138,Budesonide 0.25 MG/ML Inhalation Suspension,NA,NA,NA,NA,-5,11,PREMIER
121,4,Respiratory therapy,19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],NA,NA,NA,NA,-5,69,PREMIER
121,4,Respiratory therapy,19130452,60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco],NA,NA,NA,NA,-5,9,PREMIER
121,4,Respiratory therapy,42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],NA,NA,NA,NA,15,81,PREMIER
121,4,Respiratory therapy,42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],NA,NA,NA,NA,6,36,PREMIER
121,4,Respiratory therapy,42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],NA,NA,NA,NA,124,1039,PREMIER
121,4,Respiratory therapy,42922105,2 ML Budesonide 0.25 MG/ML Inhalant Solution [Budecort],NA,NA,NA,NA,6,29,PREMIER
121,4,Respiratory therapy,43190570,Budesonide 0.08 MG / formoterol 0.0045 MG Dry Powder Inhaler,NA,NA,NA,NA,-5,-5,PREMIER
122,1,"Leukotriene receptor antagonists
",1154192,montelukast 10 MG Oral Tablet [Singulair],NA,NA,NA,NA,25,364,PREMIER
122,1,"Leukotriene receptor antagonists
",1154193,montelukast 5 MG Chewable Tablet [Singulair],NA,NA,NA,NA,-5,-5,PREMIER
122,1,"Leukotriene receptor antagonists
",1154196,montelukast 4 MG Chewable Tablet [Singulair],NA,NA,NA,NA,-5,6,PREMIER
122,1,"Leukotriene receptor antagonists
",19102732,montelukast 4 MG Oral Granules [Singulair],NA,NA,NA,NA,-5,19,PREMIER
122,1,"Leukotriene receptor antagonists
",42959455,ibudilast 10 MG Oral Capsule [KETAS],NA,NA,NA,NA,12,101,PREMIER
122,1,"Leukotriene receptor antagonists
",42962458,pranlukast hydrate 70 MG Tablet for Oral Suspension [CITUS],NA,NA,NA,NA,-5,18,PREMIER
122,1,"Leukotriene receptor antagonists
",42962462,pranlukast hydrate 50 MG Oral Tablet [CITUS],NA,NA,NA,NA,-5,-5,PREMIER
122,1,"Leukotriene receptor antagonists
",42962481,pranlukast hydrate 113 MG Oral Capsule [ONON],NA,NA,NA,NA,14,80,PREMIER
