concept_id,concept_name,concept_count,cohort_id,database_id
4024659,Gestational diabetes mellitus,11,110,PREMIER
317009,Asthma,36,121,PREMIER
255573,Chronic obstructive lung disease,12,121,PREMIER
4191479,Allergic asthma,11,121,PREMIER
42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],9,121,PREMIER
42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],5,121,PREMIER
4193588,Moderate chronic obstructive pulmonary disease,-5,121,PREMIER
42922105,2 ML Budesonide 0.25 MG/ML Inhalant Solution [Budecort],-5,121,PREMIER
4110051,Mixed asthma,-5,121,PREMIER
4196712,Mild chronic obstructive pulmonary disease,-5,121,PREMIER
19098138,Budesonide 0.25 MG/ML Inhalation Suspension,-5,121,PREMIER
19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],-5,121,PREMIER
19130452,60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco],-5,121,PREMIER
42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],-5,121,PREMIER
43190570,Budesonide 0.08 MG / formoterol 0.0045 MG Dry Powder Inhaler,-5,121,PREMIER
42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],158,122,PREMIER
42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],20,122,PREMIER
19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],65,123,PREMIER
42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],29,123,PREMIER
42922105,2 ML Budesonide 0.25 MG/ML Inhalant Solution [Budecort],9,123,PREMIER
19098138,Budesonide 0.25 MG/ML Inhalation Suspension,-5,123,PREMIER
42919252,100 ACTUAT Budesonide 0.200000000000000011 MG/ACTUAT Dry Powder Inhaler [Pulmicort Turbuhaler],-5,123,PREMIER
43190570,Budesonide 0.08 MG / formoterol 0.0045 MG Dry Powder Inhaler,-5,124,PREMIER
439393,Pre-eclampsia,-5,142,PREMIER
437663,Fever,717,143,PREMIER
3020891,Body temperature,365,143,PREMIER
254761,Cough,315,144,PREMIER
433596,Abnormal sputum,-5,144,PREMIER
4125937,Myalgia/myositis - multiple,106,145,PREMIER
442752,Muscle pain,97,145,PREMIER
4121597,Myalgia/myositis - shoulder,6,145,PREMIER
4126064,Myalgia/myositis - ankle/foot,5,145,PREMIER
439926,Malaise and fatigue,27,146,PREMIER
312437,Dyspnea,235,147,PREMIER
4185711,Loss of sense of smell,22,148,PREMIER
9201,Inpatient Visit,1491,151,PREMIER
262,Emergency Room and Inpatient Visit,825,151,PREMIER
255848,Pneumonia,106,152,PREMIER
257315,Bacterial pneumonia,-5,152,PREMIER
4025165,Abscess of lung with pneumonia,-5,152,PREMIER
253790,Pneumonia due to Klebsiella pneumoniae,-5,152,PREMIER
256722,Bronchopneumonia,-5,152,PREMIER
261326,Viral pneumonia,-5,152,PREMIER
46271075,Acute hypoxemic respiratory failure,15,153,PREMIER
197320,Acute renal failure syndrome,37,154,PREMIER
4102631,Acute interstitial nephritis,26,154,PREMIER
196455,Hepatorenal syndrome,-5,154,PREMIER
4054992,Rapidly progressive nephritic syndrome,-5,154,PREMIER
4189531,Acute nephritis,-5,154,PREMIER
132797,Sepsis,13,155,PREMIER
196236,Septic shock,10,155,PREMIER
40493038,Sepsis due to Gram negative bacteria,-5,155,PREMIER
434821,Systemic inflammatory response syndrome,-5,155,PREMIER
40479649,Systemic inflammatory response syndrome associated with organ dysfunction,-5,155,PREMIER
440417,Pulmonary embolism,48,156,PREMIER
77310,Deep vein phlebitis and thrombophlebitis of the leg,5,156,PREMIER
320741,Thrombophlebitis,-5,156,PREMIER
440417,Pulmonary embolism,48,157,PREMIER
439846,Left heart failure,55,159,PREMIER
316139,Heart failure,29,159,PREMIER
314378,Hypertensive heart disease with congestive heart failure,17,159,PREMIER
443580,Systolic heart failure,8,159,PREMIER
319835,Congestive heart failure,-5,159,PREMIER
439696,Hypertensive heart and renal disease with (congestive) heart failure,-5,159,PREMIER
443587,Diastolic heart failure,-5,159,PREMIER
4154290,Paroxysmal atrial fibrillation,28,160,PREMIER
41349044,3 ML Amiodarone 50 MG/ML Injectable Solution [Cordarone],18,160,PREMIER
4049402,Transthoracic cardiac pacing procedure,9,160,PREMIER
19133832,Amiodarone hydrochloride 200 MG Oral Tablet [Cordarone],6,160,PREMIER
2008358,Other electric countershock of heart,6,160,PREMIER
4290930,Insertion of pacemaker pulse generator,6,160,PREMIER
4275423,Supraventricular tachycardia,5,160,PREMIER
