cohort_id,concept_set_id,concept_set_name,concept_count,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,database_id
121,3,Asthma,-5,4062501,Asthma screening,Procedure,SNOMED,Procedure,S,171231001,1970-01-01,2099-12-31,NA,PREMIER
121,4,Respiratory therapy,6,42920041,30 ACTUAT tiotropium 0.0179999999999999986 MG/ACTUAT Inhalant Powder [Spiriva],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646899,2018-08-21,2099-12-31,NA,PREMIER
121,4,Respiratory therapy,75,42919217,120 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646088,2018-08-21,2099-12-31,NA,PREMIER
121,4,Respiratory therapy,-5,42919252,100 ACTUAT Budesonide 0.200000000000000011 MG/ACTUAT Dry Powder Inhaler [Pulmicort Turbuhaler],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646121,2018-08-21,2099-12-31,NA,PREMIER
122,3,LAMA,6,42920041,30 ACTUAT tiotropium 0.0179999999999999986 MG/ACTUAT Inhalant Powder [Spiriva],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646899,2018-08-21,2099-12-31,NA,PREMIER
122,7,ICS,-5,43190570,Budesonide 0.08 MG / formoterol 0.0045 MG Dry Powder Inhaler,Drug,RxNorm Extension,Clinical Drug,S,OMOP453830,2017-08-24,2099-12-31,NA,PREMIER
122,7,ICS,75,42919217,120 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646088,2018-08-21,2099-12-31,NA,PREMIER
123,9,LABA + LAMA + ICS,-5,43190570,Budesonide 0.08 MG / formoterol 0.0045 MG Dry Powder Inhaler,Drug,RxNorm Extension,Clinical Drug,S,OMOP453830,2017-08-24,2099-12-31,NA,PREMIER
123,9,LABA + LAMA + ICS,75,42919217,120 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646088,2018-08-21,2099-12-31,NA,PREMIER
123,9,LABA + LAMA + ICS,6,42920041,30 ACTUAT tiotropium 0.0179999999999999986 MG/ACTUAT Inhalant Powder [Spiriva],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646899,2018-08-21,2099-12-31,NA,PREMIER
