count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
11,30,493,197.27272727272728,161.9414035440541,197,30,30,336,389,time (days) between cohort start and end,110,PREMIER
11,621,5129,2995.2727272727275,1478.220760976458,3483,864,1564,4063,4303,observation time (days) after index,110,PREMIER
11,28,5715,2726.909090909091,1655.457366080169,2433,1221,2047,3353,5442,observation time (days) prior to index,110,PREMIER
62,5,5569,2359.483870967742,1929.8691261321023,1983,196,438,3962,5353,time (days) between cohort start and end,121,PREMIER
62,5,5569,2359.483870967742,1929.8691261321023,1983,196,438,3962,5353,observation time (days) after index,121,PREMIER
62,0,5959,1822,1791.412035788309,1159,0,134,3272,4490,observation time (days) prior to index,121,PREMIER
156,0,47,4.403846153846154,6.676660210260474,1,0,0,7,13,time (days) between cohort start and end,122,PREMIER
156,0,5417,836.8846153846154,1284.6169955711212,206,5,14,997,2641,observation time (days) after index,122,PREMIER
156,0,6417,2421.019230769231,2156.4818884265324,1922,0,93,4449,5553,observation time (days) prior to index,122,PREMIER
106,0,52,2.792452830188679,8.821744759002717,0,0,0,0,6,time (days) between cohort start and end,123,PREMIER
106,6,5266,1038.0094339622642,1019.3230573023687,766,172,391,1350,2140,observation time (days) after index,123,PREMIER
106,0,6325,1852.566037735849,1792.372314739631,1169,181,519,3085,4592,observation time (days) prior to index,123,PREMIER
2,0,0,0,0,0,0,0,0,0,time (days) between cohort start and end,124,PREMIER
2,4658,5530,5094,616.5971131946694,4658,4658,4658,5530,5530,observation time (days) after index,124,PREMIER
2,0,133,66.5,94.04520189781083,0,0,0,133,133,observation time (days) prior to index,124,PREMIER
2,21,67,44,32.526911934581186,21,21,21,67,67,time (days) between cohort start and end,142,PREMIER
2,882,2283,1582.5,990.6566004423531,882,882,882,2283,2283,observation time (days) after index,142,PREMIER
2,0,4568,2284,3230.0637764601493,0,0,0,4568,4568,observation time (days) prior to index,142,PREMIER
710,3,326,6.922535211267606,15.142144524910794,4,3,4,4,11,time (days) between cohort start and end,143,PREMIER
710,0,5063,443.65211267605633,879.814585762211,15,0,0,431,1550,observation time (days) after index,143,PREMIER
710,0,6422,3129.8042253521126,2185.910732142574,3059,137,871,5171,6240,observation time (days) prior to index,143,PREMIER
314,3,264,11.656050955414013,23.925393457304985,4,4,4,8,29,time (days) between cohort start and end,144,PREMIER
314,0,5430,1768.1910828025477,1403.8555018519442,1411,100,608,2861,3789,observation time (days) after index,144,PREMIER
314,0,6413,3123.0987261146497,1938.0141510440358,3091,477,1240,4795,5600,observation time (days) prior to index,144,PREMIER
212,3,338,17.52358490566038,36.41199753293862,4,4,4,18,39,time (days) between cohort start and end,145,PREMIER
212,11,5543,2637.438679245283,1757.7804053885443,3046,245,831,4111,4981,observation time (days) after index,145,PREMIER
212,454,6315,3177.938679245283,1564.6736470632977,2885,1328,1887,4352,5733,observation time (days) prior to index,145,PREMIER
27,3,15,4.592592592592593,2.721131824178756,4,3,3,4,9,time (days) between cohort start and end,146,PREMIER
27,5,1197,585.3333333333334,393.3452192902076,644,64,155,962,1079,observation time (days) after index,146,PREMIER
27,30,5990,3892.4074074074074,1765.2478853877992,4568,1553,2157,5283,5848,observation time (days) prior to index,146,PREMIER
233,3,395,17.090128755364805,35.0312119018303,4,4,4,16,40,time (days) between cohort start and end,147,PREMIER
