cohort_id,concept_set_id,concept_set_name,concept_count,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,database_id
111,0,Influenza conditions,15,46276001,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe,Drug,RxNorm,Clinical Drug Form,S,1657137,2015-09-08,2099-12-31,NA,PREMIER
111,0,Influenza conditions,6,45774417,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Texas-50-2012 X-223A (H3N2), Inactivated 0.03 MG/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 0.03 MG/ML Prefilled Syringe",Drug,RxNorm,Clinical Drug,S,1544629,2014-12-01,2099-12-31,NA,PREMIER
111,0,Influenza conditions,-5,1718584,0.5 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML,Drug,RxNorm,Quant Branded Drug,S,1858963,2017-01-03,2099-12-31,NA,PREMIER
111,0,Influenza conditions,-5,36249265,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML Prefilled Syringe,Drug,RxNorm,Clinical Drug,S,1799404,2016-08-01,2099-12-31,NA,PREMIER
111,0,Influenza conditions,-5,36249412,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML Prefilled Syringe [Fluad 2016-2017],Drug,RxNorm,Branded Drug,S,1801083,2016-08-01,2099-12-31,NA,PREMIER
111,0,Influenza conditions,8,21601335,"influenza, inactivated, split virus or surface antigen",Drug,ATC,ATC 5th,C,J07BB02,1970-01-01,2099-12-31,NA,PREMIER
111,0,Influenza conditions,788,3045831,Influenza virus B Ag [Presence] in Nasopharynx,Measurement,LOINC,Lab Test,S,43895-2,2006-02-20,2099-12-31,NA,PREMIER
111,0,Influenza conditions,743,3044141,Influenza virus A Ag [Presence] in Nasopharynx,Measurement,LOINC,Lab Test,S,43874-7,2006-02-20,2099-12-31,NA,PREMIER
111,0,Influenza conditions,132,46235763,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76084-3,2015-06-29,2099-12-31,NA,PREMIER
111,0,Influenza conditions,132,46235764,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76085-0,2015-06-29,2099-12-31,NA,PREMIER
111,0,Influenza conditions,132,46235765,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76086-8,2015-06-29,2099-12-31,NA,PREMIER
111,0,Influenza conditions,64,46236736,Influenza virus A H1 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,77026-3,2015-05-08,2099-12-31,NA,PREMIER
111,0,Influenza conditions,64,46236738,Influenza virus A H1 2009 pandemic RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,77028-9,2015-05-08,2099-12-31,NA,PREMIER
111,0,Influenza conditions,64,46236737,Influenza virus A H3 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,77027-1,2015-05-08,2099-12-31,NA,PREMIER
111,0,Influenza conditions,64,46235757,Influenza virus A RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76078-5,2015-06-29,2099-12-31,NA,PREMIER
111,0,Influenza conditions,64,46235766,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76087-6,2015-06-29,2099-12-31,NA,PREMIER
111,0,Influenza conditions,40,37020338,Haemophilus influenzae DNA [Presence] in Respiratory specimen by NAA with probe detection,Measurement,LOINC,Lab Test,S,92127-0,2019-06-21,2099-12-31,NA,PREMIER
111,0,Influenza conditions,21,3044938,Influenza virus A RNA [Presence] in Unspecified specimen by NAA with probe detection,Measurement,LOINC,Lab Test,S,34487-9,1970-01-01,2099-12-31,NA,PREMIER
112,2,Influenza test measurements excluding antibody tests,-5,36714388,Influenza caused by seasonal influenza virus,Condition,SNOMED,Clinical Finding,S,719590007,2017-01-31,2099-12-31,NA,PREMIER
112,2,Influenza test measurements excluding antibody tests,132,46235763,Parainfluenza virus 1 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76084-3,2015-06-29,2099-12-31,NA,PREMIER
112,2,Influenza test measurements excluding antibody tests,132,46235764,Parainfluenza virus 2 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76085-0,2015-06-29,2099-12-31,NA,PREMIER
112,2,Influenza test measurements excluding antibody tests,132,46235765,Parainfluenza virus 3 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76086-8,2015-06-29,2099-12-31,NA,PREMIER
112,2,Influenza test measurements excluding antibody tests,64,46235766,Parainfluenza virus 4 RNA [Presence] in Nasopharynx by NAA with probe detection,Measurement,LOINC,Lab Test,S,76087-6,2015-06-29,2099-12-31,NA,PREMIER
