count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
7,1,1,1,0,1,1,1,1,1,time (days) between cohort start and end,111,PREMIER
7,766,887,814.5714285714286,41.24260395455627,813,766,773,838,887,observation time (days) after index,111,PREMIER
7,786,5656,4120.142857142857,1821.147937297739,4993,786,2497,5593,5656,observation time (days) prior to index,111,PREMIER
8,1,1,1,0,1,1,1,1,1,time (days) between cohort start and end,112,PREMIER
8,766,944,830.75,59.59805845351484,813,766,773,838,944,observation time (days) after index,112,PREMIER
8,786,5656,4291.625,1754.4320153339004,4993,786,2497,5492,5656,observation time (days) prior to index,112,PREMIER
3,4,62,27,30.805843601498726,15,4,4,62,62,time (days) between cohort start and end,113,PREMIER
3,766,838,809.6666666666666,38.37099599089569,825,766,766,838,838,observation time (days) after index,113,PREMIER
3,786,5032,3367.3333333333335,2266.5695077215996,4284,786,786,5032,5032,observation time (days) prior to index,113,PREMIER
3,4,62,27,30.805843601498726,15,4,4,62,62,time (days) between cohort start and end,114,PREMIER
3,766,838,809.6666666666666,38.37099599089569,825,766,766,838,838,observation time (days) after index,114,PREMIER
3,786,5032,3367.3333333333335,2266.5695077215996,4284,786,786,5032,5032,observation time (days) prior to index,114,PREMIER
