cohort_id,concept_set_id,concept_set_name,concept_count,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,database_id
100,0,Type 2 Diabetes Mellitus,-5,4224709,Multiple complications of type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,422228004,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,17,4223303,Gangrene associated with type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,420825003,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,20,36713094,Peripheral angiopathy due to type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,31211000119101,2017-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,32,200687,Renal disorder associated with type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,421893009,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,25,45769904,End stage renal disease on dialysis due to type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,90771000119100,2015-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,9,30968,Diabetes insipidus,Condition,SNOMED,Clinical Finding,S,15771004,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,90,4024659,Gestational diabetes mellitus,Condition,SNOMED,Clinical Finding,S,11687002,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,17,45757507,Foot ulcer due to type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,164881000119109,2015-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,13,45763584,Proliferative retinopathy with type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,60971000119101,2015-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,6,45769832,Diabetic dermopathy due to type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,72021000119109,2015-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,403,36716933,Background retinopathy due to impaired glucose regulation,Condition,SNOMED,Clinical Finding,S,723169001,2017-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,7,201254,Type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,46635009,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,7,37016767,Autonomic neuropathy with type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,712882000,2016-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,-5,435216,Disorder due to type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,420868002,1970-01-01,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,24,44784458,Education about self management of diabetes,Procedure,SNOMED,Procedure,S,698610002,2014-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,-5,45757535,Microalbuminuria due to type 1 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,18521000119106,2015-01-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,14,43531007,Pre-existing diabetes mellitus in pregnancy,Condition,SNOMED,Clinical Finding,S,609563008,2013-07-31,2099-12-31,NA,PREMIER
100,0,Type 2 Diabetes Mellitus,8,443412,Type 1 diabetes mellitus without complication,Condition,SNOMED,Clinical Finding,S,313435000,1970-01-01,2099-12-31,NA,PREMIER
100,1,History of diabetes,1644,45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,90791000119104,2015-01-31,2099-12-31,NA,PREMIER
100,1,History of diabetes,862,443731,Renal disorder due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,420279001,1970-01-01,2099-12-31,NA,PREMIER
100,1,History of diabetes,420,443729,Peripheral circulatory disorder associated with type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,422166005,1970-01-01,2099-12-31,NA,PREMIER
100,1,History of diabetes,776,201530,Type 2 diabetes mellitus with hyperosmolar coma,Condition,SNOMED,Clinical Finding,S,190331003,1970-01-01,2099-12-31,NA,PREMIER
100,1,History of diabetes,1227,4193704,Type 2 diabetes mellitus without complication,Condition,SNOMED,Clinical Finding,S,313436004,1970-01-01,2099-12-31,NA,PREMIER
