count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
182,0,5633,2400.576923076923,1775.3067347186632,2173,16,868,3864,5122,time (days) between cohort start and end,100,PREMIER
182,0,5633,2400.576923076923,1775.3067347186632,2173,16,868,3864,5122,observation time (days) after index,100,PREMIER
182,0,6316,1186.2527472527472,1695.5391071699546,162,0,0,1986,4156,observation time (days) prior to index,100,PREMIER
247,0,5633,2421.4574898785427,1713.58343367376,2351,53,1047,3658,4931,time (days) between cohort start and end,101,PREMIER
247,0,5633,2421.4574898785427,1713.58343367376,2351,53,1047,3658,4931,observation time (days) after index,101,PREMIER
247,0,6411,1602.5182186234817,1766.907605523093,903,0,8,2865,4451,observation time (days) prior to index,101,PREMIER
170,3,5633,2572.6470588235293,1513.3303350880822,2498,500,1503,3783,4745,time (days) between cohort start and end,102,PREMIER
170,3,5633,2572.6470588235293,1513.3303350880822,2498,500,1503,3783,4745,observation time (days) after index,102,PREMIER
170,0,6348,1362.0176470588235,1566.9152542138079,730,0,0,2490,3651,observation time (days) prior to index,102,PREMIER
164,17,5247,1929.6524390243903,1239.053253234034,1840,391,958,2588,3686,time (days) between cohort start and end,103,PREMIER
164,17,5247,1929.6524390243903,1239.053253234034,1840,391,958,2588,3686,observation time (days) after index,103,PREMIER
164,0,6348,2003.658536585366,1744.7144946848723,1754,0,358,3480,4455,observation time (days) prior to index,103,PREMIER
185,0,5602,1619.572972972973,1507.394832413628,1260,14,333,2533,3669,time (days) between cohort start and end,104,PREMIER
185,0,5602,1619.572972972973,1507.394832413628,1260,14,333,2533,3669,observation time (days) after index,104,PREMIER
185,0,6360,2196.92972972973,1912.4863200512257,1956,0,163,3426,5046,observation time (days) prior to index,104,PREMIER
98,0,5549,1302.234693877551,1435.455786670198,719,9,134,2138,3679,time (days) between cohort start and end,105,PREMIER
98,0,5549,1302.234693877551,1435.455786670198,719,9,134,2138,3679,observation time (days) after index,105,PREMIER
98,0,6391,2338.9489795918366,2109.8768585381526,2298,0,23,3874,5671,observation time (days) prior to index,105,PREMIER
1,5,5,5,0,5,5,5,5,5,time (days) between cohort start and end,106,PREMIER
1,5,5,5,0,5,5,5,5,5,observation time (days) after index,106,PREMIER
1,0,0,0,0,0,0,0,0,0,observation time (days) prior to index,106,PREMIER
9,67,4390,1913.2222222222222,1502.8305607900195,1545,67,1300,2075,4390,time (days) between cohort start and end,107,PREMIER
9,67,4390,1913.2222222222222,1502.8305607900195,1545,67,1300,2075,4390,observation time (days) after index,107,PREMIER
9,0,4320,1799,1618.9986102526464,1546,0,453,2905,4320,observation time (days) prior to index,107,PREMIER
47,46,5394,1739.9148936170213,1429.121071175464,1531,230,687,1963,4275,time (days) between cohort start and end,108,PREMIER
47,46,5394,1739.9148936170213,1429.121071175464,1531,230,687,1963,4275,observation time (days) after index,108,PREMIER
47,0,6244,2426.3829787234044,1871.372206990176,2138,0,828,3569,5356,observation time (days) prior to index,108,PREMIER
15,9,3992,1034.6666666666667,1183.4185750652741,709,12,78,1498,3235,time (days) between cohort start and end,109,PREMIER
15,9,3992,1034.6666666666667,1183.4185750652741,709,12,78,1498,3235,observation time (days) after index,109,PREMIER
15,0,6096,3042.3333333333335,2171.982131821618,2909,0,614,4854,5517,observation time (days) prior to index,109,PREMIER
20,5,5533,1655.1,1805.8611562879007,1184,6,44,2685,4227,time (days) between cohort start and end,117,PREMIER
20,5,5533,1655.1,1805.8611562879007,1184,6,44,2685,4227,observation time (days) after index,117,PREMIER
20,0,5784,1627.45,1951.2599296756684,345,0,0,2589,4550,observation time (days) prior to index,117,PREMIER
87,3,5620,2475.977011494253,1609.6765526392394,2340,287,1391,3642,4628,time (days) between cohort start and end,118,PREMIER
87,3,5620,2475.977011494253,1609.6765526392394,2340,287,1391,3642,4628,observation time (days) after index,118,PREMIER
87,0,6130,1982.2528735632184,1709.4517359776482,1835,0,262,3009,4433,observation time (days) prior to index,118,PREMIER
13,5,5569,1335.4615384615386,1550.1010512965822,876,50,423,1470,3361,time (days) between cohort start and end,119,PREMIER
13,5,5569,1335.4615384615386,1550.1010512965822,876,50,423,1470,3361,observation time (days) after index,119,PREMIER
13,0,5618,2233.230769230769,2168.0714223262326,1532,0,134,4655,5187,observation time (days) prior to index,119,PREMIER
41,6,5559,2766.487804878049,1911.4119796887223,3126,336,1049,4365,5412,time (days) between cohort start and end,120,PREMIER
41,6,5559,2766.487804878049,1911.4119796887223,3126,336,1049,4365,5412,observation time (days) after index,120,PREMIER
41,0,5959,1972.0243902439024,1820.3368711285952,1650,0,349,3551,4490,observation time (days) prior to index,120,PREMIER
396,0,5633,2118.75,1844.1249472001825,1861,9,256,3562,5052,time (days) between cohort start and end,125,PREMIER
396,0,5633,2118.75,1844.1249472001825,1861,9,256,3562,5052,observation time (days) after index,125,PREMIER
396,0,6403,1401.3863636363637,1816.6077064699423,417,0,0,2498,4425,observation time (days) prior to index,125,PREMIER
97,0,451,105.15463917525773,121.4330525610533,35,0,0,224,270,time (days) between cohort start and end,199,PREMIER
97,0,5582,2481.6701030927834,1690.3542572592185,2627,203,984,3918,4658,observation time (days) after index,199,PREMIER
97,0,6385,2629.4845360824743,1516.6870221624092,2472,615,1684,3672,4726,observation time (days) prior to index,199,PREMIER
982,3,326,8.960285132382893,18.82278130200427,4,3,4,4,19,time (days) between cohort start and end,200,PREMIER
982,0,1333,302.0896130346232,384.629095884159,72,0,1,529,946,observation time (days) after index,200,PREMIER
982,0,6420,3288.6364562118124,2185.827585061448,3291,223,1230,5435,6136,observation time (days) prior to index,200,PREMIER
181,3,5633,2428.8121546961324,1577.064170492578,2321,196,1215,3673,4698,time (days) between cohort start and end,203,PREMIER
181,3,5633,2428.8121546961324,1577.064170492578,2321,196,1215,3673,4698,observation time (days) after index,203,PREMIER
181,0,6348,1444.292817679558,1674.846609030648,772,0,0,2681,3890,observation time (days) prior to index,203,PREMIER
165,17,5247,1946,1251.9096486139417,1855,375,958,2618,3826,time (days) between cohort start and end,204,PREMIER
165,17,5247,1946,1251.9096486139417,1855,375,958,2618,3826,observation time (days) after index,204,PREMIER
165,0,6348,2001.478787878788,1769.5199176264082,1754,0,358,3480,4527,observation time (days) prior to index,204,PREMIER
1,5,5,5,0,5,5,5,5,5,time (days) between cohort start and end,205,PREMIER
1,5,5,5,0,5,5,5,5,5,observation time (days) after index,205,PREMIER
1,0,0,0,0,0,0,0,0,0,observation time (days) prior to index,205,PREMIER
26,4,5533,1943.1153846153845,1899.7897636722455,1531,6,122,3619,5273,time (days) between cohort start and end,206,PREMIER
26,4,5533,1943.1153846153845,1899.7897636722455,1531,6,122,3619,5273,observation time (days) after index,206,PREMIER
26,0,5784,1601.3461538461538,1869.9694958433454,677,0,0,2792,4550,observation time (days) prior to index,206,PREMIER
