feature_cohort_definition_id,window_id,cohort_id,total_count,feature_count,mean,sd,window_start,window_end,window_type,feature_name,covariate_id,covariate_name,analysis_id,database_id
100,1,133002041,155,94,0.6064516129032258,0.49012023695156637,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,133001172,551,103,0.1869328493647913,0.3902118690600286,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,133001172,551,103,0.1869328493647913,0.3902118690600286,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,133001172,551,-5,0.007259528130671506,0.08497017538233169,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,132001012,222,12,0.05405405405405406,0.22663534758582007,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,133000031,314,45,0.14331210191082802,0.3509501271378312,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,133000031,314,45,0.14331210191082802,0.3509501271378312,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,133000031,314,-5,0.006369426751592357,0.07968109653711623,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,132001032,222,11,0.04954954954954955,0.21750284707092704,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,132001032,222,11,0.04954954954954955,0.21750284707092704,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132001032,222,-5,0.009009009009009009,0.09470081447570507,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,133001202,542,-5,0.007380073800738007,0.08566883433941438,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,132002031,151,93,0.6158940397350994,0.48800173705043143,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132001022,222,-5,0.009009009009009009,0.09470081447570507,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,132001022,222,11,0.04954954954954955,0.21750284707092704,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,132002042,222,11,0.04954954954954955,0.21750284707092704,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,3,132000031,207,-5,0.004830917874396135,0.06950480468569159,0,0,start,Prevalent Type 2 Diabetes Mellitus,100003,Cohort during day 0 through 0 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132000031,207,-5,0.00966183574879227,0.09805576797673286,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,132000031,207,45,0.21739130434782608,0.4134709303146724,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,133000041,245,60,0.24489795918367346,0.4309069849850809,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,133001012,405,13,0.03209876543209877,0.17648041465244185,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,3,133001012,405,-5,0.0024691358024691358,0.049690399499995326,0,0,start,Prevalent Type 2 Diabetes Mellitus,100003,Cohort during day 0 through 0 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132002032,221,-5,0.00904977375565611,0.09491384735855525,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,1,132001182,324,80,0.24691358024691357,0.43188303076275913,-365,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100001,Cohort during day -365 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,132001182,324,80,0.24691358024691357,0.43188303076275913,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,3,132001182,324,-5,0.006172839506172839,0.0784457044582391,0,0,start,Prevalent Type 2 Diabetes Mellitus,100003,Cohort during day 0 through 0 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132001251,185,-5,0.016216216216216217,0.12664893602582983,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132001182,324,-5,0.009259259259259259,0.09592667191448333,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,133000121,277,-5,0.0036101083032490976,0.06008417681261097,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,2,133000121,277,98,0.35379061371841153,0.4790106041593294,-30,-1,overlap,Prevalent Type 2 Diabetes Mellitus,100002,Cohort during day -30 through -1 days overlap the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,4,132001092,366,-5,0.00819672131147541,0.09028736218343444,0,30,start,Prevalent Type 2 Diabetes Mellitus,100004,Cohort during day 0 through 30 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
100,3,133001042,453,-5,0.006622516556291391,0.08119860457968678,0,0,start,Prevalent Type 2 Diabetes Mellitus,100003,Cohort during day 0 through 0 days start the index: Prevalent Type 2 Diabetes Mellitus,10000,PREMIER
