cohort_name,cohort_full_name,cohort_id,cohort_type
Persons tested for SARS-CoV-2 with at least 365d prior observation,Persons tested for SARS-CoV-2 with at least 365d prior observation,126,covid
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation,132,covid
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,134,covid
Persons tested for SARS-CoV-2 with no required prior observation,Persons tested for SARS-CoV-2 with no required prior observation,127,covid
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation,133,covid
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,135,covid
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up,111000011,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up,112000011,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up,113000011,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up,114000011,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Full 30-day follow up,Persons tested for SARS-CoV-2 with no required prior observation with Full 30-day follow up,127000011,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with < 30-day follow up,Persons tested for SARS-CoV-2 with at least 365d prior observation with < 30-day follow up,126000021,TwS
Persons tested for SARS-CoV-2 with no required prior observation with < 30-day follow up,Persons tested for SARS-CoV-2 with no required prior observation with < 30-day follow up,127000021,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,132000021,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,133000021,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,134000021,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,135000021,TwS
