cohort_id,cohort_entries,cohort_subjects,database_id
126,6,6,PREMIER
127,36,36,PREMIER
132,16,16,PREMIER
133,65,65,PREMIER
134,10,10,PREMIER
135,39,39,PREMIER
111000011,-5,-5,PREMIER
111000041,-5,-5,PREMIER
111000051,-5,-5,PREMIER
111000071,-5,-5,PREMIER
112000011,-5,-5,PREMIER
112000041,-5,-5,PREMIER
112000051,-5,-5,PREMIER
112000071,-5,-5,PREMIER
113000011,-5,-5,PREMIER
113000041,-5,-5,PREMIER
113000051,-5,-5,PREMIER
113000071,-5,-5,PREMIER
114000011,-5,-5,PREMIER
114000041,-5,-5,PREMIER
114000051,-5,-5,PREMIER
114000071,-5,-5,PREMIER
126000021,6,6,PREMIER
126000031,-5,-5,PREMIER
126000041,5,5,PREMIER
126000051,6,6,PREMIER
126000071,-5,-5,PREMIER
126000081,-5,-5,PREMIER
126000121,-5,-5,PREMIER
126000131,-5,-5,PREMIER
127000011,6,6,PREMIER
127000021,30,30,PREMIER
127000031,13,13,PREMIER
127000041,23,23,PREMIER
127000051,36,36,PREMIER
127000071,23,23,PREMIER
127000081,13,13,PREMIER
127000111,-5,-5,PREMIER
127000121,17,17,PREMIER
127000131,18,18,PREMIER
127001051,20,20,PREMIER
127001052,16,16,PREMIER
127001251,22,22,PREMIER
127001252,14,14,PREMIER
132000021,16,16,PREMIER
132000031,8,8,PREMIER
132000041,8,8,PREMIER
132000051,15,15,PREMIER
132000061,-5,-5,PREMIER
132000071,7,7,PREMIER
132000081,9,9,PREMIER
132000131,16,16,PREMIER
132001051,8,8,PREMIER
132001052,8,8,PREMIER
132001251,10,10,PREMIER
132001252,6,6,PREMIER
133000021,65,65,PREMIER
133000031,26,26,PREMIER
133000041,39,39,PREMIER
133000051,63,63,PREMIER
133000061,-5,-5,PREMIER
133000071,31,31,PREMIER
133000081,34,34,PREMIER
133000121,14,14,PREMIER
133000131,51,51,PREMIER
133001001,8,8,PREMIER
133001002,57,57,PREMIER
133001011,7,7,PREMIER
133001012,58,58,PREMIER
133001051,23,23,PREMIER
133001052,42,42,PREMIER
133001251,28,28,PREMIER
133001252,37,37,PREMIER
134000021,10,10,PREMIER
134000031,-5,-5,PREMIER
134000041,6,6,PREMIER
134000051,9,9,PREMIER
134000061,-5,-5,PREMIER
134000071,-5,-5,PREMIER
134000081,6,6,PREMIER
134000121,-5,-5,PREMIER
134000131,9,9,PREMIER
135000021,39,39,PREMIER
135000031,14,14,PREMIER
135000041,25,25,PREMIER
135000051,37,37,PREMIER
135000061,-5,-5,PREMIER
135000071,19,19,PREMIER
135000081,20,20,PREMIER
135000121,8,8,PREMIER
135000131,31,31,PREMIER
135001051,21,21,PREMIER
135001052,18,18,PREMIER
135001251,24,24,PREMIER
135001252,15,15,PREMIER
136000021,-5,-5,PREMIER
136000041,-5,-5,PREMIER
136000051,-5,-5,PREMIER
136000071,-5,-5,PREMIER
136000131,-5,-5,PREMIER
137000021,5,5,PREMIER
137000031,-5,-5,PREMIER
137000041,-5,-5,PREMIER
137000051,-5,-5,PREMIER
137000061,-5,-5,PREMIER
137000071,-5,-5,PREMIER
137000081,-5,-5,PREMIER
137000131,5,5,PREMIER
