cohort_id,concept_set_id,concept_set_name,concept_id,concept_name,concept_code,source_vocabulary_id,source_concept_id,source_concept_name,concept_subjects,concept_count,database_id
126,2,SARS-Cov-2 testing,37310281,2019 novel coronavirus not detected,No matching concept,None,0,No matching concept,36,36,PREMIER
130,4,COVID-19 conditions,439676,Coronavirus infection,No matching concept,None,0,No matching concept,-5,-5,PREMIER
130,4,COVID-19 conditions,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,No matching concept,None,0,No matching concept,65,89,PREMIER
136,4,COVID-19 conditions,439676,Coronavirus infection,No matching concept,None,0,No matching concept,-5,-5,PREMIER
136,4,COVID-19 conditions,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,No matching concept,None,0,No matching concept,65,89,PREMIER
139,5,Inpatient Visit,262,Emergency Room and Inpatient Visit,No matching concept,None,0,No matching concept,183,304,PREMIER
139,5,Inpatient Visit,9201,Inpatient Visit,No matching concept,None,0,No matching concept,219,661,PREMIER
141,9,Mechanical ventilation,4013354,Insertion of endotracheal tube,No matching concept,None,0,No matching concept,14,15,PREMIER
141,9,Mechanical ventilation,4074665,Controlled ventilation,No matching concept,None,0,No matching concept,19,113,PREMIER
141,9,Mechanical ventilation,4230167,Artificial respiration,No matching concept,None,0,No matching concept,19,77,PREMIER
141,9,Mechanical ventilation,4335583,Tracheal intubation using rigid bronchoscope,No matching concept,None,0,No matching concept,31,35,PREMIER
