cohort_id,concept_set_id,concept_set_name,concept_id,concept_name,concept_code,source_vocabulary_id,source_concept_id,source_concept_name,concept_subjects,concept_count,database_id
110,0,Gestational diabetes,4024659,Gestational diabetes mellitus,No matching concept,None,0,No matching concept,-5,13,PREMIER
121,0, Chronic obstructive lung disease,255573,Chronic obstructive lung disease,No matching concept,None,0,No matching concept,6,93,PREMIER
121,0, Chronic obstructive lung disease,257004,Acute exacerbation of chronic obstructive airways disease,No matching concept,None,0,No matching concept,-5,-5,PREMIER
121,0, Chronic obstructive lung disease,4193588,Moderate chronic obstructive pulmonary disease,No matching concept,None,0,No matching concept,-5,-5,PREMIER
121,0, Chronic obstructive lung disease,4196712,Mild chronic obstructive pulmonary disease,No matching concept,None,0,No matching concept,-5,11,PREMIER
121,0, Chronic obstructive lung disease,4209097,Severe chronic obstructive pulmonary disease,No matching concept,None,0,No matching concept,-5,80,PREMIER
121,3,Asthma,317009,Asthma,No matching concept,None,0,No matching concept,5,89,PREMIER
121,3,Asthma,37116845,Acute severe refractory exacerbation of asthma,No matching concept,None,0,No matching concept,-5,-5,PREMIER
121,4,Respiratory therapy,19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],No matching concept,None,0,No matching concept,-5,31,PREMIER
121,4,Respiratory therapy,42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],No matching concept,None,0,No matching concept,6,15,PREMIER
121,4,Respiratory therapy,42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],No matching concept,None,0,No matching concept,-5,16,PREMIER
121,4,Respiratory therapy,42920029,30 ACTUAT fluticasone 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Arnuity],No matching concept,None,0,No matching concept,-5,11,PREMIER
121,4,Respiratory therapy,42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],No matching concept,None,0,No matching concept,28,316,PREMIER
121,4,Respiratory therapy,42922106,2 ML Budesonide 0.25 MG/ML Inhalant Solution [PULMICAN],No matching concept,None,0,No matching concept,-5,408,PREMIER
122,1,"Leukotriene receptor antagonists
",1154192,montelukast 10 MG Oral Tablet [Singulair],No matching concept,None,0,No matching concept,-5,-5,PREMIER
122,1,"Leukotriene receptor antagonists
",42959455,ibudilast 10 MG Oral Capsule [KETAS],No matching concept,None,0,No matching concept,-5,12,PREMIER
122,1,"Leukotriene receptor antagonists
",42962481,pranlukast hydrate 113 MG Oral Capsule [ONON],No matching concept,None,0,No matching concept,-5,-5,PREMIER
122,1,"Leukotriene receptor antagonists
",42964374,montelukast 10 MG Oral Tablet [LUKIO],No matching concept,None,0,No matching concept,11,162,PREMIER
122,3,LAMA,19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],No matching concept,None,0,No matching concept,-5,31,PREMIER
122,3,LAMA,42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],No matching concept,None,0,No matching concept,-5,16,PREMIER
122,5,SABA,42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],No matching concept,None,0,No matching concept,6,15,PREMIER
122,5,SABA,42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],No matching concept,None,0,No matching concept,28,316,PREMIER
122,7,ICS,42920029,30 ACTUAT fluticasone 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Arnuity],No matching concept,None,0,No matching concept,-5,11,PREMIER
122,7,ICS,42922106,2 ML Budesonide 0.25 MG/ML Inhalant Solution [PULMICAN],No matching concept,None,0,No matching concept,-5,408,PREMIER
122,9,SABA + SAMA,42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],No matching concept,None,0,No matching concept,6,15,PREMIER
122,9,SABA + SAMA,42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],No matching concept,None,0,No matching concept,28,316,PREMIER
