concept_id,concept_name,concept_count,cohort_id,database_id
4024659,Gestational diabetes mellitus,-5,110,PREMIER
317009,Asthma,7,121,PREMIER
42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],5,121,PREMIER
42922106,2 ML Budesonide 0.25 MG/ML Inhalant Solution [PULMICAN],-5,121,PREMIER
255573,Chronic obstructive lung disease,-5,121,PREMIER
257004,Acute exacerbation of chronic obstructive airways disease,-5,121,PREMIER
4209097,Severe chronic obstructive pulmonary disease,-5,121,PREMIER
19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],-5,121,PREMIER
42921728,2.5 ML Albuterol 1 MG/ML Inhalant Solution [VENTOLIN NEBUL],33,122,PREMIER
42918918,200 ACTUAT Albuterol 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Ventolin Evohaler],-5,122,PREMIER
19121580,tiotropium 0.018 MG Inhalation Powder [Spiriva],24,123,PREMIER
42922106,2 ML Budesonide 0.25 MG/ML Inhalant Solution [PULMICAN],14,123,PREMIER
42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],10,123,PREMIER
42920029,30 ACTUAT fluticasone 0.100000000000000006 MG/ACTUAT Metered Dose Inhaler [Arnuity],-5,123,PREMIER
439393,Pre-eclampsia,-5,142,PREMIER
4283352,Pre-eclampsia added to pre-existing hypertension,-5,142,PREMIER
437663,Fever,55,143,PREMIER
444413,Febrile convulsion,5,143,PREMIER
3020891,Body temperature,-5,143,PREMIER
254761,Cough,18,144,PREMIER
4121597,Myalgia/myositis - shoulder,-5,145,PREMIER
442752,Muscle pain,-5,145,PREMIER
439926,Malaise and fatigue,5,146,PREMIER
312437,Dyspnea,39,147,PREMIER
43530714,Sensory disorder of smell and/or taste,-5,148,PREMIER
9201,Inpatient Visit,661,151,PREMIER
262,Emergency Room and Inpatient Visit,304,151,PREMIER
255848,Pneumonia,36,152,PREMIER
4133224,Lobar pneumonia,5,152,PREMIER
256722,Bronchopneumonia,-5,152,PREMIER
261324,Pneumonia due to Streptococcus,-5,152,PREMIER
319049,Acute respiratory failure,-5,153,PREMIER
4102631,Acute interstitial nephritis,11,154,PREMIER
197320,Acute renal failure syndrome,8,154,PREMIER
132797,Sepsis,12,155,PREMIER
440417,Pulmonary embolism,46,156,PREMIER
77310,Deep vein phlebitis and thrombophlebitis of the leg,5,156,PREMIER
320741,Thrombophlebitis,-5,156,PREMIER
440417,Pulmonary embolism,47,157,PREMIER
316139,Heart failure,9,159,PREMIER
