cohort_id,concept_set_id,concept_set_name,concept_count,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,database_id
121,4,Respiratory therapy,10,42919661,60 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646524,20180821,20991231,NA,PREMIER
121,4,Respiratory therapy,17,42919217,120 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646088,20180821,20991231,NA,PREMIER
121,4,Respiratory therapy,9,42919663,60 ACTUAT Budesonide 0.320000000000000007 MG/ACTUAT / formoterol 0.00899999999999999932 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646526,20180821,20991231,NA,PREMIER
121,4,Respiratory therapy,-5,42920041,30 ACTUAT tiotropium 0.0179999999999999986 MG/ACTUAT Inhalant Powder [Spiriva],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646899,20180821,20991231,NA,PREMIER
122,3,LAMA,-5,42920041,30 ACTUAT tiotropium 0.0179999999999999986 MG/ACTUAT Inhalant Powder [Spiriva],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646899,20180821,20991231,NA,PREMIER
122,7,ICS,17,42919217,120 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646088,20180821,20991231,NA,PREMIER
122,7,ICS,10,42919661,60 ACTUAT Budesonide 0.160000000000000003 MG/ACTUAT / formoterol 0.00449999999999999966 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646524,20180821,20991231,NA,PREMIER
122,7,ICS,9,42919663,60 ACTUAT Budesonide 0.320000000000000007 MG/ACTUAT / formoterol 0.00899999999999999932 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646526,20180821,20991231,NA,PREMIER
123,9,LABA + LAMA + ICS,9,42919663,60 ACTUAT Budesonide 0.320000000000000007 MG/ACTUAT / formoterol 0.00899999999999999932 MG/ACTUAT Nasal Spray [SYMBICORT TURBUHALER],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646526,20180821,20991231,NA,PREMIER
123,9,LABA + LAMA + ICS,-5,42920041,30 ACTUAT tiotropium 0.0179999999999999986 MG/ACTUAT Inhalant Powder [Spiriva],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646899,20180821,20991231,NA,PREMIER
