count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
3,43,98,75.33333333333333,28.74601421646718,85,43,43,98,98,time (days) between cohort start and end,110,PREMIER
3,19,73,52.666666666666664,29.36551265231604,66,19,19,73,73,observation time (days) after index,110,PREMIER
3,0,168,73.33333333333333,86.00775158864074,52,0,0,168,168,observation time (days) prior to index,110,PREMIER
12,1,3319,947,1162.4723652629339,389,2,28,1097,2781,time (days) between cohort start and end,121,PREMIER
12,1,3319,947,1162.4723652629339,389,2,28,1097,2781,observation time (days) after index,121,PREMIER
12,0,2894,553.0833333333334,1053.8422737197384,2,0,0,172,2546,observation time (days) prior to index,121,PREMIER
27,0,44,6.666666666666667,11.100935511512947,1,0,0,8,28,time (days) between cohort start and end,122,PREMIER
27,1,1048,176.07407407407408,276.6420800526204,39,7,16,273,698,observation time (days) after index,122,PREMIER
27,0,3292,832.4074074074074,1171.4548239511435,167,4,19,1716,3106,observation time (days) prior to index,122,PREMIER
43,0,173,21.372093023255815,38.839120714762615,1,0,1,34,59,time (days) between cohort start and end,123,PREMIER
43,6,3319,1641.953488372093,1222.6596877589752,1730,99,330,2821,3084,observation time (days) after index,123,PREMIER
43,0,3232,1128.3255813953488,1014.4848028839032,849,113,241,1919,2753,observation time (days) prior to index,123,PREMIER
4,3,16,9.5,7.505553499465135,3,3,3,16,16,time (days) between cohort start and end,142,PREMIER
4,8,19,12.5,4.795831523312719,10,8,8,13,19,observation time (days) after index,142,PREMIER
4,0,21,5.5,10.344080432788601,0,0,0,1,21,observation time (days) prior to index,142,PREMIER
49,3,59,10.306122448979592,9.667824819197639,8,3,4,13,21,time (days) between cohort start and end,143,PREMIER
49,0,659,129.6122448979592,183.1325585842273,20,2,8,180,435,observation time (days) after index,143,PREMIER
49,0,2691,579.4897959183673,826.7198770454481,173,0,1,834,2260,observation time (days) prior to index,143,PREMIER
18,3,179,29.77777777777778,43.56139083227061,14,3,3,34,80,time (days) between cohort start and end,144,PREMIER
18,2,3238,1254.888888888889,1341.7646365399862,412,3,146,2931,3211,observation time (days) after index,144,PREMIER
18,0,3232,753.1111111111111,1165.9325925873743,92,0,0,1383,3118,observation time (days) prior to index,144,PREMIER
3,3,14,6.666666666666667,6.3508529610858835,3,3,3,14,14,time (days) between cohort start and end,145,PREMIER
3,3,1667,1078.6666666666667,932.9224690901883,1566,3,3,1667,1667,observation time (days) after index,145,PREMIER
3,1,356,204,182.9125474099576,255,1,1,356,356,observation time (days) prior to index,145,PREMIER
4,3,12,7.25,3.774917217635375,6,3,3,8,12,time (days) between cohort start and end,146,PREMIER
4,3,838,415.25,351.356774992789,306,3,3,514,838,observation time (days) after index,146,PREMIER
4,73,2082,1105,896.1298269038178,692,73,73,1573,2082,observation time (days) prior to index,146,PREMIER
37,3,62,9.162162162162161,12.731224767636618,4,3,3,11,17,time (days) between cohort start and end,147,PREMIER
37,0,1629,236.97297297297297,401.4640904438601,16,1,2,407,685,observation time (days) after index,147,PREMIER
37,0,3242,1081.4864864864865,1108.3144765719605,513,1,50,1807,2735,observation time (days) prior to index,147,PREMIER
1,17,17,17,0,17,17,17,17,17,time (days) between cohort start and end,148,PREMIER
1,223,223,223,0,223,223,223,223,223,observation time (days) after index,148,PREMIER
