cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
49,768.7200547570158,NA,NA,NA,63.74232036328021,100,PREMIER
17,365.91649555099247,Female,NA,NA,46.45868717779889,100,PREMIER
32,402.8035592060233,Male,NA,NA,79.44319077784725,100,PREMIER
0,24.4435318275154,NA,0-9,NA,0,100,PREMIER
0,22.82546201232033,NA,10-19,NA,0,100,PREMIER
0,25.366187542778917,NA,20-29,NA,0,100,PREMIER
-5,39.31006160164271,NA,30-39,NA,-127.19389887170915,100,PREMIER
-5,90.3874058863792,NA,40-49,NA,-55.317441085600045,100,PREMIER
-5,183.87953456536619,NA,50-59,NA,-27.191715553437955,100,PREMIER
15,137.88637919233403,NA,60-69,NA,108.78521930782517,100,PREMIER
21,180.95824777549623,NA,70-79,NA,116.04886905212194,100,PREMIER
7,62.55715263518138,NA,80-89,NA,111.89767604709178,100,PREMIER
0,1.106091718001369,NA,90-99,NA,0,100,PREMIER
0,13.25119780971937,Female,0-9,NA,0,100,PREMIER
0,21.51129363449692,Female,10-19,NA,0,100,PREMIER
0,20.5119780971937,Female,20-29,NA,0,100,PREMIER
-5,27.978097193702943,Female,30-39,NA,-178.71122419023388,100,PREMIER
-5,51.148528405201915,Female,40-49,NA,-97.75452307033508,100,PREMIER
-5,87.16769336071184,Female,50-59,NA,-57.36070104906087,100,PREMIER
-5,52.69815195071869,Female,60-69,NA,-94.87998753117206,100,PREMIER
6,73.41820670773443,Female,70-79,NA,81.72359785202865,100,PREMIER
5,17.22655715263518,Female,80-89,NA,290.2495232040687,100,PREMIER
0,1.0047912388774811,Female,90-99,NA,0,100,PREMIER
0,11.19233401779603,Male,0-9,NA,0,100,PREMIER
0,1.3141683778234086,Male,10-19,NA,0,100,PREMIER
0,4.854209445585216,Male,20-29,NA,0,100,PREMIER
0,11.331964407939767,Male,30-39,NA,0,100,PREMIER
0,39.238877481177276,Male,40-49,NA,0,100,PREMIER
-5,96.71184120465435,Male,50-59,NA,-51.699977352508206,100,PREMIER
13,85.18822724161534,Male,60-69,NA,152.60324602281858,100,PREMIER
15,107.5400410677618,Male,70-79,NA,139.48292980982205,100,PREMIER
-5,45.3305954825462,Male,80-89,NA,-110.30077912665338,100,PREMIER
0,0.10130047912388775,Male,90-99,NA,0,100,PREMIER
-5,14.25598904859685,NA,NA,2011,-350.7297868254273,100,PREMIER
-5,29.013004791238878,NA,NA,2012,-172.33651033311315,100,PREMIER
-5,43.26078028747433,NA,NA,2013,-115.57812796658439,100,PREMIER
-5,57.412731006160165,NA,NA,2014,-87.08869814020028,100,PREMIER
-5,67.88501026694045,NA,NA,2015,-73.65396249243798,100,PREMIER
-5,79.08555783709788,NA,NA,2016,-63.22266842068822,100,PREMIER
5,96.65982203969884,NA,NA,2017,51.7278005948166,100,PREMIER
-5,129.94934976043805,NA,NA,2018,-38.4765295803135,100,PREMIER
14,190.99794661190964,NA,NA,2019,73.29921733895245,100,PREMIER
12,60.199863107460644,NA,NA,2020,199.33600145533927,100,PREMIER
0,0.4791238877481177,NA,0-9,2013,0,100,PREMIER
0,0.999315537303217,NA,0-9,2014,0,100,PREMIER
0,0.999315537303217,NA,0-9,2015,0,100,PREMIER
0,1.002053388090349,NA,0-9,2016,0,100,PREMIER
0,2.507871321013005,NA,0-9,2017,0,100,PREMIER
