cohort_id,concept_set_id,concept_set_name,concept_count,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,database_id
100,0,Type 2 Diabetes Mellitus,13,4024659,Gestational diabetes mellitus,Condition,SNOMED,Clinical Finding,S,11687002,19700101,20991231,NA,PREMIER
100,1,History of diabetes,-5,4226121,Retinopathy with type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,422034002,19700101,20991231,NA,PREMIER
100,1,History of diabetes,24,37017432,Polyneuropathy due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,713706002,20160131,20991231,NA,PREMIER
100,1,History of diabetes,-5,4099216,Type 2 diabetes mellitus with multiple complications,Condition,SNOMED,Clinical Finding,S,190388001,19700101,20991231,NA,PREMIER
100,1,History of diabetes,-5,443732,Disorder due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,422014003,19700101,20991231,NA,PREMIER
100,1,History of diabetes,484,45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus,Condition,SNOMED,Clinical Finding,S,90791000119104,20150131,20991231,NA,PREMIER
100,1,History of diabetes,78,4193704,Type 2 diabetes mellitus without complication,Condition,SNOMED,Clinical Finding,S,313436004,19700101,20991231,NA,PREMIER
101,0,Hypertension,-5,4283352,Pre-eclampsia added to pre-existing hypertension,Condition,SNOMED,Clinical Finding,S,67359005,19700101,20991231,NA,PREMIER
101,0,Hypertension,9,4118910,Maternal hypertension,Condition,SNOMED,Clinical Finding,S,288250001,19700101,20991231,NA,PREMIER
119,2,"COPD mono-therapy
",202,42921876,2 ML Ipratropium 0.25 MG/ML Inhalant Solution [AVENTRO],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4648695,20180821,20991231,NA,PREMIER
119,2,"COPD mono-therapy
",10,42921875,2 ML Ipratropium 0.25 MG/ML Inhalant Solution [ATROVENT UDV],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4648694,20180821,20991231,NA,PREMIER
120,3,LAMA,16,42919657,60 ACTUAT tiotropium 0.00250000000000000005 MG/ACTUAT Metered Dose Inhaler [Spiriva Respimat],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646520,20180821,20991231,NA,PREMIER
120,3,LAMA,-5,42920051,30 ACTUAT umeclidinium 0.00207999999999999982 MG/ACTUAT Nasal Spray [Incruse Ellipta],Drug,RxNorm Extension,Quant Branded Drug,S,OMOP4646908,20180821,20991231,NA,PREMIER
