count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,cohort_id,database_id
49,5,3329,863.9387755102041,1001.1718219200952,286,13,91,1231,2630,time (days) between cohort start and end,100,PREMIER
49,5,3329,863.9387755102041,1001.1718219200952,286,13,91,1231,2630,observation time (days) after index,100,PREMIER
49,0,2898,482.6326530612245,811.2535745652514,24,0,0,581,2045,observation time (days) prior to index,100,PREMIER
47,3,3351,954.7021276595744,998.468956537602,608,15,143,1747,2630,time (days) between cohort start and end,101,PREMIER
47,3,3351,954.7021276595744,998.468956537602,608,15,143,1747,2630,observation time (days) after index,101,PREMIER
47,0,2898,373.1914893617021,759.9521048494602,22,0,1,288,1693,observation time (days) prior to index,101,PREMIER
16,13,3351,1328.8125,1302.7038148277093,589,13,48,2449,3329,time (days) between cohort start and end,102,PREMIER
16,13,3351,1328.8125,1302.7038148277093,589,13,48,2449,3329,observation time (days) after index,102,PREMIER
16,0,1822,319.6875,533.273003098163,10,0,0,554,1094,observation time (days) prior to index,102,PREMIER
7,13,3329,1089.4285714285713,1405.0987933407455,427,13,13,2815,3329,time (days) between cohort start and end,103,PREMIER
7,13,3329,1089.4285714285713,1405.0987933407455,427,13,13,2815,3329,observation time (days) after index,103,PREMIER
7,0,1495,586.4285714285714,728.2284113158584,48,0,0,1468,1495,observation time (days) prior to index,103,PREMIER
32,0,2205,446.40625,610.8046443078708,197,0,19,586,1633,time (days) between cohort start and end,104,PREMIER
32,0,2205,446.40625,610.8046443078708,197,0,19,586,1633,observation time (days) after index,104,PREMIER
32,0,2824,693.46875,864.4052583162824,262,0,15,1099,2072,observation time (days) prior to index,104,PREMIER
193,1,3342,589.3108808290156,802.0540211542742,258,19,56,694,1793,time (days) between cohort start and end,105,PREMIER
193,1,3342,589.3108808290156,802.0540211542742,258,19,56,694,1793,observation time (days) after index,105,PREMIER
193,0,3147,132.81865284974094,538.6998268054846,0,0,0,4,55,observation time (days) prior to index,105,PREMIER
5,8,148,39.2,60.98934333143783,13,8,8,19,148,time (days) between cohort start and end,108,PREMIER
5,8,148,39.2,60.98934333143783,13,8,8,19,148,observation time (days) after index,108,PREMIER
5,0,1053,212,470.1398728038285,1,0,0,6,1053,observation time (days) prior to index,108,PREMIER
8,80,2751,1126.125,1009.7656641164679,692,80,82,1436,2751,time (days) between cohort start and end,109,PREMIER
8,80,2751,1126.125,1009.7656641164679,692,80,82,1436,2751,observation time (days) after index,109,PREMIER
8,0,2691,612.625,891.8752214936155,257,0,0,685,2691,observation time (days) prior to index,109,PREMIER
4,12,79,33,31.144823004794873,16,12,12,25,79,time (days) between cohort start and end,117,PREMIER
4,12,79,33,31.144823004794873,16,12,12,25,79,observation time (days) after index,117,PREMIER
4,0,743,274.75,354.4172446895514,0,0,0,356,743,observation time (days) prior to index,117,PREMIER
19,10,2124,666.578947368421,718.1299260184572,363,13,72,1008,1879,time (days) between cohort start and end,118,PREMIER
19,10,2124,666.578947368421,718.1299260184572,363,13,72,1008,1879,observation time (days) after index,118,PREMIER
19,0,1954,404.7894736842105,630.598972666056,1,0,0,841,1797,observation time (days) prior to index,118,PREMIER
9,28,3319,1380,1310.174129648422,602,28,367,2168,3319,time (days) between cohort start and end,119,PREMIER
9,28,3319,1380,1310.174129648422,602,28,367,2168,3319,observation time (days) after index,119,PREMIER
9,0,2546,641.6666666666666,932.029640086623,142,0,2,1354,2546,observation time (days) prior to index,119,PREMIER
5,1,1097,263.2,470.808559820231,52,1,2,164,1097,time (days) between cohort start and end,120,PREMIER
5,1,1097,263.2,470.808559820231,52,1,2,164,1097,observation time (days) after index,120,PREMIER
5,0,1000,282.6,414.8346658609909,172,0,0,241,1000,observation time (days) prior to index,120,PREMIER
246,0,3351,600.6666666666666,849.0889058679469,209,13,41,726,1922,time (days) between cohort start and end,125,PREMIER
246,0,3351,600.6666666666666,849.0889058679469,209,13,41,726,1922,observation time (days) after index,125,PREMIER
246,0,3286,220.10569105691056,642.4076245895164,0,0,0,14,635,observation time (days) prior to index,125,PREMIER
29,0,499,122.55172413793103,146.7776710847533,21,0,0,270,282,time (days) between cohort start and end,199,PREMIER
29,7,558,97.55172413793103,125.2513433651645,49,8,13,125,244,observation time (days) after index,199,PREMIER
29,0,3289,251.48275862068965,671.7181392672746,0,0,0,122,1122,observation time (days) prior to index,199,PREMIER
101,3,179,13.108910891089108,22.015858370774012,6,3,3,14,24,time (days) between cohort start and end,200,PREMIER
101,0,869,170.0990099009901,223.9126840958544,33,2,6,306,510,observation time (days) after index,200,PREMIER
101,0,3242,812.980198019802,1020.5801681416117,288,0,1,1525,2536,observation time (days) prior to index,200,PREMIER
20,3,3351,1082.85,1264.4072576341432,350,13,28,2416,2843,time (days) between cohort start and end,203,PREMIER
20,3,3351,1082.85,1264.4072576341432,350,13,28,2416,2843,observation time (days) after index,203,PREMIER
20,0,3276,440.45,822.4801693338075,10,0,0,554,1094,observation time (days) prior to index,203,PREMIER
10,3,3351,1099.8,1463.9266678658767,48,3,13,2815,3329,time (days) between cohort start and end,204,PREMIER
10,3,3351,1099.8,1463.9266678658767,48,3,13,2815,3329,observation time (days) after index,204,PREMIER
10,0,3276,766.9,1081.3033750473958,48,0,0,1468,1495,observation time (days) prior to index,204,PREMIER
4,12,79,33,31.144823004794873,16,12,12,25,79,time (days) between cohort start and end,206,PREMIER
4,12,79,33,31.144823004794873,16,12,12,25,79,observation time (days) after index,206,PREMIER
4,0,743,274.75,354.4172446895514,0,0,0,356,743,observation time (days) prior to index,206,PREMIER
