"","dayDiff","personCount"
"1",0,8683
"2",1,7874
"3",2,6937
"4",3,5754
"5",4,4674
"6",5,4000
"7",6,3515
"8",7,3398
"9",8,2756
"10",9,2112
"11",10,1920
"12",11,1625
"13",12,1291
"14",13,1351
"15",14,1327
"16",15,1237
"17",16,1108
"18",17,916
"19",18,878
"20",19,732
"21",20,496
"22",21,562
"23",22,649
"24",23,464
"25",24,459
"26",25,516
"27",26,464
"28",27,293
"29",28,378
"30",29,277
"31",30,281
"32",31,300
"33",32,242
"34",33,262
"35",34,200
"36",35,303
"37",36,230
"38",37,193
"39",38,197
"40",39,181
"41",40,86
"42",41,129
"43",42,141
"44",43,118
"45",44,116
"46",45,133
"47",46,123
"48",47,102
"49",48,113
"50",49,110
"51",50,81
"52",51,99
"53",52,77
"54",53,107
"55",54,93
"56",55,52
"57",56,28
"58",57,119
"59",58,60
"60",59,21
"61",60,38
"62",61,60
"63",62,48
"64",63,30
"65",64,54
"66",65,56
"67",66,15
"68",67,18
"69",68,55
"70",69,32
"71",70,48
"72",71,56
"73",72,21
"74",73,18
"75",74,29
"76",75,60
"77",76,34
"78",77,20
"79",78,27
"80",79,24
"81",80,73
"82",81,16
"83",82,42
"84",83,29
"85",84,35
"86",85,40
"87",86,26
"88",87,30
"89",88,27
"90",89,46
"91",90,11
"92",91,70
"93",92,19
"94",93,21
"95",94,11
"96",95,16
"97",97,16
"98",98,8
"99",99,24
"100",100,25
"101",102,46
"102",103,34
"103",104,8
"104",105,19
"105",106,8
"106",107,14
"107",108,21
"108",109,13
"109",110,8
"110",111,15
"111",112,13
"112",113,10
"113",114,13
"114",115,3
"115",117,7
"116",118,10
"117",119,14
"118",120,7
"119",121,9
"120",123,12
"121",124,12
"122",126,21
"123",127,1
"124",128,13
"125",131,9
"126",134,15
"127",137,11
"128",138,5
"129",140,19
"130",141,4
"131",146,5
"132",149,6
"133",150,15
"134",151,8
"135",154,10
"136",157,9
"137",161,5
"138",162,4
"139",165,14
"140",166,13
"141",172,13
"142",174,13
"143",175,1
"144",182,16
"145",192,3
"146",210,3
"147",211,4
"148",216,8
"149",257,7
"150",287,8
"151",298,8
"152",299,7
"153",301,13
"154",307,7
"155",308,2
"156",452,2
"157",NA,829776
