"","dayDiff","personCount"
"1",0,337650
"2",1,54913
"3",2,41918
"4",3,27034
"5",4,35499
"6",5,17726
"7",6,37626
"8",7,16838
"9",8,11197
"10",9,13699
"11",10,8785
"12",11,8574
"13",12,7625
"14",13,17564
"15",14,10246
"16",15,5682
"17",16,5468
"18",17,4419
"19",18,3831
"20",19,4599
"21",20,5887
"22",21,4612
"23",22,3445
"24",23,3049
"25",24,2773
"26",25,2837
"27",26,2807
"28",27,9015
"29",28,5118
"30",29,7313
"31",30,2758
"32",31,2096
"33",32,1944
"34",33,1909
"35",34,3594
"36",35,2011
"37",36,1785
"38",37,1389
"39",38,1348
"40",39,1366
"41",40,1228
"42",41,2677
"43",42,1663
"44",43,1428
"45",44,1515
"46",45,1103
"47",46,946
"48",47,1055
"49",48,1382
"50",49,1277
"51",50,961
"52",51,836
"53",52,806
"54",53,749
"55",54,757
"56",55,3210
"57",56,1245
"58",57,1018
"59",58,832
"60",59,2172
"61",60,555
"62",61,610
"63",62,1587
"64",63,779
"65",64,720
"66",65,529
"67",66,483
"68",67,531
"69",68,437
"70",69,1349
"71",70,485
"72",71,542
"73",72,370
"74",73,377
"75",74,444
"76",75,386
"77",76,665
"78",77,444
"79",78,458
"80",79,344
"81",80,359
"82",81,367
"83",82,362
"84",83,1392
"85",84,627
"86",85,489
"87",86,419
"88",87,410
"89",88,400
"90",89,1159
"91",90,1332
"92",91,360
"93",92,336
"94",93,247
"95",94,283
"96",95,325
"97",96,266
"98",97,875
"99",98,371
"100",99,417
"101",100,233
"102",101,249
"103",102,166
"104",103,298
"105",104,532
"106",105,300
"107",106,268
"108",107,259
"109",108,270
"110",109,199
"111",110,235
"112",111,636
"113",112,323
"114",113,287
"115",114,252
"116",115,333
"117",116,248
"118",117,259
"119",118,512
"120",119,404
"121",120,311
"122",121,178
"123",122,236
"124",123,160
"125",124,162
"126",125,592
"127",126,233
"128",127,232
"129",128,178
"130",129,163
"131",130,162
"132",131,152
"133",132,353
"134",133,203
"135",134,148
"136",135,136
"137",136,164
"138",137,176
"139",138,171
"140",139,435
"141",140,196
"142",141,157
"143",142,157
"144",143,177
"145",144,114
"146",145,131
"147",146,299
"148",147,179
"149",148,177
"150",149,164
"151",150,196
"152",151,156
"153",152,129
"154",153,294
"155",154,110
"156",155,173
"157",156,118
"158",157,139
"159",158,139
"160",159,103
"161",160,245
"162",161,125
"163",162,181
"164",163,108
"165",164,117
"166",165,97
"167",166,162
"168",167,343
"169",168,141
"170",169,119
"171",170,124
"172",171,114
"173",172,116
"174",173,126
"175",174,303
"176",175,151
"177",176,128
"178",177,122
"179",178,177
"180",179,283
"181",180,189
"182",181,453
"183",182,134
"184",183,138
"185",184,109
"186",185,100
"187",186,80
"188",187,103
"189",188,303
"190",189,120
"191",190,104
"192",191,100
"193",192,128
"194",193,101
"195",194,105
"196",195,260
"197",196,100
"198",197,145
"199",198,108
"200",199,79
"201",200,66
"202",201,85
"203",202,166
"204",203,102
"205",204,97
"206",205,97
"207",206,141
"208",207,106
"209",208,104
"210",209,269
"211",210,104
"212",211,116
"213",212,59
"214",213,82
"215",214,54
"216",215,72
"217",216,196
"218",217,78
"219",218,84
"220",219,69
"221",220,74
"222",221,55
"223",222,56
"224",223,188
"225",224,90
"226",225,91
"227",226,67
"228",227,84
"229",228,74
"230",229,44
"231",230,147
"232",231,64
"233",232,84
"234",233,91
"235",234,67
"236",235,60
"237",236,87
"238",237,198
"239",238,122
"240",239,110
"241",240,59
"242",241,76
"243",242,67
"244",243,68
"245",244,168
"246",245,75
"247",246,76
"248",247,35
"249",248,101
"250",249,61
"251",250,72
"252",251,205
"253",252,61
"254",253,68
"255",254,57
"256",255,68
"257",256,61
"258",257,62
"259",258,142
"260",259,40
"261",260,45
"262",261,41
"263",262,52
"264",263,61
"265",264,57
"266",265,165
"267",266,62
"268",267,68
"269",268,65
"270",269,93
"271",270,52
"272",271,91
"273",272,162
"274",273,57
"275",274,55
"276",275,53
"277",276,60
"278",277,70
"279",278,70
"280",279,159
"281",280,58
"282",281,74
"283",282,59
"284",283,63
"285",284,56
"286",285,49
"287",286,108
"288",287,54
"289",288,62
"290",289,47
"291",290,41
"292",291,42
"293",292,48
"294",293,154
"295",294,48
"296",295,48
"297",296,58
"298",297,41
"299",298,49
"300",299,71
"301",300,96
"302",301,51
"303",302,45
"304",303,45
"305",304,53
"306",305,47
"307",306,47
"308",307,92
"309",308,57
"310",309,66
"311",310,62
"312",311,48
"313",312,35
"314",313,38
"315",314,112
"316",315,31
"317",316,53
"318",317,50
"319",318,55
"320",319,42
"321",320,29
"322",321,82
"323",322,33
"324",323,60
"325",324,47
"326",325,27
"327",326,26
"328",327,39
"329",328,93
"330",329,55
"331",330,59
"332",331,38
"333",332,54
"334",333,49
"335",334,54
"336",335,148
"337",336,37
"338",337,50
"339",338,39
"340",339,36
"341",340,34
"342",341,61
"343",342,69
"344",343,35
"345",344,35
"346",345,40
"347",346,31
"348",347,38
"349",348,24
"350",349,85
"351",350,49
"352",351,33
"353",352,42
"354",353,42
"355",354,28
"356",355,38
"357",356,76
"358",357,58
"359",358,47
"360",359,28
"361",360,34
"362",361,35
"363",362,75
"364",363,94
"365",364,49
"366",365,40
"367",366,55
"368",367,57
"369",368,53
"370",369,73
"371",370,94
"372",371,33
"373",372,39
"374",373,39
"375",374,23
"376",375,64
"377",376,33
"378",377,92
"379",378,26
"380",379,55
"381",380,23
"382",381,31
"383",382,55
"384",383,40
"385",384,76
"386",385,63
"387",386,36
"388",387,21
"389",388,35
"390",389,26
"391",390,41
"392",391,71
"393",392,34
"394",393,38
"395",394,23
"396",395,33
"397",396,34
"398",397,57
"399",398,65
"400",399,66
"401",400,43
"402",401,33
"403",402,40
"404",403,28
"405",404,33
"406",405,50
"407",406,60
"408",407,35
"409",408,42
"410",409,30
"411",410,55
"412",411,25
"413",412,57
"414",413,28
"415",414,35
"416",415,27
"417",416,19
"418",417,39
"419",418,60
"420",419,69
"421",420,34
"422",421,36
"423",422,28
"424",423,25
"425",424,33
"426",425,33
"427",426,71
"428",427,53
"429",428,31
"430",429,16
"431",430,31
"432",431,29
"433",432,33
"434",433,50
"435",434,24
"436",435,29
"437",436,25
"438",437,30
"439",438,31
"440",439,26
"441",440,51
"442",441,26
"443",442,27
"444",443,20
"445",444,29
"446",445,20
"447",446,30
"448",447,79
"449",448,30
"450",449,22
"451",450,19
"452",451,36
"453",452,42
"454",453,48
"455",454,54
"456",455,31
"457",456,34
"458",457,29
"459",458,28
"460",459,36
"461",460,43
"462",461,80
"463",462,32
"464",463,31
"465",464,16
"466",465,22
"467",466,31
"468",467,41
"469",468,67
"470",469,43
"471",470,17
"472",471,17
"473",472,18
"474",473,25
"475",474,37
"476",475,47
"477",476,46
"478",477,17
"479",478,20
"480",479,36
"481",480,19
"482",481,24
"483",482,28
"484",483,24
"485",484,16
"486",485,14
"487",486,12
"488",487,22
"489",488,26
"490",489,46
"491",490,20
"492",491,33
"493",492,39
"494",493,13
"495",494,16
"496",495,31
"497",496,57
"498",497,29
"499",498,29
"500",499,23
"501",500,17
"502",501,10
"503",502,29
