"","conceptId","attributeName","ratio"
"1",1037,NA,0
"2",184,NA,0
"3",87,NA,0
"4",273,"Drug only plan",0
"5",550,NA,0
"6",394,"VA Children of Women Vietnam Veterans (CWVV)",0
"7",51,"Drug/Measurement",0
"8",272,"Vision only plan",0
"9",70,NA,0
"10",190,NA,0
"11",350,"Reduction in the number of hours of employment",0
"12",278,"Small group (2-50 employees) health plan",0
"13",424,"Organized Delivery System",0
"14",176,NA,0
"15",309,"Title V Maternal and Child Health (MSH) Services Block Grant Program",0
"16",292,"Medicaid Preferred Provider Organization (PPO)",0
"17",271,"Dental only plan",0
"18",22,"Measurement type",0.3
"19",156,NA,0
"20",417,"Private Health Insurance - Indemnity",0
"21",282,"Medicare Health Maintenance Organization (HMO)",0
"22",173,NA,0
"23",269,"Minimal Benefit (Medical and Drug) plan",0
"24",261,"US Social Security Death Master File record",0
"25",42,"Observation/Procedure",0.1
"26",189,NA,0
"27",117,NA,0
"28",161,NA,0
"29",257,"Hospitalization Cost Record",0
"30",113,NA,0
"31",125,NA,0
"32",40,NA,0.1
"33",43,"Measurement/Procedure",0.1
"34",120,NA,0
"35",187,NA,0
"36",57,"Care site",0
"37",19,"Condition",0.4
"38",160,NA,0
"39",766,NA,0
"40",508,NA,0
"41",242,"Other government reported or identified death",0
"42",357,"Entitlement to Medicare",0
"43",331,"Commercial Managed Care - Point of Service (POS)",0
"44",266,"Platinum Health Plan with 90% actuarial plan value",0
"45",677,NA,0
"46",315,"Local Government Program",0
"47",366,"Medicare Pharmacy Benefit Manager",0
"48",307,"Health Resources and Services Administration (HRSA) Program",0
"49",91,NA,0
"50",305,"VA Outside VA facilities - Vision",0
"51",54,"Drug/Procedure",0
"52",29,NA,0.2
"53",4,"Ethnicity",4.9
"54",181,NA,0
"55",96,NA,0
"56",201,"Quantified Clinical Drug Box",0
"57",10,"Procedure",1.3
"58",35,"Revenue code",0.1
"59",107,NA,0
"60",6,"Death type",2.8
"61",220,NA,0
"62",86,NA,0
"63",1662,NA,0
"64",822,NA,0
"65",219,NA,0
"66",241,"Non-human drug class Imaging Material",0
"67",175,NA,0
"68",363,"Medicare Medical Savings Account (MSA)",0
"69",285,"Medicare Non-managed Care",0
"70",50,"Device/Drug",0.1
"71",231,"Drug Product Database (Health Canada)",0
"72",66,NA,0
"73",340,"Managed Care, Unspecified",0
"74",523,NA,0
"75",13,"Drug",0.8
"76",391,"VA Non-Veteran Care",0
"77",2,"Gender",14.3
"78",246,"Has marketed form (OMOP)",0
"79",75,NA,0
"80",128,NA,0
"81",166,NA,0
"82",344,"Miscellaneous Program",0
"83",142,NA,0
"84",152,NA,0
"85",222,"Brand name of (OMOP)",0
"86",381,"Military Treatment Facility - TRICARE For Life (TFL)",0
"87",38,"Specimen anatomic site",0.1
"88",359,"Termination by contract owner",0
"89",193,NA,0
"90",777,NA,0
"91",164,NA,0
"92",548,NA,0
"93",217,NA,0
"94",186,NA,0
"95",709,NA,0
"96",47,"Condition/Measurement",0.1
"97",177,NA,0
"98",545,NA,0
"99",182,NA,0
"100",18,"Device type",0.4
"101",110,NA,0
"102",145,NA,0
"103",27,"Observation",0.2
"104",143,NA,0
"105",58,"Type Concept",0
"106",228,"Has standard Brand Name (OMOP)",0
"107",294,"Medicaid - Other",0
"108",229,"Is standard Dose Form of (OMOP)",0
"109",481,NA,0
"110",304,"VA Outside VA facilities - Dental",0
"111",1009,NA,0
"112",52,"Drug/Observation",0.1
"113",382,"DoD Dental - Stand Alone",0
"114",258,NA,0
"115",341,"Managed Care Health Management Organization (HMO)",0
"116",84,NA,0
"117",170,NA,0
"118",192,NA,0
"119",276,"Individual health plan",0
"120",101,NA,0
"121",473,NA,0
"122",69,NA,0
"123",379,"Military Treatment Facility - Enrolled Prime - HMO",0
"124",320,"Federal, State, Local not specified - Preferred Provider Organization (PPO)",0
"125",115,NA,0
"126",375,"Department of Defense",0
"127",97,NA,0
"128",108,NA,0
"129",408,"Federal, State, Local not specified - Other",0
"130",59,NA,0
"131",589,NA,0
"132",689,NA,0
"133",127,NA,0
"134",555,NA,0
"135",329,"Commercial Managed Care - Health Management Organization (HMO)",0
"136",630,NA,0
"137",44,"Measurement/Observation",0.1
"138",11,"Procedure type",1.1
"139",575,NA,0
"140",401,"Specific state program (list/local code)",0
"141",153,NA,0
"142",279,"Large group (more than 51 employees) health plan",0
"143",214,NA,0
"144",9,"Visit type",1.5
"145",543,NA,0
"146",85,NA,0
"147",592,NA,0
"148",281,"Medicare Managed Care",0
"149",95,NA,0
"150",553,NA,0
"151",259,"ICD-10-PCS Hierarchical Code",0
"152",172,NA,0
"153",302,"Veteran Care",0
"154",409,"Corrections State",0
"155",30,NA,0.2
"156",288,"Dual Eligibility Medicare/Medicaid",0
"157",21,"Measurement",0.3
"158",3,"Race",7.3
"159",324,"Federal Employee Health Plan",0
"160",249,"Supplier or manufacturer of (OMOP)",0
"161",255,"EHR Record contributory cause of death",0
"162",635,NA,0
"163",165,NA,0
"164",2266,NA,0
"165",56,"Person",0
"166",151,NA,0
"167",296,"DoD TRICARE, Civilian Health and Medical Program of the Uniformed Services (CHAMPUS)",0
"168",639,NA,0
"169",209,NA,0
"170",74,NA,0
"171",620,NA,0
"172",138,NA,0
"173",34,"Currency",0.1
"174",245,"New Form Code (EphMRA)",0
"175",205,NA,0
"176",67,NA,0
"177",407,"Federal, State, Local not specified - not specified managed care",0
"178",90,NA,0
"179",443,"No Payment - Other",0
"180",387,"VA Outside VA facilities - Contract Nursing Home/Community Nursing Home",0
"181",334,"Blue Cross Managed Care - Preferred Provider Organization (PPO)",0
"182",144,NA,0
"183",39,"Specimen disease status",0.1
"184",168,NA,0
"185",526,NA,0
"186",287,"Medicare Non-managed Care - Other",0
"187",312,"State Government Program",0
"188",167,NA,0
"189",1109,NA,0
"190",498,NA,0
"191",277,"Group health plan",0
"192",290,"Medicaid Managed Care",0
"193",300,"DoD Uniformed Services Family Health Plan (USFHP) - Health Management Organization (HMO)",0
