"","dayDiff","personCount"
"1",0,2938474
"2",1,5597
"3",2,17978
"4",3,8542
"5",4,29227
"6",5,8598
"7",6,79145
"8",7,15331
"9",8,5412
"10",9,14926
"11",10,3224
"12",11,3918
"13",12,2878
"14",13,51263
"15",14,9632
"16",15,1810
"17",16,1137
"18",17,1439
"19",18,493
"20",19,3393
"21",20,14515
"22",21,739
"23",22,586
"24",23,361
"25",24,1058
"26",25,371
"27",26,296
"28",27,81780
"29",28,702
"30",29,61172
"31",30,551
"32",31,744
"33",32,847
"34",33,322
"35",34,38637
"36",35,557
"37",36,496
"38",37,309
"39",38,125
"40",39,1578
"41",40,82
"42",41,18573
"43",42,231
"44",43,162
"45",44,2780
"46",45,341
"47",46,108
"48",47,92
"49",48,5390
"50",49,1435
"51",50,168
"52",51,93
"53",52,195
"54",53,146
"55",54,216
"56",55,40383
"57",56,225
"58",57,428
"59",58,122
"60",59,22115
"61",60,190
"62",61,113
"63",62,25586
"64",63,264
"65",64,2295
"66",65,154
"67",66,145
"68",67,103
"69",68,9
"70",69,16326
"71",70,205
"72",71,167
"73",72,108
"74",73,80
"75",74,366
"76",75,70
"77",76,2770
"78",77,80
"79",78,34
"80",79,662
"81",80,227
"82",81,67
"83",82,47
"84",83,11172
"85",84,172
"86",85,139
"87",86,71
"88",87,111
"89",88,37
"90",89,10835
"91",90,32896
"92",91,243
"93",92,347
"94",93,81
"95",94,1071
"96",95,58
"97",96,104
"98",97,14196
"99",98,122
"100",99,3995
"101",100,50
"102",101,14
"103",102,4
"104",103,15
"105",104,3051
"106",105,60
"107",106,32
"108",107,25
"109",108,9
"110",109,162
"111",110,24
"112",111,1151
"113",112,19
"114",113,3
"115",114,21
"116",115,23
"117",116,11
"118",117,7
"119",118,1264
"120",119,6226
"121",120,13
"122",121,23
"123",122,5
"124",123,1
"125",124,29
"126",125,6434
"127",126,73
"128",127,46
"129",129,251
"130",130,6
"131",132,1174
"132",133,22
"133",134,176
"134",135,1
"135",136,2
"136",139,1803
"137",140,3
"138",141,1
"139",143,11
"140",144,16
"141",145,13
"142",146,34
"143",148,1
"144",149,663
"145",150,1
"146",151,6
"147",153,694
"148",154,10
"149",155,12
"150",156,11
"151",157,4
"152",159,19
"153",160,19
"154",161,5
"155",162,2
"156",164,2
"157",165,1
"158",167,44
"159",169,8
"160",172,1
"161",174,6
"162",176,2
"163",179,1793
"164",180,3
"165",181,592
"166",182,8
"167",184,83
"168",185,3
"169",186,10
"170",188,16
"171",189,45
"172",190,1
"173",191,2
"174",193,3
"175",198,2
"176",199,6
"177",213,1
"178",219,1
"179",364,4
