"","ageRange","genderConceptId","ratio"
"1","0~4",8507,0.6
"2","0~4",8532,0.6
"3","1~5",8507,0.1
"4","1~5",8532,0.1
"5","2~6",8507,0.2
"6","2~6",8532,0.3
"7","3~7",8507,0.2
"8","3~7",8532,0.2
"9","4~8",8507,0.2
"10","4~8",8532,0.2
"11","5~9",8507,0.2
"12","5~9",8532,0.2
"13","6~10",8507,0.2
"14","6~10",8532,0.1
"15","7~11",8507,0.2
"16","7~11",8532,0.2
"17","8~12",8507,0.1
"18","8~12",8532,0.2
"19","9~13",8507,0.1
"20","9~13",8532,0.2
"21","10~14",8507,0.2
"22","10~14",8532,0.2
"23","11~15",8507,0.1
"24","11~15",8532,0.1
"25","12~16",8507,0.1
"26","12~16",8532,0.2
"27","13~17",8507,0.1
"28","13~17",8532,0.1
"29","14~18",8507,0.1
"30","14~18",8532,0.1
"31","15~19",8507,0.1
"32","15~19",8532,0.2
"33","16~20",8507,0.2
"34","16~20",8532,0.2
"35","17~21",8507,0.3
"36","17~21",8532,0.2
"37","18~22",8507,0.4
"38","18~22",8532,0.4
"39","19~23",8507,0.4
"40","19~23",8532,0.7
"41","20~24",8507,0.4
"42","20~24",8532,0.8
"43","21~25",8507,0.5
"44","21~25",8532,2.2
"45","22~26",8507,0.5
"46","22~26",8532,1.8
"47","23~27",8507,0.6
"48","23~27",8532,1
"49","24~28",8507,0.6
"50","24~28",8532,0.7
"51","25~29",8507,0.6
"52","25~29",8532,0.8
"53","26~30",8507,0.6
"54","26~30",8532,0.8
"55","27~31",8507,0.5
"56","27~31",8532,0.8
"57","28~32",8507,0.4
"58","28~32",8532,0.6
"59","29~33",8507,0.5
"60","29~33",8532,0.6
"61","30~34",8507,0.4
"62","30~34",8532,0.5
"63","31~35",8507,0.4
"64","31~35",8532,0.5
"65","32~36",8507,0.4
"66","32~36",8532,0.5
"67","33~37",8507,0.4
"68","33~37",8532,0.7
"69","34~38",8507,0.5
"70","34~38",8532,0.5
"71","35~39",8507,0.4
"72","35~39",8532,0.6
"73","36~40",8507,0.3
"74","36~40",8532,0.5
"75","37~41",8507,0.4
"76","37~41",8532,0.5
"77","38~42",8507,0.5
"78","38~42",8532,0.5
"79","39~43",8507,0.4
"80","39~43",8532,0.6
"81","40~44",8507,0.5
"82","40~44",8532,0.7
"83","41~45",8507,0.4
"84","41~45",8532,0.6
"85","42~46",8507,0.5
"86","42~46",8532,0.8
"87","43~47",8507,0.5
"88","43~47",8532,0.6
"89","44~48",8507,0.6
"90","44~48",8532,0.6
"91","45~49",8507,0.6
"92","45~49",8532,0.7
"93","46~50",8507,0.7
"94","46~50",8532,0.8
"95","47~51",8507,0.7
"96","47~51",8532,0.7
"97","48~52",8507,0.8
"98","48~52",8532,1.1
"99","49~53",8507,0.6
"100","49~53",8532,0.8
"101","50~54",8507,0.9
"102","50~54",8532,1.2
"103","51~55",8507,0.9
"104","51~55",8532,0.9
"105","52~56",8507,1
"106","52~56",8532,1
"107","53~57",8507,1
"108","53~57",8532,0.8
"109","54~58",8507,0.9
"110","54~58",8532,0.9
"111","55~59",8507,0.9
"112","55~59",8532,0.9
"113","56~60",8507,1.1
"114","56~60",8532,0.8
"115","57~61",8507,1
"116","57~61",8532,0.8
"117","58~62",8507,1.2
"118","58~62",8532,0.7
"119","59~63",8507,0.9
"120","59~63",8532,0.9
"121","60~64",8507,1.1
"122","60~64",8532,0.9
"123","61~65",8507,1
"124","61~65",8532,0.8
"125","62~66",8507,1.1
"126","62~66",8532,0.8
"127","63~67",8507,0.9
"128","63~67",8532,0.8
"129","64~68",8507,0.8
"130","64~68",8532,0.9
"131","65~69",8507,0.9
"132","65~69",8532,0.7
"133","66~70",8507,1
"134","66~70",8532,0.7
"135","67~71",8507,0.7
"136","67~71",8532,0.7
"137","68~72",8507,0.8
"138","68~72",8532,0.7
"139","69~73",8507,0.8
"140","69~73",8532,0.6
"141","70~74",8507,0.6
"142","70~74",8532,0.7
"143","71~75",8507,0.7
"144","71~75",8532,0.8
"145","72~76",8507,0.7
"146","72~76",8532,0.8
"147","73~77",8507,0.5
"148","73~77",8532,0.6
"149","74~78",8507,0.5
"150","74~78",8532,0.5
"151","75~79",8507,0.4
"152","75~79",8532,0.5
"153","76~80",8507,0.5
"154","76~80",8532,0.5
"155","77~81",8507,0.4
"156","77~81",8532,0.4
"157","78~82",8507,0.4
"158","78~82",8532,0.5
"159","79~83",8507,0.5
"160","79~83",8532,0.5
"161","80~84",8507,0.4
"162","80~84",8532,0.6
"163","81~85",8507,0.3
"164","81~85",8532,0.5
"165","82~86",8507,0.2
"166","82~86",8532,0.5
"167","83~87",8507,0.3
"168","83~87",8532,0.5
"169","84~88",8507,0.2
"170","84~88",8532,0.4
"171","85~89",8507,0.2
"172","85~89",8532,0.4
"173","86~90",8507,0.2
"174","86~90",8532,0.3
"175","87~91",8507,0.1
"176","87~91",8532,0.3
"177","88~92",8507,0.1
"178","88~92",8532,0.2
"179","89~93",8507,0.2
"180","89~93",8532,0.2
"181","90~94",8507,0.1
"182","90~94",8532,0.2
"183","91~95",8507,0.1
"184","91~95",8532,0.1
"185","92~96",8507,0.1
"186","92~96",8532,0.1
"187","93~97",8507,0
"188","93~97",8532,0.1
"189","94~98",8507,0
"190","94~98",8532,0.1
"191","95~99",8532,0
"192","96~100",8507,0
"193","96~100",8532,0
"194","97~101",8532,0
"195","98~102",8532,0
"196","100~104",8507,0
"197","112~116",8532,0
"198","120~124",8507,0
