"","dayDiff","personCount"
"1",0,240849
"2",1,3627
"3",2,2369
"4",3,2003
"5",4,1603
"6",5,1317
"7",6,1122
"8",7,1021
"9",8,824
"10",9,616
"11",10,534
"12",11,448
"13",12,367
"14",13,363
"15",14,350
"16",15,328
"17",16,293
"18",17,241
"19",18,235
"20",19,180
"21",20,123
"22",21,159
"23",22,151
"24",23,124
"25",24,108
"26",25,116
"27",26,108
"28",27,71
"29",28,84
"30",29,62
"31",30,59
"32",31,67
"33",32,61
"34",33,59
"35",34,46
"36",35,62
"37",36,43
"38",37,40
"39",38,35
"40",39,42
"41",40,22
"42",41,31
"43",42,26
"44",43,26
"45",44,23
"46",45,28
"47",46,22
"48",47,17
"49",48,18
"50",49,20
"51",50,20
"52",51,20
"53",52,17
"54",53,23
"55",54,20
"56",55,14
"57",56,8
"58",57,21
"59",58,12
"60",59,5
"61",60,9
"62",61,13
"63",62,8
"64",63,8
"65",64,10
"66",65,10
"67",66,5
"68",67,5
"69",68,11
"70",69,5
"71",70,7
"72",71,8
"73",72,4
"74",73,5
"75",74,5
"76",75,6
"77",76,5
"78",77,3
"79",78,5
"80",79,4
"81",80,8
"82",81,4
"83",82,5
"84",83,4
"85",84,3
"86",85,8
"87",86,7
"88",87,6
"89",88,6
"90",89,6
"91",90,1
"92",91,7
"93",92,2
"94",93,3
"95",94,2
"96",95,3
"97",97,3
"98",98,1
"99",99,4
"100",100,3
"101",101,1
"102",102,6
"103",103,5
"104",104,2
"105",105,3
"106",106,1
"107",107,2
"108",108,2
"109",109,2
"110",110,2
"111",111,2
"112",112,2
"113",113,1
"114",114,1
"115",115,2
"116",117,1
"117",118,1
"118",119,1
"119",120,1
"120",121,1
"121",123,2
"122",124,2
"123",126,3
"124",127,1
"125",128,1
"126",131,2
"127",134,2
"128",137,1
"129",138,1
"130",140,2
"131",141,1
"132",146,1
"133",149,1
"134",150,1
"135",151,1
"136",154,1
"137",157,1
"138",161,1
"139",162,1
"140",165,1
"141",166,1
"142",172,1
"143",174,1
"144",175,1
"145",182,1
"146",192,1
"147",210,1
"148",211,1
"149",216,1
"150",257,1
"151",287,1
"152",298,1
"153",299,1
"154",301,1
"155",307,1
"156",308,1
"157",452,1
