"","dayDiff","personCount"
"1",0,200402
"2",1,32990
"3",2,28491
"4",3,19162
"5",4,19726
"6",5,9213
"7",6,17973
"8",7,7516
"9",8,5398
"10",9,7049
"11",10,4304
"12",11,3790
"13",12,3438
"14",13,9238
"15",14,4437
"16",15,2760
"17",16,2691
"18",17,2155
"19",18,1900
"20",19,2392
"21",20,3412
"22",21,3533
"23",22,2037
"24",23,1654
"25",24,1631
"26",25,1424
"27",26,1495
"28",27,4775
"29",28,2976
"30",29,3257
"31",30,1415
"32",31,1124
"33",32,1120
"34",33,998
"35",34,1701
"36",35,1190
"37",36,745
"38",37,802
"39",38,721
"40",39,771
"41",40,608
"42",41,1274
"43",42,1676
"44",43,898
"45",44,672
"46",45,620
"47",46,554
"48",47,631
"49",48,868
"50",49,868
"51",50,580
"52",51,464
"53",52,392
"54",53,410
"55",54,419
"56",55,1322
"57",56,890
"58",57,681
"59",58,445
"60",59,1125
"61",60,396
"62",61,354
"63",62,707
"64",63,1047
"65",64,432
"66",65,357
"67",66,260
"68",67,296
"69",68,367
"70",69,607
"71",70,610
"72",71,332
"73",72,359
"74",73,309
"75",74,241
"76",75,270
"77",76,397
"78",77,426
"79",78,242
"80",79,199
"81",80,204
"82",81,209
"83",82,253
"84",83,620
"85",84,680
"86",85,273
"87",86,240
"88",87,232
"89",88,280
"90",89,724
"91",90,552
"92",91,373
"93",92,227
"94",93,168
"95",94,173
"96",95,202
"97",96,196
"98",97,351
"99",98,289
"100",99,188
"101",100,146
"102",101,139
"103",102,155
"104",103,188
"105",104,325
"106",105,421
"107",106,219
"108",107,202
"109",108,201
"110",109,151
"111",110,153
"112",111,358
"113",112,324
"114",113,219
"115",114,138
"116",115,183
"117",116,151
"118",117,128
"119",118,223
"120",119,291
"121",120,137
"122",121,108
"123",122,105
"124",123,142
"125",124,120
"126",125,208
"127",126,228
"128",127,131
"129",128,76
"130",129,107
"131",130,100
"132",131,123
"133",132,159
"134",133,194
"135",134,146
"136",135,89
"137",136,79
"138",137,90
"139",138,130
"140",139,212
"141",140,154
"142",141,106
"143",142,80
"144",143,118
"145",144,110
"146",145,115
"147",146,183
"148",147,256
"149",148,152
"150",149,110
"151",150,81
"152",151,81
"153",152,106
"154",153,184
"155",154,231
"156",155,126
"157",156,97
"158",157,111
"159",158,64
"160",159,89
"161",160,147
"162",161,131
"163",162,97
"164",163,79
"165",164,91
"166",165,50
"167",166,83
"168",167,261
"169",168,180
"170",169,78
"171",170,63
"172",171,67
"173",172,43
"174",173,80
"175",174,114
"176",175,100
"177",176,66
"178",177,42
"179",178,62
"180",179,185
"181",180,79
"182",181,163
"183",182,86
"184",183,66
"185",184,61
"186",185,46
"187",186,54
"188",187,40
