"","conceptId","attributeName","ratio"
"1",1269,NA,0
"2",652,NA,0
"3",18207,"Poisoning by antithrombotic drugs, undetermined",0
"4",273,"Drug only plan",0
"5",51,"Drug/Measurement",0
"6",1587,NA,0
"7",70,NA,0
"8",1075,NA,0
"9",350,"Reduction in the number of hours of employment",0
"10",539,NA,0
"11",2425,NA,0
"12",1284,NA,0
"13",278,"Small group (2-50 employees) health plan",0
"14",2128,NA,0
"15",2196,NA,0
"16",1750,NA,0
"17",176,NA,0
"18",1494,NA,0
"19",576,NA,0
"20",4176,NA,0
"21",5508,NA,0
"22",292,"Medicaid Preferred Provider Organization (PPO)",0
"23",7984,NA,0
"24",1552,NA,0
"25",271,"Dental only plan",0
"26",22,"Measurement type",0.2
"27",3042,NA,0
"28",556,NA,0
"29",764,NA,0
"30",1175,NA,0
"31",529,NA,0
"32",4116,NA,0
"33",775,NA,0
"34",940,NA,0
"35",390,"VA Outside VA facilities - Other Federal Agency",0
"36",173,NA,0
"37",82418,NA,0
"38",2152,NA,0
"39",2040,NA,0
"40",42,"Observation/Procedure",0
"41",1833,NA,0
"42",189,NA,0
"43",876,NA,0
"44",161,NA,0
"45",2025,NA,0
"46",8670,"EU per deciliter",0
"47",113,NA,0
"48",28033,NA,0
"49",1682,NA,0
"50",1431,NA,0
"51",632,NA,0
"52",1372,NA,0
"53",658,NA,0
"54",3703,NA,0
"55",120,NA,0
"56",578,NA,0
"57",2259,NA,0
"58",440,"Research/Clinical Trial",0
"59",57,"Care site",0
"60",19,"Condition",0.3
"61",160,NA,0
"62",644,NA,0
"63",3700,NA,0
"64",824,NA,0
"65",1368,NA,0
"66",508,NA,0
"67",2313,NA,0
"68",2504,NA,0
"69",1692,NA,0
"70",357,"Entitlement to Medicare",0
"71",19008,"Toxic effect of venom of caterpillars, assault",0
"72",1143,NA,0
"73",266,"Platinum Health Plan with 90% actuarial plan value",0
"74",1287,NA,0
"75",1550,NA,0
"76",315,"Local Government Program",0
"77",307,"Health Resources and Services Administration (HRSA) Program",0
"78",2352,NA,0
"79",841,NA,0
"80",91,NA,0
"81",27455,NA,0
"82",6664,NA,0
"83",5875,NA,0
"84",54,"Drug/Procedure",0.2
"85",5750,NA,0
"86",181,NA,0
"87",1312,NA,0
"88",10,"Procedure",0.9
"89",35,"Revenue code",0.1
"90",2576,NA,0
"91",1984,NA,0
"92",1755,NA,0
"93",13284,"Laceration of unspecified muscles, fascia and tendons at forearm level, left arm",0
"94",963,NA,0
"95",220,NA,0
"96",1602,NA,0
"97",1278,NA,0
"98",2825,NA,0
"99",400,"Division of Coal Mine Workers' Compensation (DCMWC) - Black Lung",0
"100",2796,NA,0
"101",241,"Non-human drug class Imaging Material",0
"102",1025,NA,0
"103",175,NA,0
"104",596,NA,0
"105",16464,"Other specified injury of dorsal vein of unspecified foot",0
"106",285,"Medicare Non-managed Care",0
"107",2116,NA,0
"108",50,"Device/Drug",0.1
"109",16399,"Sprain of interphalangeal joint of unspecified lesser toe(s)",0
"110",13,"Drug",0.5
"111",1776,NA,0
"112",16820,"Corrosion of unspecified degree of lower back",0
"113",1104,NA,0
"114",2890,NA,0
"115",487,NA,0
"116",1922,NA,0
"117",2,"Gender",11.4
"118",1975,NA,0
"119",246,"Has marketed form (OMOP)",0
"120",75,NA,0.1
"121",1664,NA,0
"122",128,NA,0.1
"123",6727,NA,0
"124",2275,NA,0
"125",344,"Miscellaneous Program",0
"126",1920,NA,0
"127",909,NA,0
"128",8604,"percent mean normal",0
"129",745,NA,0
"130",1078,NA,0
"131",152,NA,0
"132",1216,NA,0
"133",428,"Vision Other Private Insurance",0
"134",637,NA,0
"135",355,"Coverage under another plan",0
"136",747,NA,0
"137",2528,NA,0
"138",222,"Brand name of (OMOP)",0
"139",1008,NA,0
"140",23987,NA,0
"141",164,NA,0
"142",1098,NA,0
"143",1325,NA,0
"144",186,NA,0
"145",1548,NA,0
"146",750,NA,0
"147",1952,NA,0
"148",182,NA,0
"149",31948,NA,0
"150",18,"Device type",1.2
"151",1950,NA,0
"152",528,NA,0
"153",1900,NA,0
"154",27,"Observation",0.6
"155",143,NA,0
"156",496,NA,0
"157",58,"Type Concept",0
"158",2752,NA,0
"159",228,"Has standard Brand Name (OMOP)",0
"160",1616,NA,0
"161",814,NA,0
"162",668,NA,0
"163",5984,NA,0
"164",294,"Medicaid - Other",0
"165",850,NA,0
"166",1800,NA,0
"167",1629,NA,0
"168",9604,"nanogram per milligram of protein",0
"169",5202,NA,0
"170",90334,NA,0
"171",607,NA,0
"172",5819,NA,0
"173",258,NA,0
"174",378,"Military Treatment Facility",0
"175",483,NA,0
"176",1050,NA,0
"177",1708,NA,0
"178",84,NA,0.1
"179",3500,NA,0
"180",276,"Individual health plan",0
"181",7774,NA,0
"182",37728,NA,0
"183",33327,NA,0
"184",1044,NA,0
"185",379,"Military Treatment Facility - Enrolled Prime - HMO",0
"186",320,"Federal, State, Local not specified - Preferred Provider Organization (PPO)",0
"187",1062,NA,0
"188",115,NA,0
"189",1458,NA,0
"190",97,NA,0
"191",108,NA,0.2
"192",59,NA,0
"193",16184,"Nondisplaced avulsion fracture (chip fracture) of unspecified talus",0
"194",589,NA,0
