"","gapDayRange","personRatio"
"1","0~4",73.9
"2","1000~1004",0
"3","1005~1009",0
"4","100~104",0.1
"5","1010~1014",0
"6","1015~1019",0
"7","1045~1049",0
"8","1050~1054",0
"9","105~109",0.2
"10","1060~1064",0
"11","1065~1069",0
"12","10~14",3.8
"13","1100~1104",0
"14","110~114",0.1
"15","1130~1134",0
"16","1135~1139",0
"17","1140~1144",0
"18","115~119",0.1
"19","1175~1179",0
"20","1190~1194",0
"21","120~124",0.1
"22","1210~1214",0
"23","125~129",0.1
"24","1275~1279",0
"25","1290~1294",0
"26","1295~1299",0
"27","1300~1304",0
"28","130~134",0.1
"29","1310~1314",0
"30","1325~1329",0
"31","135~139",0
"32","1400~1404",0
"33","140~144",0.1
"34","1420~1424",0
"35","1425~1429",0
"36","145~149",0.1
"37","1465~1469",0
"38","1475~1479",0
"39","150~154",0.1
"40","1510~1514",0
"41","1530~1534",0
"42","1545~1549",0
"43","1555~1559",0
"44","155~159",0.1
"45","15~19",2.4
"46","160~164",0.1
"47","1640~1644",0
"48","1650~1654",0
"49","165~169",0.1
"50","1705~1709",0
"51","170~174",0
"52","1720~1724",0
"53","1745~1749",0
"54","175~179",0
"55","180~184",0
"56","185~189",0
"57","1860~1864",0
"58","1870~1874",0
"59","1905~1909",0
"60","190~194",0
"61","1910~1914",0
"62","1935~1939",0
"63","195~199",0
"64","1985~1989",0
"65","200~204",0
"66","205~209",0
"67","2075~2079",0
"68","20~24",2.3
"69","210~214",0
"70","215~219",0
"71","220~224",0
"72","225~229",0
"73","2285~2289",0
"74","230~234",0
"75","235~239",0
"76","2405~2409",0
"77","240~244",0
"78","245~249",0
"79","250~254",0
"80","2515~2519",0
"81","255~259",0
"82","25~29",2
"83","260~264",0
"84","265~269",0
"85","270~274",0
"86","275~279",0
"87","280~284",0
"88","285~289",0
"89","290~294",0
"90","295~299",0
"91","300~304",0
"92","305~309",0
"93","30~34",1.1
"94","310~314",0
"95","3130~3134",0
"96","315~319",0
"97","3170~3174",0
"98","320~324",0
"99","3220~3224",0
"100","325~329",0
"101","330~334",0
"102","335~339",0
"103","340~344",0
"104","3450~3454",0
"105","345~349",0
"106","350~354",0
"107","355~359",0
"108","35~39",0.8
"109","360~364",0
"110","365~369",0
"111","370~374",0
"112","375~379",0
"113","380~384",0
"114","385~389",0
"115","390~394",0
"116","395~399",0
"117","400~404",0
"118","405~409",0
"119","40~44",0.9
"120","410~414",0
"121","415~419",0
"122","420~424",0
"123","425~429",0
"124","430~434",0
"125","435~439",0
"126","440~444",0
"127","445~449",0
"128","450~454",0
"129","455~459",0
"130","45~49",0.6
"131","460~464",0
"132","465~469",0
"133","470~474",0
"134","475~479",0
"135","480~484",0
"136","485~489",0
"137","490~494",0
"138","495~499",0
"139","500~504",0
"140","505~509",0
"141","50~54",0.4
"142","510~514",0
"143","515~519",0
"144","520~524",0
"145","525~529",0
"146","530~534",0
"147","535~539",0
"148","540~544",0
"149","545~549",0
"150","550~554",0
"151","555~559",0
"152","55~59",0.5
"153","560~564",0
"154","565~569",0
"155","570~574",0
"156","575~579",0
"157","580~584",0
"158","585~589",0
"159","590~594",0
"160","595~599",0
"161","5~9",7.7
"162","600~604",0
"163","605~609",0
"164","60~64",0.5
"165","610~614",0
"166","615~619",0
"167","620~624",0
"168","625~629",0
"169","630~634",0
"170","635~639",0
"171","640~644",0
"172","645~649",0
"173","655~659",0
"174","65~69",0.2
"175","660~664",0
"176","665~669",0
"177","670~674",0
"178","675~679",0
"179","680~684",0
"180","685~689",0
"181","690~694",0
"182","695~699",0
"183","700~704",0
"184","705~709",0
"185","70~74",0.3
"186","710~714",0
"187","720~724",0
"188","725~729",0
"189","735~739",0
"190","740~744",0
"191","745~749",0
"192","750~754",0
"193","755~759",0
"194","75~79",0.2
"195","770~774",0
"196","780~784",0
"197","785~789",0
"198","790~794",0
"199","795~799",0
"200","805~809",0
"201","80~84",0.2
"202","815~819",0
"203","825~829",0
"204","830~834",0
"205","835~839",0
"206","840~844",0
"207","855~859",0
"208","85~89",0.2
"209","860~864",0
"210","865~869",0
"211","870~874",0
"212","885~889",0
"213","895~899",0
"214","900~904",0
"215","905~909",0
"216","90~94",0.2
"217","915~919",0
"218","930~934",0
"219","940~944",0
"220","945~949",0
"221","950~954",0
"222","955~959",0
"223","95~99",0.1
"224","965~969",0
"225","975~979",0
"226","985~989",0
"227","990~994",0
