"","dayDiff","personCount"
"1",0,10707205
"2",1,10196
"3",2,33236
"4",3,7190
"5",4,36887
"6",5,5847
"7",6,92413
"8",7,9219
"9",8,4045
"10",9,22203
"11",10,1774
"12",11,3669
"13",12,2814
"14",13,160430
"15",14,9269
"16",15,3556
"17",16,903
"18",17,1267
"19",18,624
"20",19,6783
"21",20,22898
"22",21,1691
"23",22,1377
"24",23,1101
"25",24,1623
"26",25,1994
"27",26,743
"28",27,54199
"29",28,636
"30",29,20461
"31",30,673
"32",31,276
"33",32,439
"34",33,396
"35",34,16153
"36",35,618
"37",36,675
"38",37,205
"39",38,64
"40",39,1539
"41",40,340
"42",41,8948
"43",42,457
"44",43,365
"45",44,1736
"46",45,272
"47",46,417
"48",47,239
"49",48,1303
"50",49,1310
"51",50,128
"52",51,68
"53",52,122
"54",53,145
"55",54,155
"56",55,20550
"57",56,889
"58",57,450
"59",58,40
"60",59,9724
"61",60,241
"62",61,116
"63",62,8783
"64",63,762
"65",64,1137
"66",65,68
"67",66,78
"68",67,194
"69",68,50
"70",69,3499
"71",70,445
"72",71,455
"73",72,52
"74",73,38
"75",74,228
"76",75,105
"77",76,1291
"78",77,248
"79",78,86
"80",79,235
"81",80,34
"82",81,107
"83",82,75
"84",83,9191
"85",84,1088
"86",85,167
"87",86,51
"88",87,207
"89",88,57
"90",89,7681
"91",90,11941
"92",91,1788
"93",92,166
"94",93,100
"95",94,678
"96",95,105
"97",96,199
"98",97,6185
"99",98,427
"100",99,2080
"101",100,8
"102",101,4
"103",102,23
"104",103,9
"105",104,999
"106",105,39
"107",106,3
"108",107,8
"109",108,1
"110",109,66
"111",110,5
"112",111,881
"113",112,37
"114",113,38
"115",114,68
"116",115,53
"117",116,9
"118",117,21
"119",118,583
"120",119,3159
"121",120,12
"122",121,4
"123",123,16
"124",124,9
"125",125,1116
"126",126,55
"127",127,45
"128",128,45
"129",129,46
"130",130,4
"131",131,11
"132",132,375
"133",133,49
"134",134,45
"135",137,6
"136",139,223
"137",140,33
"138",141,22
"139",142,8
"140",144,14
"141",145,4
"142",146,23
"143",147,59
"144",148,30
"145",149,204
"146",151,9
"147",152,2
"148",153,41
"149",154,10
"150",155,11
"151",157,3
"152",158,3
"153",159,26
"154",160,13
"155",161,10
"156",162,4
"157",165,3
"158",166,13
"159",167,41
"160",169,11
"161",171,2
"162",172,2
"163",174,25
"164",175,1
"165",176,7
"166",177,1
"167",179,1522
"168",180,4
"169",181,580
"170",182,26
"171",183,5
"172",184,96
"173",185,98
"174",186,6
"175",187,10
"176",188,44
"177",189,29
"178",190,8
"179",193,1
"180",195,24
"181",197,42
"182",199,931
"183",202,5
"184",208,1
"185",209,29
"186",214,6
"187",216,2
"188",219,5
"189",229,14
"190",239,35
"191",249,63
"192",259,6
"193",269,1
"194",279,5
"195",285,4
"196",299,30
"197",301,1
"198",309,1
"199",313,1
"200",329,1
"201",334,2
"202",343,1
"203",349,24
"204",357,2
"205",359,7
"206",363,2
"207",364,50
"208",369,9
"209",399,64
"210",419,2
"211",459,1
