"","dayDiff","personCount"
"1",0,122547
"2",1,3181
"3",2,2059
"4",3,1706
"5",4,1452
"6",5,1092
"7",6,981
"8",7,939
"9",8,807
"10",9,521
"11",10,450
"12",11,347
"13",12,304
"14",13,260
"15",14,243
"16",15,204
"17",16,169
"18",17,139
"19",18,139
"20",19,76
"21",20,103
"22",21,81
"23",22,98
"24",23,59
"25",24,58
"26",25,51
"27",26,65
"28",27,41
"29",28,38
"30",29,27
"31",30,28
"32",31,27
"33",32,29
"34",33,34
"35",34,22
"36",35,8
"37",36,26
"38",37,19
"39",38,21
"40",39,21
"41",40,9
"42",41,20
"43",42,19
"44",43,10
"45",44,12
"46",45,11
"47",46,8
"48",47,5
"49",48,9
"50",49,7
"51",50,11
"52",51,6
"53",52,5
"54",53,6
"55",54,12
"56",55,4
"57",56,7
"58",57,3
"59",58,5
"60",59,5
"61",60,4
"62",61,5
"63",62,7
"64",63,10
"65",64,2
"66",65,8
"67",67,3
"68",68,3
"69",69,3
"70",70,3
"71",71,7
"72",72,4
"73",73,1
"74",74,2
"75",75,1
"76",76,1
"77",77,1
"78",78,4
"79",79,4
"80",80,1
"81",81,3
"82",82,1
"83",83,4
"84",84,5
"85",85,5
"86",86,2
"87",87,1
"88",88,2
"89",89,1
"90",90,2
"91",92,2
"92",93,1
"93",94,1
"94",98,1
"95",99,1
"96",101,2
"97",102,1
"98",103,1
"99",104,5
"100",106,1
"101",107,6
"102",108,1
"103",109,1
"104",110,4
"105",111,1
"106",112,1
"107",114,1
"108",115,2
"109",117,1
"110",119,2
"111",120,1
"112",127,1
"113",133,2
"114",137,1
"115",142,1
"116",144,2
"117",148,1
"118",149,2
"119",159,1
"120",163,1
"121",180,1
"122",182,1
"123",190,2
"124",192,1
"125",207,1
"126",248,1
"127",252,2
"128",280,1
"129",305,1
"130",331,1
