cohort_id,covariate_id,mean,sd,database_id
1,1901,3.933,2.62,DCMC
1,1902,2.733,2.572,DCMC
1,1903,1.667,1.749,DCMC
1,1904,2.233,1.888,DCMC
1,2007,0.333,0.587,DCMC
1,3007,0.667,0.83,DCMC
1,5003,-0.333,NA,DCMC
1,7003,-0.333,NA,DCMC
1,8003,-0.333,NA,DCMC
1,9003,-0.333,NA,DCMC
1,10003,-0.333,NA,DCMC
1,11003,-0.333,NA,DCMC
1,12003,-0.333,NA,DCMC
1,13003,-0.333,NA,DCMC
1,14003,-0.333,NA,DCMC
1,15003,-0.333,NA,DCMC
1,16003,-0.333,NA,DCMC
1,17003,-0.333,NA,DCMC
1,2020006,1,1.017,DCMC
1,8507001,0.6,0.787,DCMC
1,8532001,0.4,0.643,DCMC
1,23220210,-0.333,NA,DCMC
1,23220212,-0.333,NA,DCMC
1,23798210,-0.333,NA,DCMC
1,24609210,-0.333,NA,DCMC
1,24969210,-0.333,NA,DCMC
1,25297210,-0.333,NA,DCMC
1,26638210,-0.333,NA,DCMC
1,26638212,-0.333,NA,DCMC
1,26711210,-0.333,NA,DCMC
1,26711212,-0.333,NA,DCMC
1,27587210,-0.333,NA,DCMC
1,27587212,-0.333,NA,DCMC
1,30133210,-0.333,NA,DCMC
1,30361210,-0.333,NA,DCMC
1,30437210,-0.333,NA,DCMC
1,30753210,-0.333,NA,DCMC
1,72712210,-0.333,NA,DCMC
1,72712212,-0.333,NA,DCMC
1,73153210,-0.333,NA,DCMC
1,73153212,-0.333,NA,DCMC
1,73553210,-0.333,NA,DCMC
1,73553212,-0.333,NA,DCMC
1,73925210,-0.333,NA,DCMC
1,73925212,-0.333,NA,DCMC
1,75053210,-0.333,NA,DCMC
1,75053212,-0.333,NA,DCMC
1,75650210,-0.333,NA,DCMC
1,75650212,-0.333,NA,DCMC
1,75860210,-0.333,NA,DCMC
1,76349210,-0.333,NA,DCMC
1,76685210,-0.333,NA,DCMC
1,77079210,-0.333,NA,DCMC
1,77079212,-0.333,NA,DCMC
1,77234210,-0.333,NA,DCMC
1,77670210,-0.333,NA,DCMC
1,77670212,-0.333,NA,DCMC
1,78200210,-0.333,NA,DCMC
1,78786210,-0.333,NA,DCMC
1,78786212,-0.333,NA,DCMC
1,78804210,-0.333,NA,DCMC
1,79768210,-0.333,NA,DCMC
1,79768212,-0.333,NA,DCMC
1,79864210,-0.333,NA,DCMC
1,79864212,-0.333,NA,DCMC
1,80180210,-0.333,NA,DCMC
1,80180212,-0.333,NA,DCMC
1,80502210,-0.333,NA,DCMC
1,80502212,-0.333,NA,DCMC
1,80767210,-0.333,NA,DCMC
1,80951210,-0.333,NA,DCMC
1,81902210,-0.333,NA,DCMC
1,81902212,-0.333,NA,DCMC
1,132344210,-0.333,NA,DCMC
1,132797210,-0.333,NA,DCMC
1,133729210,-0.333,NA,DCMC
1,134398210,-0.333,NA,DCMC
1,134452210,-0.333,NA,DCMC
1,134452212,-0.333,NA,DCMC
1,134453210,-0.333,NA,DCMC
1,134453212,-0.333,NA,DCMC
1,134736210,-0.333,NA,DCMC
1,135618210,-0.333,NA,DCMC
1,136184210,-0.333,NA,DCMC
1,136773210,-0.333,NA,DCMC
1,136773212,-0.333,NA,DCMC
1,136788210,-0.333,NA,DCMC
1,136788212,-0.333,NA,DCMC
1,136937210,-0.333,NA,DCMC
1,136937212,-0.333,NA,DCMC
1,137053210,-0.333,NA,DCMC
1,138102210,-0.333,NA,DCMC
1,138102212,-0.333,NA,DCMC
1,138148210,-0.333,NA,DCMC
1,138148212,-0.333,NA,DCMC
1,138388210,-0.333,NA,DCMC
1,138525210,-0.333,NA,DCMC
1,138525212,-0.333,NA,DCMC
1,138790210,-0.333,NA,DCMC
1,139099210,-0.333,NA,DCMC
1,139099212,-0.333,NA,DCMC
1,140214210,-0.333,NA,DCMC
1,140214212,-0.333,NA,DCMC
1,140673210,-0.333,NA,DCMC
1,141608210,-0.333,NA,DCMC
1,192279210,-0.333,NA,DCMC
1,192279212,-0.333,NA,DCMC
1,192359210,-0.333,NA,DCMC
1,192359212,-0.333,NA,DCMC
1,192438210,0.333,0.587,DCMC
1,192438212,-0.333,NA,DCMC
1,192568210,-0.333,NA,DCMC
1,192568212,-0.333,NA,DCMC
1,192671210,-0.333,NA,DCMC
1,192671212,-0.333,NA,DCMC
1,193253210,-0.333,NA,DCMC
1,193253212,-0.333,NA,DCMC
1,193431210,-0.333,NA,DCMC
1,193519210,-0.333,NA,DCMC
1,193519212,-0.333,NA,DCMC
1,193688210,-0.333,NA,DCMC
1,193782210,-0.333,NA,DCMC
1,193782212,-0.333,NA,DCMC
1,194087210,-0.333,NA,DCMC
1,194087212,-0.333,NA,DCMC
1,194133210,-0.333,NA,DCMC
1,194589210,-0.333,NA,DCMC
1,194589212,-0.333,NA,DCMC
1,194990210,-0.333,NA,DCMC
1,194990212,-0.333,NA,DCMC
1,195002210,-0.333,NA,DCMC
1,195482210,-0.333,NA,DCMC
1,195482212,-0.333,NA,DCMC
1,195500210,-0.333,NA,DCMC
1,195867210,-0.333,NA,DCMC
1,196360210,-0.333,NA,DCMC
1,196931210,-0.333,NA,DCMC
1,196931212,-0.333,NA,DCMC
1,197032210,-0.333,NA,DCMC
1,197032212,-0.333,NA,DCMC
1,197236210,-0.333,NA,DCMC
1,197320210,-0.333,NA,DCMC
1,197320212,-0.333,NA,DCMC
1,197500210,-0.333,NA,DCMC
1,197500212,-0.333,NA,DCMC
1,197506210,-0.333,NA,DCMC
1,197506212,-0.333,NA,DCMC
1,197508210,-0.333,NA,DCMC
1,197508212,-0.333,NA,DCMC
1,197804210,-0.333,NA,DCMC
1,197804212,-0.333,NA,DCMC
1,198091210,-0.333,NA,DCMC
1,198091212,-0.333,NA,DCMC
1,198124210,0.5,0.719,DCMC
1,198124212,0.433,0.669,DCMC
1,198678210,-0.333,NA,DCMC
1,198988210,-0.333,NA,DCMC
1,199754210,-0.333,NA,DCMC
1,199754212,-0.333,NA,DCMC
1,199837210,-0.333,NA,DCMC
1,199837212,-0.333,NA,DCMC
1,199866210,-0.333,NA,DCMC
1,199866212,-0.333,NA,DCMC
1,200680210,-0.333,NA,DCMC
1,200680212,-0.333,NA,DCMC
1,201131210,-0.333,NA,DCMC
1,201131212,-0.333,NA,DCMC
1,201313210,-0.333,NA,DCMC
1,201340210,-0.333,NA,DCMC
1,201340212,-0.333,NA,DCMC
1,201817210,-0.333,NA,DCMC
1,201820210,0.367,0.616,DCMC
1,201820212,-0.333,NA,DCMC
1,201826210,-0.333,NA,DCMC
1,201826212,-0.333,NA,DCMC
1,252280210,-0.333,NA,DCMC
1,252280212,-0.333,NA,DCMC
1,252662210,-0.333,NA,DCMC
1,252662212,-0.333,NA,DCMC
1,253506210,0.467,0.694,DCMC
1,253506212,0.4,0.643,DCMC
1,254061210,-0.333,NA,DCMC
1,254443210,-0.333,NA,DCMC
1,254443212,-0.333,NA,DCMC
1,254761210,-0.333,NA,DCMC
1,254761212,-0.333,NA,DCMC
1,255334210,-0.333,NA,DCMC
1,255334212,-0.333,NA,DCMC
1,255348210,-0.333,NA,DCMC
1,255348212,-0.333,NA,DCMC
1,255573210,-0.333,NA,DCMC
1,255573212,-0.333,NA,DCMC
1,255848210,0.467,0.694,DCMC
1,255848212,0.4,0.643,DCMC
1,256449210,-0.333,NA,DCMC
1,256449212,-0.333,NA,DCMC
1,256451210,-0.333,NA,DCMC
1,256451212,-0.333,NA,DCMC
1,256722210,-0.333,NA,DCMC
1,257004210,-0.333,NA,DCMC
1,257004212,-0.333,NA,DCMC
1,257007210,-0.333,NA,DCMC
1,257007212,-0.333,NA,DCMC
1,257011210,-0.333,NA,DCMC
1,257011212,-0.333,NA,DCMC
1,257315210,-0.333,NA,DCMC
1,260125210,-0.333,NA,DCMC
1,260125212,-0.333,NA,DCMC
1,260139210,-0.333,NA,DCMC
1,260139212,-0.333,NA,DCMC
1,260427210,-0.333,NA,DCMC
1,260427212,-0.333,NA,DCMC
1,312327210,-0.333,NA,DCMC
1,312327212,-0.333,NA,DCMC
1,312339210,-0.333,NA,DCMC
1,312339212,-0.333,NA,DCMC
1,312437210,-0.333,NA,DCMC
1,312437212,-0.333,NA,DCMC
1,313217210,-0.333,NA,DCMC
1,313217212,-0.333,NA,DCMC
1,314378210,-0.333,NA,DCMC
1,314378212,-0.333,NA,DCMC
1,315085210,-0.333,NA,DCMC
1,315085212,-0.333,NA,DCMC
1,315286210,-0.333,NA,DCMC
1,315286212,-0.333,NA,DCMC
1,315296210,-0.333,NA,DCMC
1,315296212,-0.333,NA,DCMC
1,315558210,-0.333,NA,DCMC
1,315558212,-0.333,NA,DCMC
1,316139210,-0.333,NA,DCMC
1,316139212,-0.333,NA,DCMC
1,316501210,-0.333,NA,DCMC
1,316501212,-0.333,NA,DCMC
1,316866210,0.4,0.643,DCMC
1,316866212,-0.333,NA,DCMC
1,317002210,-0.333,NA,DCMC
1,317009210,-0.333,NA,DCMC
1,317302210,-0.333,NA,DCMC
1,318096210,-0.333,NA,DCMC
1,318096212,-0.333,NA,DCMC
1,318443210,-0.333,NA,DCMC
1,318443212,-0.333,NA,DCMC
1,318459210,-0.333,NA,DCMC
1,318459212,-0.333,NA,DCMC
1,318800210,-0.333,NA,DCMC
1,318800212,-0.333,NA,DCMC
1,319041210,-0.333,NA,DCMC
1,319049210,-0.333,NA,DCMC
1,319049212,-0.333,NA,DCMC
1,319826210,-0.333,NA,DCMC
1,319826212,-0.333,NA,DCMC
1,319835210,-0.333,NA,DCMC
1,319835212,-0.333,NA,DCMC
1,319843210,-0.333,NA,DCMC
1,319843212,-0.333,NA,DCMC
1,319844210,-0.333,NA,DCMC
1,319844212,-0.333,NA,DCMC
1,320128210,0.367,0.616,DCMC
1,320128212,-0.333,NA,DCMC
1,321052210,-0.333,NA,DCMC
1,321318210,-0.333,NA,DCMC
1,321318212,-0.333,NA,DCMC
1,321588210,-0.333,NA,DCMC
1,321588212,-0.333,NA,DCMC
1,372324210,-0.333,NA,DCMC
1,372328210,-0.333,NA,DCMC
1,372652210,-0.333,NA,DCMC
1,372929210,-0.333,NA,DCMC
1,373432210,-0.333,NA,DCMC
1,373432212,-0.333,NA,DCMC
1,373724210,-0.333,NA,DCMC
1,373724212,-0.333,NA,DCMC
1,373995210,-0.333,NA,DCMC
1,373995212,-0.333,NA,DCMC
1,374009210,-0.333,NA,DCMC
1,374009212,-0.333,NA,DCMC
1,374375210,-0.333,NA,DCMC
