covariate_id,covariate_name,covariate_analysis_id
1901,Charlson index - Romano adaptation,901
1902,Diabetes Comorbidity Severity Index (DCSI),902
1903,CHADS2,903
1904,CHADS2VASc,904
2007,index month: 2,7
3007,index month: 3,7
5003,age group: 25-29,3
7003,age group: 35-39,3
8003,age group: 40-44,3
9003,age group: 45-49,3
10003,age group: 50-54,3
11003,age group: 55-59,3
12003,age group: 60-64,3
13003,age group: 65-69,3
14003,age group: 70-74,3
15003,age group: 75-79,3
16003,age group: 80-84,3
17003,age group: 85-89,3
2020006,index year: 2020,6
8507001,gender = MALE,1
8532001,gender = FEMALE,1
23220210,condition_era group during day -365 through 0 days relative to index: Chronic tonsillitis,210
23220212,condition_era group during day -30 through 0 days relative to index: Chronic tonsillitis,212
23798210,condition_era group during day -365 through 0 days relative to index: Acute laryngopharyngitis,210
24609210,condition_era group during day -365 through 0 days relative to index: Hypoglycemia,210
24969210,condition_era group during day -365 through 0 days relative to index: Laryngitis,210
25297210,condition_era group during day -365 through 0 days relative to index: Acute pharyngitis,210
26638210,condition_era group during day -365 through 0 days relative to index: Primary malignant neoplasm of esophagus,210
26638212,condition_era group during day -30 through 0 days relative to index: Primary malignant neoplasm of esophagus,212
26711210,condition_era group during day -365 through 0 days relative to index: Chronic pharyngitis,210
26711212,condition_era group during day -30 through 0 days relative to index: Chronic pharyngitis,212
27587210,condition_era group during day -365 through 0 days relative to index: Disturbance of salivary secretion,210
27587212,condition_era group during day -30 through 0 days relative to index: Disturbance of salivary secretion,212
30133210,condition_era group during day -365 through 0 days relative to index: Acute laryngitis,210
30361210,condition_era group during day -365 through 0 days relative to index: Hypoglycemic disorder,210
30437210,condition_era group during day -365 through 0 days relative to index: Gastro-esophageal reflux disease with esophagitis,210
30753210,condition_era group during day -365 through 0 days relative to index: Esophagitis,210
72712210,condition_era group during day -365 through 0 days relative to index: Synovial cyst,210
72712212,condition_era group during day -30 through 0 days relative to index: Synovial cyst,212
73153210,condition_era group during day -365 through 0 days relative to index: Malignant neoplasm of lateral wall of urinary bladder,210
73153212,condition_era group during day -30 through 0 days relative to index: Malignant neoplasm of lateral wall of urinary bladder,212
73553210,condition_era group during day -365 through 0 days relative to index: Arthropathy,210
73553212,condition_era group during day -30 through 0 days relative to index: Arthropathy,212
73925210,condition_era group during day -365 through 0 days relative to index: Burn of upper limb,210
73925212,condition_era group during day -30 through 0 days relative to index: Burn of upper limb,212
75053210,condition_era group during day -365 through 0 days relative to index: Fracture of bone,210
75053212,condition_era group during day -30 through 0 days relative to index: Fracture of bone,212
75650210,condition_era group during day -365 through 0 days relative to index: Proteinuria,210
75650212,condition_era group during day -30 through 0 days relative to index: Proteinuria,212
