cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
30,8760.07665982204,NA,NA,NA,3.424627564915562,1,DCMC
12,5221.686516084874,Female,NA,NA,2.2981080850095505,1,DCMC
18,3538.3901437371665,Male,NA,NA,5.087059162161472,1,DCMC
0,63.76454483230664,NA,0-9,NA,0,1,DCMC
0,324.2847364818617,NA,10-19,NA,0,1,DCMC
-10,1780.8542094455852,NA,20-29,NA,-5.6152827934821214,1,DCMC
-10,1591.3045859000686,NA,30-39,NA,-6.284152065296683,1,DCMC
-10,1432.0739219712525,NA,40-49,NA,-6.982879756817987,1,DCMC
-10,1345.7659137577002,NA,50-59,NA,-7.430712799135779,1,DCMC
-10,1089.2210814510609,NA,60-69,NA,-9.18087261649214,1,DCMC
-10,825.0184804928132,NA,70-79,NA,-12.120940604902136,1,DCMC
-10,290.10814510609174,NA,80-89,NA,-34.469904305316994,1,DCMC
0,17.68104038329911,NA,90-99,NA,0,1,DCMC
0,34.625598904859686,Female,0-9,NA,0,1,DCMC
0,228.38877481177275,Female,10-19,NA,0,1,DCMC
-10,1198.8418891170431,Female,20-29,NA,-8.341383539213066,1,DCMC
0,1005.9630390143737,Female,30-39,NA,0,1,DCMC
-10,731.6495550992471,Female,40-49,NA,-13.667745617153441,1,DCMC
-10,703.8384668035592,Female,50-59,NA,-14.207805443505254,1,DCMC
-10,650.5516769336072,Female,60-69,NA,-15.37156901529371,1,DCMC
-10,506.2861054072553,Female,70-79,NA,-19.751677743468832,1,DCMC
-10,149.27310061601642,Female,80-89,NA,-66.99130626169253,1,DCMC
0,12.268309377138946,Female,90-99,NA,0,1,DCMC
0,29.138945927446954,Male,0-9,NA,0,1,DCMC
0,95.89596167008898,Male,10-19,NA,0,1,DCMC
-10,582.0123203285422,Male,20-29,NA,-17.181766864239343,1,DCMC
-10,585.3415468856947,Male,30-39,NA,-17.084042732324274,1,DCMC
-10,700.4243668720055,Male,40-49,NA,-14.277058984481881,1,DCMC
-10,641.927446954141,Male,50-59,NA,-15.578084482052681,1,DCMC
-10,438.6694045174538,Male,60-69,NA,-22.7962103055722,1,DCMC
-10,318.73237508555786,Male,70-79,NA,-31.374283824527343,1,DCMC
-10,140.8350444900753,Male,80-89,NA,-71.00505443234837,1,DCMC
0,5.412731006160164,Male,90-99,NA,0,1,DCMC
0,33.58521560574948,NA,NA,2002,0,1,DCMC
0,156.09856262833677,NA,NA,2003,0,1,DCMC
0,207.00616016427105,NA,NA,2004,0,1,DCMC
0,254.0396988364134,NA,NA,2005,0,1,DCMC
0,295.14579055441476,NA,NA,2006,0,1,DCMC
0,333.7275838466804,NA,NA,2007,0,1,DCMC
0,375.09103353867215,NA,NA,2008,0,1,DCMC
0,409.71115674195755,NA,NA,2009,0,1,DCMC
0,458.4065708418891,NA,NA,2010,0,1,DCMC
0,499.7864476386037,NA,NA,2011,0,1,DCMC
0,544.9445585215606,NA,NA,2012,0,1,DCMC
0,581.6892539356605,NA,NA,2013,0,1,DCMC
0,624.4709103353867,NA,NA,2014,0,1,DCMC
0,668.2847364818617,NA,NA,2015,0,1,DCMC
0,710.6036960985626,NA,NA,2016,0,1,DCMC
0,739.1540041067761,NA,NA,2017,0,1,DCMC
0,797.3032169746749,NA,NA,2018,0,1,DCMC
0,870.6365503080082,NA,NA,2019,0,1,DCMC
30,200.39151266255988,NA,NA,2020,149.70693918817375,1,DCMC
0,1.0431211498973305,NA,0-9,2002,0,1,DCMC
0,6.42299794661191,NA,0-9,2003,0,1,DCMC
0,7.4661190965092405,NA,0-9,2004,0,1,DCMC
0,5.995893223819302,NA,0-9,2005,0,1,DCMC
0,4.996577686516085,NA,0-9,2006,0,1,DCMC
0,3.997262149212868,NA,0-9,2007,0,1,DCMC
0,3.0061601642710474,NA,0-9,2008,0,1,DCMC
0,3.0472279260780284,NA,0-9,2009,0,1,DCMC
