"cohortDefinitionId","ruleSequence","personCount","gainCount","personTotal","modeId"
5,0,2,0,2,0
5,1,2,0,2,0
5,2,2,0,2,0
5,0,2,0,2,1
5,1,2,0,2,1
5,2,2,0,2,1
6,0,2,0,2,0
6,1,2,0,2,0
6,0,2,0,2,1
6,1,2,0,2,1
7,0,2,0,2,0
7,1,2,0,2,0
7,2,2,0,2,0
7,0,2,0,2,1
7,1,2,0,2,1
7,2,2,0,2,1
8,0,2,0,2,0
8,1,2,0,2,0
8,0,2,0,2,1
8,1,2,0,2,1
9,0,6,1,8,0
9,1,8,0,8,0
9,2,7,0,8,0
9,0,6,1,7,1
9,1,7,0,7,1
9,2,7,0,7,1
10,0,6,1,8,0
10,1,7,0,8,0
10,0,6,1,7,1
10,1,7,0,7,1
11,0,14,2,17,0
11,1,17,0,17,0
11,2,15,1,17,0
11,0,11,1,12,1
11,1,12,0,12,1
11,2,12,0,12,1
12,0,14,2,17,0
12,1,15,1,17,0
12,0,11,1,12,1
12,1,12,0,12,1
